"entity","id","title","target","target_index"
"fallstudie","55_Great_Suffolk_Street_London","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","fallstudie/55_Great_Suffolk_Street_London","_graph\fallstudie\55_Great_Suffolk_Street_London\index.md"
"projekt","55_Great_Suffolk_Street_London","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","projekt/55_Great_Suffolk_Street_London","_graph\projekt\55_Great_Suffolk_Street_London\index.md"
"bauobjekt","55_Great_Suffolk_Street_London","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","bauobjekt/55_Great_Suffolk_Street_London","_graph\bauobjekt\55_Great_Suffolk_Street_London\index.md"
"reuse_einsatz","55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","Stahlprofile für neuen externen Kern - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","_graph\reuse_einsatz\55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern\index.md"
"reuse_einsatz","55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","Stahl aus 1 Broadgate - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","_graph\reuse_einsatz\55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate\index.md"
"reuse_einsatz","55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","Reclaimed stock von Cleveland - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","_graph\reuse_einsatz\55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland\index.md"
"reuse_einsatz","55_Great_Suffolk_Street_London__004__Bestandslagerhaus","Bestandslagerhaus - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","_graph\reuse_einsatz\55_Great_Suffolk_Street_London__004__Bestandslagerhaus\index.md"
"reuse_einsatz","55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","Brückenlinks zum Kern - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","_graph\reuse_einsatz\55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern\index.md"
"reuse_einsatz","55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","Fassadenbekleidung externer Kern - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","_graph\reuse_einsatz\55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__001__Reused_steel_intended","Reused steel intended - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__001__Reused_steel_intended","_graph\datenpunkt\55_Great_Suffolk_Street_London__001__Reused_steel_intended\index.md"
