"fallstudie","datenpunkt","legacy_path","kennwert","wert","einheit"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__001__Reused_steel_intended","Gebäude\55_Great_Suffolk_Street_London.md","Reused steel intended","20.35","t"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__002__Gesamtstahlwerk_am_Kern","Gebäude\55_Great_Suffolk_Street_London.md","Gesamtstahlwerk am Kern","20.98","t"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__003__Anteil_reused_steel_am_Kernstahl","Gebäude\55_Great_Suffolk_Street_London.md","Anteil reused steel am Kernstahl","97","%"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__004__Stahl_aus_donor_site_1_Broadgate","Gebäude\55_Great_Suffolk_Street_London.md","Stahl aus donor site 1 Broadgate","8.3","t"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__005__Reclaimed_stock_Cleveland","Gebäude\55_Great_Suffolk_Street_London.md","Reclaimed stock Cleveland","11.1","t"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__006__Gesamtstahlkauf_Fabrix","Gebäude\55_Great_Suffolk_Street_London.md","Gesamtstahlkauf Fabrix","139","t"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__007__CO_Einsparung_Stahlreuse","Gebäude\55_Great_Suffolk_Street_London.md","CO₂-Einsparung Stahlreuse","ca. 50","t CO₂ / CO₂e"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__008__Upfront_embodied_carbon","Gebäude\55_Great_Suffolk_Street_London.md","Upfront embodied carbon","386","kgCO₂e/m²"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__009__Fr_here_RIBA_Stage_2_Sch_tzung","Gebäude\55_Great_Suffolk_Street_London.md","Frühere RIBA Stage 2 Schätzung","406","kgCO₂/m²"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__010__Reduktion_gg_LETI_2020_target","Gebäude\55_Great_Suffolk_Street_London.md","Reduktion ggü. LETI 2020 target","36","%"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__011__Fl_che","Gebäude\55_Great_Suffolk_Street_London.md","Fläche","1412","m²"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__012__Workspace_Fl_che","Gebäude\55_Great_Suffolk_Street_London.md","Workspace-Fläche","10,000 / 15,000","sq ft"
