"fallstudie","reuse_einsatz","legacy_path","bauteil","material","herkunft","menge_umfang"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","Gebäude\55_Great_Suffolk_Street_London.md","Stahlprofile für neuen externen Kern","Baustahl","1 Broadgate + Cleveland Steel and Tubes","20.35 t; 97 % von 20.98 t Stahlwerk"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","Gebäude\55_Great_Suffolk_Street_London.md","Stahl aus 1 Broadgate","Baustahl","donor site 1 Broadgate, City of London","8.3 t / ca. 43 % des reused steel"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","Gebäude\55_Great_Suffolk_Street_London.md","Reclaimed stock von Cleveland","Baustahl","Cleveland Steel and Tubes","11.1 t / ca. 57 % des reused steel"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__004__Bestandslagerhaus","Gebäude\55_Great_Suffolk_Street_London.md","Bestandslagerhaus","Mauerwerk, Gusseisen, Holz, Stahlfenster u. a.","am Ort vorhanden","unbekannt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","Gebäude\55_Great_Suffolk_Street_London.md","Brückenlinks zum Kern","unbekannt / vermutlich Stahl","neues Projekt","unbekannt"
"55_Great_Suffolk_Street_London","55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","Gebäude\55_Great_Suffolk_Street_London.md","Fassadenbekleidung externer Kern","unbekannt / corrugated cladding","neu, nicht als reuse belegt","unbekannt"
"Association_house_Groeditz","Association_house_Groeditz__001__Au_enwand_Fertigteile","Gebäude\Association_house_Groeditz.md","Außenwand-Fertigteile","Stahlbetonfertigteil","Schule Typ Dresden","Teil von 279"
"Association_house_Groeditz","Association_house_Groeditz__002__Innenwand_Fertigteile","Gebäude\Association_house_Groeditz.md","Innenwand-Fertigteile","Stahlbetonfertigteil","Schule Typ Dresden","Teil von 279"
"Association_house_Groeditz","Association_house_Groeditz__003__Innenwandrahmen","Gebäude\Association_house_Groeditz.md","Innenwandrahmen","Stahlbetonfertigteil","Schule Typ Dresden","Teil von 279"
"Association_house_Groeditz","Association_house_Groeditz__004__Deckenelemente","Gebäude\Association_house_Groeditz.md","Deckenelemente","Stahlbetonfertigteil","Schule Typ Dresden","Teil von 279"
"Association_house_Groeditz","Association_house_Groeditz__005__Sockel_Plinthenplatten","Gebäude\Association_house_Groeditz.md","Sockel-/Plinthenplatten","Stahlbetonfertigteil","Schule Typ Dresden","Teil von 279"
"Association_house_Groeditz","Association_house_Groeditz__006__Treppen","Gebäude\Association_house_Groeditz.md","Treppen","Stahlbetonfertigteil","Schule Typ Dresden","Teil von 279"
"Association_house_Groeditz","Association_house_Groeditz__007__WBS70_Paneele","Gebäude\Association_house_Groeditz.md","WBS70-Paneele","Stahlbetonfertigteil","weiteres Gebäude","159"
"Association_house_Groeditz","Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","Gebäude\Association_house_Groeditz.md","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","unbekannt","unbekannt","unbekannt"
"Association_house_Plauen","Association_house_Plauen__001__Decken_Bodenplatten","Gebäude\Association_house_Plauen.md","Decken-/Bodenplatten","Stahlbetonfertigteil","IW73/6-Wohnungsbau","145"
"Association_house_Plauen","Association_house_Plauen__002__Au_enwandelemente","Gebäude\Association_house_Plauen.md","Außenwandelemente","Stahlbetonfertigteil","IW73/6-Wohnungsbau","19"
"Association_house_Plauen","Association_house_Plauen__003__Innenwandelemente","Gebäude\Association_house_Plauen.md","Innenwandelemente","Stahlbetonfertigteil","IW73/6-Wohnungsbau","14"
"Association_house_Plauen","Association_house_Plauen__004__Kellerwandelemente","Gebäude\Association_house_Plauen.md","Kellerwandelemente","Stahlbetonfertigteil","IW73/6-Wohnungsbau","11"
"Association_house_Plauen","Association_house_Plauen__005__Tr_ger","Gebäude\Association_house_Plauen.md","Träger","unbekannt","unbekannt","unbekannt"
"Association_house_Plauen","Association_house_Plauen__006__St_tzen","Gebäude\Association_house_Plauen.md","Stützen","unbekannt","unbekannt","unbekannt"
"Association_house_Plauen","Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","Gebäude\Association_house_Plauen.md","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","unbekannt","unbekannt","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","Gebäude\AWM_Muenster_Circular_Office.md","Glastrennwände und Türen","Glas, Metallprofile","Behrensbau, Düsseldorf, über Concular","4,39 t CO₂ durch Wiederverwendung eingespart; Stückzahl unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__002__WC_Trennw_nde","Gebäude\AWM_Muenster_Circular_Office.md","WC-Trennwände","unbekannt","Behrensbau, Düsseldorf","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","Gebäude\AWM_Muenster_Circular_Office.md","Kabeltrassen als Regale","Metall","ReUse-Kabeltrassen","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","Gebäude\AWM_Muenster_Circular_Office.md","Kabeltrassen und LED-Leuchten","Metall, Elektrokomponenten","ReUse-Kabeltrassen und ReUse-LED-Leuchten","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","Gebäude\AWM_Muenster_Circular_Office.md","Wandverkleidung aus Stuhllehnen/-sitzen","Holz","alte Schul- und Theaterstühle","mehr als 500 alte Holzstühle bzw. 550 Sitze/Rücken nach Drittquelle"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","Gebäude\AWM_Muenster_Circular_Office.md","Sideboard / Holzeinbauten","Holz","Deckenkonstruktion eines Supermarkts / Discounter-Auflösung","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__007__Hanfkalksteine","Gebäude\AWM_Muenster_Circular_Office.md","Hanfkalksteine","Hanf, Kalk, Mineralien, Wasser","neu/biobasiert","1,7 t CO₂e Einsparung gegenüber Kalksandstein"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__008__Lehmbauw_nde","Gebäude\AWM_Muenster_Circular_Office.md","Lehmbauwände","Holz, Lehmbauplatten, Lehmspachtel","teils regional/neu, Holz ggf. reuse unklar","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__009__Akustik_Baffeln","Gebäude\AWM_Muenster_Circular_Office.md","Akustik-Baffeln","PET-Recycling","recycelte PET-Flaschen","unbekannt"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__010__M_bel","Gebäude\AWM_Muenster_Circular_Office.md","Möbel","diverse","aufgearbeitet / reused","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","Gebäude\BedZED_London_Hackbridge.md","Stahlrahmen / Stahlprofile","Stahl","Lokale Abbruchstandorte im 35-mile-Radius; teilweise Brighton Railway Station","98 t; 95 % des tragenden Stahls"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__002__Curved_steel_sections","Gebäude\BedZED_London_Hackbridge.md","Curved steel sections","Stahl","geplant als wiederverwendet, tatsächlich neu","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__003__Holzst_nder_Wandst_nder","Gebäude\BedZED_London_Hackbridge.md","Holzständer / Wandständer","Nadelholz","lokale Rückbau-/Reclaim-Quellen","54 km laut BAZED"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__004__T_ren","Gebäude\BedZED_London_Hackbridge.md","Türen","Holz/Metall/Glas unbekannt","wiederverwendet, Quelle unbekannt","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","Gebäude\BedZED_London_Hackbridge.md","Gerüstrohre als Rampen/Geländer/Balustraden","Stahl","Gerüstmaterial","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__006__Bordsteine","Gebäude\BedZED_London_Hackbridge.md","Bordsteine","Stein/Beton","wiederverwendet","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__007__Natursteinplatten_paving_slabs","Gebäude\BedZED_London_Hackbridge.md","Natursteinplatten / paving slabs","Stein","wiederverwendet geplant/teilweise unklar","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__008__Recycling_Glas_Sand_unter_Pflaster","Gebäude\BedZED_London_Hackbridge.md","Recycling-Glas-Sand unter Pflaster","Glasgranulat","recycelt","1.000 t laut BedZED Story"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","Gebäude\BedZED_London_Hackbridge.md","Feste Einbauten/Küchenteile","Recyclingkunststoff, unbekannt","recycelt","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__010__D_mmung","Gebäude\BedZED_London_Hackbridge.md","Dämmung","unbekannt","unbekannt","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__011__Sanit_r","Gebäude\BedZED_London_Hackbridge.md","Sanitär","unbekannt","unbekannt","unbekannt"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__012__Beleuchtung","Gebäude\BedZED_London_Hackbridge.md","Beleuchtung","unbekannt","unbekannt","unbekannt"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","Gebäude\Berlin_Schildow_Pilot_House.md","zugeschnittene Betonfertigteile","Stahlbeton / WBS70","Berliner/Marzahner Plattenbau","200 Teile / 245 m³"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__002__Deckenplatten","Gebäude\Berlin_Schildow_Pilot_House.md","Deckenplatten","Stahlbetonfertigteil","WBS70","60 Ursprungsplatten"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__003__Innenwandplatten","Gebäude\Berlin_Schildow_Pilot_House.md","Innenwandplatten","Stahlbetonfertigteil","WBS70","50 Ursprungsplatten"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__004__Treppe","Gebäude\Berlin_Schildow_Pilot_House.md","Treppe","neuer Beton","Neubau","1 / unbekannter Umfang"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__005__Dach_Satteldach","Gebäude\Berlin_Schildow_Pilot_House.md","Dach/Satteldach","Stahlbetonfertigteile?","WBS70-Teile","unbekannt"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__006__Fenster_T_ren_Fassade_Gel_nder_Bodenaufbauten_TG","Gebäude\Berlin_Schildow_Pilot_House.md","Fenster/Türen/Fassade/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","unbekannt","unbekannt","unbekannt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","Gebäude\Berlin_Schildow_Pilot_House_2.md","zugeschnittene Betonfertigteile","Stahlbeton / WBS70","Berliner/Marzahner Plattenbau","200 Teile / 245 m³"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__002__Deckenplatten_als_Ursprungsbauteile","Gebäude\Berlin_Schildow_Pilot_House_2.md","Deckenplatten als Ursprungsbauteile","Stahlbetonfertigteil","WBS70","60 Ursprungsplatten"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__003__Innenwandplatten_als_Ursprungsbauteile","Gebäude\Berlin_Schildow_Pilot_House_2.md","Innenwandplatten als Ursprungsbauteile","Stahlbetonfertigteil","WBS70","50 Ursprungsplatten"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__004__Treppe","Gebäude\Berlin_Schildow_Pilot_House_2.md","Treppe","neuer Beton","Neubau","unbekannt"
