"entity","id","target","status"
"bauteiltyp","Tuer","bauteiltyp/Tuer","created"
"bauteiltyp","TGA_Element","bauteiltyp/TGA_Element","created"
"bauteiltyp","Daemmung","bauteiltyp/Daemmung","created"
"bauteiltyp","Dach","bauteiltyp/Dach","created"
"bauteiltyp","Innenwand","bauteiltyp/Innenwand","created"
"bauteiltyp","Gelaender","bauteiltyp/Gelaender","created"
"bauteiltyp","Heizkoerper","bauteiltyp/Heizkoerper","created"
"bauteiltyp","Moebel","bauteiltyp/Moebel","created"
"bauteiltyp","Festes_Einbauteil","bauteiltyp/Festes_Einbauteil","created"
"bauteiltyp","Fliese","bauteiltyp/Fliese","created"
"bauteiltyp","Bodenfliese","bauteiltyp/Bodenfliese","created"
"bauteiltyp","Betonblock","bauteiltyp/Betonblock","created"
"bauteiltyp","Tragstruktur","bauteiltyp/Tragstruktur","created"
"bauteiltyp","PV_Anlage","bauteiltyp/PV_Anlage","created"
"material","Metall","material/Metall","created"
"material","Aluminium","material/Aluminium","created"
"material","Naturstein","material/Naturstein","created"
"material","Granit","material/Granit","created"
"material","Marmor","material/Marmor","created"
"material","Kunststoff","material/Kunststoff","created"
"material","Mineralwolle","material/Mineralwolle","created"
"material","Daemmstoff","material/Daemmstoff","created"
"material","Textil","material/Textil","created"
"material","Faserzement","material/Faserzement","created"
"material","Polystyrol","material/Polystyrol","created"
"material","Guss","material/Guss","created"
"material","Erde","material/Erde","created"
"kennwertdefinition","Flaeche","kennwertdefinition/Flaeche","created"
"kennwertdefinition","Bauzeit","kennwertdefinition/Bauzeit","created"
"kennwertdefinition","Fertigstellung","kennwertdefinition/Fertigstellung","created"
"kennwertdefinition","Baukosten","kennwertdefinition/Baukosten","created"
"kennwertdefinition","Transportdistanz","kennwertdefinition/Transportdistanz","created"
"kennwertdefinition","Lebensdauer","kennwertdefinition/Lebensdauer","created"
"kennwertdefinition","Kostenwirkung","kennwertdefinition/Kostenwirkung","created"
"kennwertdefinition","Abfallvermeidung","kennwertdefinition/Abfallvermeidung","created"
"kennwertdefinition","Bauteilalter","kennwertdefinition/Bauteilalter","created"
"kennwertdefinition","Hoehe","kennwertdefinition/Hoehe","created"
"kennwertdefinition","Geschosse","kennwertdefinition/Geschosse","created"
"kennwertdefinition","Energiebedarf","kennwertdefinition/Energiebedarf","created"
"kennwertdefinition","Arbeitsplaetze","kennwertdefinition/Arbeitsplaetze","created"
"kennwertdefinition","Materialmenge","kennwertdefinition/Materialmenge","created"
"norm","EN_1090","norm/EN_1090","created"
