"role_id","target","status"
"Bauherr_Auftraggeber","akteurrolle/Bauherr_Auftraggeber","already_exists"
"Architektur","akteurrolle/Architektur","already_exists"
"Tragwerksplanung","akteurrolle/Tragwerksplanung","already_exists"
"Bauausfuehrung","akteurrolle/Bauausfuehrung","already_exists"
"Rueckbau_Demontage","akteurrolle/Rueckbau_Demontage","already_exists"
"Materiallieferant","akteurrolle/Materiallieferant","already_exists"
"Reuse_Beratung","akteurrolle/Reuse_Beratung","already_exists"
"Pruefung_Qualitaetssicherung","akteurrolle/Pruefung_Qualitaetssicherung","already_exists"
"Aufbereitung_Refurbishment","akteurrolle/Aufbereitung_Refurbishment","already_exists"
"Forschung_Dokumentation","akteurrolle/Forschung_Dokumentation","already_exists"
"Nachhaltigkeitsberatung","akteurrolle/Nachhaltigkeitsberatung","already_exists"
"Projektmanagement_Koordination","akteurrolle/Projektmanagement_Koordination","already_exists"
"Landschaftsplanung","akteurrolle/Landschaftsplanung","already_exists"
"TGA_Gebaeudetechnik","akteurrolle/TGA_Gebaeudetechnik","already_exists"
"Brandschutz_Barrierefreiheit","akteurrolle/Brandschutz_Barrierefreiheit","already_exists"
"Stahlbau_Fertigung","akteurrolle/Stahlbau_Fertigung","already_exists"
"Fassade","akteurrolle/Fassade","already_exists"
"Kunst_Gestaltung","akteurrolle/Kunst_Gestaltung","already_exists"
"Betreiber_Nutzer","akteurrolle/Betreiber_Nutzer","already_exists"
"Oeffentliche_Hand","akteurrolle/Oeffentliche_Hand","already_exists"
"Projektbeteiligte_Unbestimmt","akteurrolle/Projektbeteiligte_Unbestimmt","already_exists"
