"raw_target","canonical_target","legacy_path"
"akteur/Architects_For_Future_Deutschland","akteur/Architects_for_Future_Deutschland","akteur\08_digitale_plattformen_daten\Abriss_Atlas.md"
"software_digitaltool/bauteilboerse_bremen","software_digitaltool/Bauteilboerse_Bremen","bauteilboerse\bauteilboerse-bremen.md"
"software_digitaltool/bauteilnetz_deutschland","software_digitaltool/Bauteilnetz_Deutschland","bauteilboerse\bauteilnetz-deutschland.md"
"software_digitaltool/cycle_up","software_digitaltool/Cycle_Up","bauteilboerse\cycle-up.md"
"software_digitaltool/globechain","software_digitaltool/Globechain","bauteilboerse\globechain.md"
"software_digitaltool/klimaschutz_konfigurator","software_digitaltool/Klimaschutz_Konfigurator","software\klimaschutz-konfigurator\index.md"
"software_digitaltool/loopfront","software_digitaltool/Loopfront","bauteilboerse\loopfront.md"
"software_digitaltool/Madaster_Plattform","software_digitaltool/Madaster","werkzeug\Madaster_Plattform.md"
"software_digitaltool/material_index","software_digitaltool/Material_Index","bauteilboerse\material-index.md"
"software_digitaltool/material_reuse_portal","software_digitaltool/Material_Reuse_Portal","bauteilboerse\material-reuse-portal.md"
"software_digitaltool/one_click_lca","software_digitaltool/One_Click_LCA","software\one-click-lca\index.md"
"software_digitaltool/One_Click_Lca","software_digitaltool/One_Click_LCA","werkzeug\One_Click_Lca.md"
"software_digitaltool/Opalis_Plattform","software_digitaltool/Opalis","werkzeug\Opalis_Plattform.md"
"software_digitaltool/restado","software_digitaltool/Restado","bauteilboerse\restado.md"
"software_digitaltool/Rotor_DC","software_digitaltool/RotorDC","akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md"
"software_digitaltool/rotordc","software_digitaltool/RotorDC","bauteilboerse\rotordc.md"
"software_digitaltool/salvoweb","software_digitaltool/SalvoWEB","bauteilboerse\salvoweb.md"
