rank,project_id,project_name,project_full_name,status,year_completed,degree,country_count,countries,city_count,cities,actor_count,actors,program_count,programs,building_count,buildings,component_group_count,component_groups,component_type_count,component_types,material_count,materials,method_count,methods,process_phase_count,process_phases,use_count,uses,procurement_path_count,procurement_paths,barrier_count,barriers,software_count,software,primary_source_url,source_urls
1,p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin,Impact Hub Berlin / CRCLR Fit-out,Realisiert,2022,76,1,Deutschland,1,Berlin,5,Die Zusammenarbeiter; Impact Hub Berlin; LXSY Architektur; TRNSFRM eG; ZRS Ingenieure,0,,2,CRCLR House; Impact Hub Berlin…,7,"Holzgalerie (Impact); Holzlatten aus Tischlere…; Recycelte Filzpaneele…; Red MDF boards als…; Schwarze MDF-Platten…; Türen, Fenster und…; Ziegel im Empfang",7,Ausbau; Decke; Fenster; Technik; Treppe; Tuer; Wand,5,Glas; Holz; Keramik; Stahl; Ziegel,0,,5,Aufbereitung; Dokumentation; Identifikation; Lagerung; Wiedereinbau,3,Buero; Gewerbe; Kultur,3,Bauteilboerse; Digitale_Plattform; Informelles_Netzwerk,2,Mengenunsicherheit; Verfuegbarkeitsproblem,2,Concular; Restado,,https://www.buildingsocialecology.org/projects/crclr-house-berlin/
2,p_crclr_house_impact_hub_berlin,CRCLR House,CRCLR House / Impact Hub Berlin,Realisiert,2023,72,1,Deutschland,1,Berlin,7,Akustik-Ingenieurbuero Moll; brandkontrolle; Concular; eZeit; LXSY Architektur; Solares Bauen; ZRS Ingenieure,0,,1,Externe Reuse-Quellen…,6,Holz-Alu-Fenster; Holzgalerie (Crclr); Sanitärobjekte (Crclr); Stahlfachwerktraeger…; Stahlpfetten; Vorhangfassadenelemente,9,Ausbau; Boden; Dach; Fassade; Fenster; Technik; Traeger; Treppe; Wand,5,Aluminium; Glas; Holz; Keramik; Stahl,0,,5,Dokumentation; Identifikation; Pruefung; Rueckbau; Wiedereinbau,4,Gewerbe; Kultur; Mischnutzung; Wohnen,3,Eigenbestand; Informelles_Netzwerk; Rueckbauprojekt,0,,0,,,
3,p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,"Chiro d’Itterbeek / Sanitary block, Dilbeek",Realisiert,2019,67,1,Belgien,1,Dilbeek / Itterbeek,8,Bouwstocks; CC Autrement; Commune de Dilbeek; Franck; Gebruiktebouwmaterialen; Namur Croisade pauvreté; Rotor; RotorDC,0,,1,Sanitary block for the…,12,Außentüren; Bodenfliesen; Dachziegel (Chiro); Fassadenziegel (Chiro); Holzfenster; Leuchten; Sanitärobjekte (Chiro); Stahl-U-Profile als…; Surplus-Betonblöcke; Surplus-Dämmung Boden/Wa…; Surplus-Holzrahmen; Wandfliesen,9,Boden; Dach; Daemmung; Fassade; Fenster; Technik; Traeger; Tuer; Wand,7,Beton; Daemmstoff; Glas; Holz; Keramik; Stahl; Ziegel,0,,0,,2,Kultur; Sozialbau,3,Bauteilboerse; Direktvermittlung; Spende,3,Mengenunsicherheit; Terminunsicherheit; Verfuegbarkeitsproblem,0,,,https://www.construction21.org/france/case-studies/h/pavillon-de-sanitaires-du-chiro-d-itterbeek.html; https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro; https://www.construction21.org/belgique/case-studies/h/pavillon-de-sanitaires-du-chiro-d-itterbeek-dilbeek.html; https://opalis.eu/en/dealers/rotor-deconstruction; https://opalis.eu/en/dealers/franck-bricks; https://adokin.eu/fr/tag/briques
4,p_ferme_du_rail_paris,Ferme du Rail Paris,,Realisiert,2019,64,1,Frankreich,1,Paris,7,Albert & Compagnie; Bellastock; Mélanie Devret; Pouget Consultants; Réhabail; Scoping; Travail & Vie,1,Wettbewerb,1,La Ferme du Rail…,8,bg_reuse_holz_papier_ferme_du_rail_recycled_fibre_wall_panels; bg_reuse_keramik_fliese_ferme_du_rail_reused_tiles; bg_reuse_metall_ferme_du_rail_reused_metallic_elements; bg_reuse_stein_ferme_du_rail_reused_stones; bg_reuse_textil_daemmung_ferme_du_rail_recycled_clothing_insulation; Granitbordsteine als…; Stein- und Bürofußbodenp…; Wiederverwendetes Holz…,0,,0,,3,Reversibles_Design; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design,4,Aufbereitung; Identifikation; Planung; Wiedereinbau,4,Gewerbe; Mischnutzung; Sozialbau; Wohnen,2,Informelles_Netzwerk; Rueckbauprojekt,4,Aufbereitungsaufwand; Fehlende_Lagerflaeche; Terminunsicherheit; Witterung_Feuchte,0,,,https://www.bellastock.com/projets/la-ferme-du-rail; https://www.ekopolis.fr/operations-batiment/la-ferme-du-rail; https://circularmaterialsystems.com/en/case/05_ferme-du-rail; https://grandhuit.eu/projet/ferme-du-rail
5,p_recyclinghaus_hannover,Recyclinghaus Hannover,,Prototyp; Realisiert,2019,64,1,Deutschland,1,Hannover,4,CITYFÖRSTER architecture + urbanism; DREWES + SPETH Beratende Ingenieure; Gundlach GmbH & Co. KG Wohnungsunternehmen; H2A,2,Pilotprojekt; Reallabor,4,alte/stillgelegte…; ehemaliges Haus der…; Recyclinghaus Hannover; Sportzentrum,9,Abbruchziegel in…; Aluminiumfenster mit…; Faserzement-/Eternitplat…; Holzleisten aus alten…; Messebauplatten als…; Profilbauglas aus alter…; Recyclingbeton in…; Waschbecken; Wiederverwendetes…,0,,0,,0,,6,Aufbereitung; Betrieb; Identifikation; Rueckbau; Transport; Wiedereinbau,1,Wohnen,3,Eigenbestand; Informelles_Netzwerk; Rueckbauprojekt,0,,0,,,https://www.gundlach-bau.de/projekte/recyclinghaus-hannover
6,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,House of Fraser / 318 Oxford Street → TBC.London steel reuse chain,In_Bau; Realisiert,,63,1,Vereinigtes Königreich,1,London,10,Civic Engineers; Cleveland Steel & Tubes; ECE Architecture; FORE Partnership; Four Bay Structures; McLaren Construction; Stiff + Trevillion; Studio PDP; Webb Yates Engineers; Willmott Dixon,0,,3,318 Oxford Street; Cleveland Steel reclaimed; TBC.London,3,1930er Stahlträger vom…; Refabrizierte Stahlstütz…; Repurposed Cleveland…,6,Ausbau; Decke; Gelaender; Stuetze; Traeger; Wand,4,Beton; Holz; Stahl; Ziegel,0,,5,Aufbereitung; Identifikation; Pruefung; Rueckbau; Wiedereinbau,2,Buero; Gewerbe,3,Bauteilboerse; Direktvermittlung; Rueckbauprojekt,3,Fehlende_Lagerflaeche; Mengenunsicherheit; Terminunsicherheit,2,Qflow; Qflow delivery and waste ticket tracking,,https://www.stiffandtrevillion.com/projects/tower-bridge-road
7,p_resilience_la_ferme_des_possibles_stains,Résilience,Résilience / La Ferme des Possibles Stains,Realisiert,,62,1,Frankreich,1,Stains,7,Association Réavie; Depuis 1920; Frédéric Denise / Archipel Zéro; Métabolisme Urbain; Novaedia / Novædia; SOCOTEC; Terraterre,0,,1,Résilience Betriebs-…,7,BTC-Ziegel Mur Trombe…; Doppeltverglaste…; Einfachverglaste…; Granitpflaster Résilience; Gussradiatoren Résilience; Leuchten Résilience; Sanitärobjekte Résilience,0,,0,,0,,6,Aufbereitung; Identifikation; Lagerung; Pruefung; Rueckbau; Wiedereinbau,3,Buero; Gewerbe; Sozialbau,3,Digitale_Plattform; Direktvermittlung; Rueckbauprojekt,1,Heterogenitaet_Chargen,1,INIES,,https://www.bellastock.com/projets/resilience; https://www.construction21.org/france/case-studies/h/resilience-la-ferme-des-possibles.html; https://www.socotec.fr/media/client-projects/reemploi-materiaux-novaedia; https://www.darchitectures.com/magazine/numeros/dossier-tous/111-n-291-la-filiere-du-reemploi-est-elle-credible/4751-reemploi-5-8-un-equilibre-a-trouver-entre-prise-de-risque-et-aleas-siege-de-la-cooperative-novaedia-a-stains-archipel-zero-architectes.html; https://www.ekopolis.fr/operations-batiment/resilience-la-ferme-des-possibles; https://www.construction21.org/france/articles/h/resilience-un-batiment-bioclimatique-pour-la-ferme-des-possibles.html
8,p_awm_muenster_circular_office,AWM Münster – zirkulärer…,AWM Münster – zirkulärer Büroausbau 3. OG,Realisiert,2023,61,1,Deutschland,1,Münster,5,Abfallwirtschaftsbetriebe Münster; Concular; Petra Jablonická; Sven Urselmann; Urselmann Interior,0,,3,AWM Münster administrati…; Behrensbau Düsseldorf…; Public building and…,5,Cable trays as shelves…; Fixed wall cladding…; Glass partitions and…; WC partitions; Wood for fixed built-ins,4,Ausbau; Technik; Tuer; Wand,4,Glas; Holz; Kunststoff; Stahl,5,Dokumentation_und_Monitoring; Reversibles_Design; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design; Zirkulaere_Beschaffung,0,,1,Buero,0,,0,,0,,,https://awm.stadt-muenster.de/
9,p_grande_halle_de_colombelles,Grande Halle de Colombel…,Grande Halle de Colombelles / Le WIP,Realisiert,2019,61,1,Frankreich,1,Colombelles,7,Albert & Co; Construire; Encore Heureux; Le WIP; Ligne B.E.; Normandie Aménagement; Stéphanie Paly,2,FCRBE; Interreg_North_West_Europe,2,Grande Halle de Colombel…; Regionale Rückbau- und…,7,Außenschreinerei; Holzpfetten; Metallträger; Mineralwolle-Dämmung; Radiatoren (Grande Halle); Sanitärob… (Grande Halle); Türen und Brandschutztür…,0,,0,,0,,4,Aufbereitung; Identifikation; Planung; Wiedereinbau,3,Gewerbe; Kultur; Mischnutzung,2,Ausschreibung; Rueckbauprojekt,4,Aufbereitungsaufwand; Ausschreibungsproblem; Fehlende_Lagerflaeche; Mengenunsicherheit,0,,,https://www.le-wip.com/le-reemploi-de-materiaux; https://www.ekopolis.fr/operations-batiment/grande-halle-de-colombelles; https://www.construction21.org/france/case-studies/h/la-grande-halle-de-colombelles.html; https://encoreheureux.org/fr/projets/grande-halle; https://vb.nweurope.eu/media/21155/fcrbe_cashallecolombelle_final18oct2023_en.pdf; https://albert-and-co.fr/2023/05/28/centre-culturel-grande-halle-caen; https://www.culture.gouv.fr/regions/drac-normandie/actualites/Micro-Folie-a-la-Grande-Halle-de-Colombelles
10,p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,"Grubenstrasse 29 / Werkhof 29, Zürich",Realisiert,2025,61,1,Schweiz,1,Zürich,5,baubüro in situ; Bauteilladen Winterthur; Modissa Immobilien AG; Tschudin Rückbau und Demontagen GmbH; Zirkular,0,,2,Externe Rückbauprojekte…; Werkhof 29,9,Außentreppe (Gruben.); bg_reuse_holz_mehrere_grubenstrasse_old_roof_purlins; Blaue Stahlblechfassade; Dachbleche; Dämmplatten; Fenster und Türen; Geländer; Heizkörper und Sanitärap…; Stahlbauteile für…,11,Dach; Daemmung; Fassade; Fenster; Gelaender; Stuetze; Technik; Traeger; Treppe; Tuer; Wand,7,Aluminium; Beton; Daemmstoff; Glas; Holz; Keramik; Stahl,0,,3,Identifikation; Planung; Wiedereinbau,3,Buero; Gewerbe; Mischnutzung,3,Bauteilboerse; Direktvermittlung; Rueckbauprojekt,2,Entwurfsbindung; Verfuegbarkeitsproblem,0,,,
