project_id,project_name,countries,actor_id,actor_name,role_text,relationship_id,evidence_url,evidence_confidence,review_run
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,akt_ii,AKT II,,r_akt_ii__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,cbre,CBRE,,r_cbre__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,cantillon,Cantillon,,r_cantillon__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,cleveland_steel_tubes,Cleveland Steel & Tubes,,r_cleveland_steel_tubes__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,fabrix,Fabrix,,r_fabrix__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,gardiner_and_theobald,Gardiner & Theobald,,r_gardiner_and_theobald__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,hawkins_brown,Hawkins\Brown,,r_hawkins_brown__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,opera,Opera,,r_opera_pm__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_55_great_suffolk_street_london,55 Great Suffolk Street,Vereinigtes Königreich,symmetrys,Symmetrys,,r_symmetrys__BETEILIGT_AN__p_55_great_suffolk_street_london,,,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Deutschland,abfallwirtschaftsbetriebe_muenster,Abfallwirtschaftsbetriebe Münster,,r_abfallwirtschaftsbetriebe_muenster__BETEILIGT_AN__p_awm_muenster_circular_office,,,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Deutschland,concular,Concular,,r_concular__BETEILIGT_AN__p_awm_muenster_circular_office,,,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Deutschland,petra_jablonicka,Petra Jablonická,,r_petra_jablonicka__BETEILIGT_AN__p_awm_muenster_circular_office,,0.6,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Deutschland,sven_urselmann,Sven Urselmann,,r_sven_urselmann__BETEILIGT_AN__p_awm_muenster_circular_office,,0.6,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Deutschland,urselmann_interior,Urselmann Interior,,r_urselmann_interior__BETEILIGT_AN__p_awm_muenster_circular_office,,,
p_bedzed_london_hackbridge,BedZED,Vereinigtes Königreich,arup,Arup,,r_arup__BETEILIGT_AN__p_bedzed_london_hackbridge,,,
p_bedzed_london_hackbridge,BedZED,Vereinigtes Königreich,zedfactory_bill_dunster,Bill Dunster / ZEDfactory,,r_zedfactory_bill_dunster__BETEILIGT_AN__p_bedzed_london_hackbridge,,,
p_bedzed_london_hackbridge,BedZED,Vereinigtes Königreich,bioregional,BioRegional,,r_bioregional__BETEILIGT_AN__p_bedzed_london_hackbridge,,,
p_bedzed_london_hackbridge,BedZED,Vereinigtes Königreich,ellis_and_moore,Ellis & Moore Consulting Engineers,,r_ellis_and_moore__BETEILIGT_AN__p_bedzed_london_hackbridge,,,
p_bedzed_london_hackbridge,BedZED,Vereinigtes Königreich,gardiner_and_theobald,Gardiner & Theobald,,r_gardiner_and_theobald__BETEILIGT_AN__p_bedzed_london_hackbridge,,,
p_bedzed_london_hackbridge,BedZED,Vereinigtes Königreich,peabody_trust,Peabody Trust,,r_peabody_trust__BETEILIGT_AN__p_bedzed_london_hackbridge,,,
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Deutschland,architekturbuero_conclus,Architekturbüro Conclus,,r_architekturbuero_conclus__BETEILIGT_AN__p_berlin_schildow_pilot_house,,,
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Deutschland,claus_asam,Claus Asam,,r_claus_asam__BETEILIGT_AN__p_berlin_schildow_pilot_house,,,
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Deutschland,familie_lange,Detlev Lange / Familie Lange,,r_familie_lange__BETEILIGT_AN__p_berlin_schildow_pilot_house,,,
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Deutschland,herve_joel_biele,Hervé / Joel Biele,,r_herve_joel_biele__BETEILIGT_AN__p_berlin_schildow_pilot_house,,,
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Deutschland,iemb_tu_berlin,IEMB / TU Berlin,,r_iemb_tu_berlin__BETEILIGT_AN__p_berlin_schildow_pilot_house,,,
p_big_dig_building_boston,Big Dig Building,USA,jinhee_park,Jinhee Park,,r_jinhee_park__BETEILIGT_AN__p_big_dig_building_boston,,,
p_big_dig_building_boston,Big Dig Building,USA,john_hong,John Hong,,r_john_hong__BETEILIGT_AN__p_big_dig_building_boston,,,
p_big_dig_building_boston,Big Dig Building,USA,paul_pedini,Paul Pedini,,r_paul_pedini__BETEILIGT_AN__p_big_dig_building_boston,,,
p_big_dig_building_boston,Big Dig Building,USA,single_speed_design,Single Speed Design,,r_single_speed_design__BETEILIGT_AN__p_big_dig_building_boston,,,
p_big_dig_house_lexington_massachusetts,Big Dig House,USA,jinhee_park,Jinhee Park,,r_jinhee_park__BETEILIGT_AN__p_big_dig_house_lexington_massachusetts,,,
p_big_dig_house_lexington_massachusetts,Big Dig House,USA,john_hong,John Hong,,r_john_hong__BETEILIGT_AN__p_big_dig_house_lexington_massachusetts,,,
p_big_dig_house_lexington_massachusetts,Big Dig House,USA,paul_pedini,Paul Pedini,,r_paul_pedini__BETEILIGT_AN__p_big_dig_house_lexington_massachusetts,,,
p_big_dig_house_lexington_massachusetts,Big Dig House,USA,single_speed_design,Single Speed Design,,r_single_speed_design__BETEILIGT_AN__p_big_dig_house_lexington_massachusetts,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,biopartner_center_leiden,BioPartner Center Leiden,,r_biopartner_center_leiden__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,de_vries_en_verburg,De Vries en Verburg,,r_de_vries_en_verburg__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,deerns,Deerns,,r_deerns__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,imd_raadgevende_ingenieurs,IMd Raadgevende Ingenieurs,,r_imd_raadgevende_ingenieurs__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,leiden_university,Leiden University / Gorlaeus donor source,,r_leiden_university__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,popma_ter_steege_architecten,Popma ter Steege Architecten / PTSA,,r_popma_ter_steege_architecten__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,stone22,STONE22,,r_stone22__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Niederlande,vic_obdam_staalbouw,Vic Obdam Staalbouw,,r_vic_obdam_staalbouw__BETEILIGT_AN__p_biopartner_5_leiden_oegstgeest,,,
p_bluecity_offices_rotterdam,BlueCity Offices…,Niederlande,bik_bouw,Bik Bouw,,r_bik_bouw__BETEILIGT_AN__p_bluecity_offices_rotterdam,,,
p_bluecity_offices_rotterdam,BlueCity Offices…,Niederlande,bluecity,BlueCity / Blue City 010 BV,,r_bluecity__BETEILIGT_AN__p_bluecity_offices_rotterdam,,,
p_bluecity_offices_rotterdam,BlueCity Offices…,Niederlande,coup,COUP,,r_coup__BETEILIGT_AN__p_bluecity_offices_rotterdam,,,
p_bluecity_offices_rotterdam,BlueCity Offices…,Niederlande,floris_schiferli,Floris Schiferli,,r_floris_schiferli__BETEILIGT_AN__p_bluecity_offices_rotterdam,,,
p_bluecity_offices_rotterdam,BlueCity Offices…,Niederlande,workspot,Workspot,,r_workspot__BETEILIGT_AN__p_bluecity_offices_rotterdam,,,
p_boulder_fire_station_3,Boulder FS-3,USA,boulder_community_health,Boulder Community Health / Boulder Community Hospital,,r_boulder_community_health__BETEILIGT_AN__p_boulder_fire_station_3,,,
p_boulder_fire_station_3,Boulder FS-3,USA,city_of_boulder,City of Boulder,,r_city_of_boulder__BETEILIGT_AN__p_boulder_fire_station_3,,,
p_boulder_fire_station_3,Boulder FS-3,USA,davis_partnership_architects,Davis Partnership Architects,,r_davis_partnership_architects__BETEILIGT_AN__p_boulder_fire_station_3,,,
p_boulder_fire_station_3,Boulder FS-3,USA,full_metal_iron,Full Metal Iron,,r_full_metal_iron__BETEILIGT_AN__p_boulder_fire_station_3,,,
