field,relationship_type,target_label,edge_count,project_count
countries,LIEGT_IN_LAND,Land,81,81
cities,LIEGT_IN_STADT,Stadt,84,80
actors,BETEILIGT_AN,Akteur,474,77
programs,TEIL_VON_PROGRAMM,Programm,28,23
funding_programs,ERHALT_FOERDERUNG_DURCH,Programm,3,3
buildings,HAT_BAUWERK,Bauwerk,177,81
component_groups,HAT_BAUTEILGRUPPE,Bauteilgruppe,360,79
component_types,HAT_BAUTEILTYP,Bauteiltyp,94,16
materials,NUTZT_MATERIAL,Material,62,16
methods,HAT_METHODE,Methode,80,23
design_methods,HAT_ENTWURFSMETHODIK,Entwurfsmethodik,79,79
architecture_results,HAT_ARCHITEKTURERGEBNIS,Architekturergebnis,79,79
process_phases,HAT_PROZESSPHASE,Prozessphase,112,25
uses,HAT_NUTZUNG,Nutzung,135,77
procurement_paths,HAT_BESCHAFFUNGSWEG,Beschaffungsweg,60,34
logistics,HAT_LOGISTIK,Logistik,97,42
barriers,HAT_HUERDE,Huerde,93,46
evidence_requirements,ERFORDERT_NACHWEIS,Nachweisforderung,415,72
regulatory_questions,TRIGGERS_REGULIERUNGSFRAGE,Regulierungsfrage,320,72
pollutants,ERFORDERT_SCHADSTOFFPRUEFUNG,Schadstoff,37,14
software,NUTZT_SOFTWARE,Software,16,13
