anchor_id,name,label,source_scope,land_id,akteurtyp_ids,marktmodell_id,geschaeftsmodell_ids,evidence_urls,evidence_qids,schema_evidence_url_count,needs_more_evidence_urls,mapping_note
bauteilboerse_basel_overall,Bauteilbörse Basel,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_kauf_gebraucht,gm_shop_eigenstock,https://bauteilboerse-basel.ch/;https://bauteilboerse-basel.ch/bauteile/;https://bauteilboerse-basel.ch/nachhaltigkeit/;https://bauteilboerse-basel.ch/ueber-uns/,q_url_4e8c85c4157cf3d47874ac1255a96491;q_url_76192b0812e4ded536e413d5d3badcc0;q_url_30a314c5ca91cb7dd1f2fc3100bd8e7b;q_url_12f305ac12f07a97caa7fe8ae63a997b,4,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
wick_reuse_roto_baumarkt,Wick ReUse / ROTO Baumarkt,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_kauf_gebraucht,gm_shop_eigenstock;gm_dienstleistung_urban_mining,https://wickreuse.ch/baumarkt/;https://wickreuse.ch/demontage/;https://www.ricardo.ch/de/shop/ReUse_Baumarkt/offers/,q_url_161aca331467d6b5bd144e83b6837af4;q_url_e3de27a5dca43ed4d00d2c661d89293a;q_url_7d1af274ba2f81651a9c193cf4bf9ab3,3,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
btvz_zuerichsee_oberland,Bauteilvermittlung Zürichsee-Oberland,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_plattform_vermittelt,gm_marketplace_vermittlung,https://www.btvz.ch/angebote/;https://www.btvz.ch/so-funktioniert-es/;https://www.btvz.ch/portraet/;https://www.btvz.ch/suchliste/,q_url_95a2775b434a02b2d5eb9f72fde23238;q_url_e511a536ab3f098ace92fcd24d375b31;q_url_cf752fd64f785b4c49860b586f442854;q_url_87c819b59209aa49ee3486e104a9ec11,4,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
reuzi_ch,REUZI,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse;at_software_tool_anbieter,mm_plattform_vermittelt,gm_marketplace_vermittlung,https://reuzi.ch/;https://reuzi.ch/agora/;https://www.immobilier.ch/fr/actualite/reuzi-ressource-les-chantiers-avec-du-reemploi-13814,q_url_7bef7d87240b19df86abf54bc1fa8893;q_url_28de0d0afc9706cfee88b74c0e63dd4d;q_url_64d5bc97d74e6662b15448d118449f30,3,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
materiuum_geneve_ressourcerie,Matériuum Genève Ressourcerie,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_plattform_vermittelt,gm_marketplace_vermittlung;gm_dienstleistung_urban_mining,https://materiuum.ch/boutique/;https://materiuum.ch/ressourcerie-espace-magasin-shop-geneve/;https://materiuum.ch/lassociation/;https://materiuum.ch/deconstruction-et-valorisation/,q_url_282a4ecee7640a1f3aacad82aed8e235;q_url_d6c8e5420f076f8da11c2e445137c1a0;q_url_5d5e1e030349cf963d639a104e5b1539;q_url_43d24a8c5437b80d7228302e594bb775,4,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
gruner_reuse_platform,Gruner ReUse,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse;at_software_tool_anbieter,mm_plattform_vermittelt,gm_marketplace_vermittlung,https://www.gruner-reuse.ch/;https://www.gruner-reuse.ch/produkte;https://www.gruner-reuse.ch/projekt;https://www.gruner.ch/de/news/alt-wird-neu-zweites-leben-fuer-gebrauchte-bauteile-mit-gruner-reuse,q_url_bfd67cc855fd5f1b0ff090083e45c665;q_url_f3131b8b9b5309a94a5688256bee3e1d;q_url_eebab4e689ca914a16465f779422dba9;q_url_594e1c90c0d210341062ddf839b92540,4,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
syphon_ag_bauteilboerse_biel_bruegg,Syphon AG Bauteilbörse Biel-Brügg,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_kauf_gebraucht,gm_shop_eigenstock;gm_dienstleistung_urban_mining,https://syphon.ch/vente-de-materiaux/;https://syphon.ch/;https://www.syphon.ch/,q_url_6276e982eaa92d287d262e06cb79738e;q_url_ca2819ae079244deb29a24472f4e3f29;q_url_be74b09bbb562add4a5d39038bfeb186,3,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
hiltbrunner_reuse_riedtwil_wiederverwendung,ReUse Recycling Center Riedtwil / wiederverwendung.ch,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_kauf_gebraucht,gm_shop_eigenstock,https://www.wiederverwendung.ch/;https://shop.wiederverwendung.ch/de/434/gebrauchte-bauteile-occasion-bauteile;https://shop.wiederverwendung.ch/,q_url_e89e97748f197b5b1593102b7628d1f3;q_url_38d5bbc557d3a63bfe7f3ac0b53af6c0;q_url_b337d461f6fb9c56d3aa73a0ac3fdfba,3,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
bauteilverwertung_koeppel_klein,Bauteilverwertung Köppel & Klein,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_kauf_gebraucht,gm_shop_eigenstock;gm_dienstleistung_urban_mining,https://www.bauteilverwertung.ch/verkauf.html;https://www.bauteilverwertung.ch/;https://www.bauteilverwertung.ch/abbruch.html,q_url_1e467981f4692f581bf40b514dfb7f85;q_url_c0a8140b6a02b9dba061f5c6e935756f;q_url_ddd8d6f1c028f78a2ea5c92ebbeb76a2,3,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
archipel_sion_ressourcerie,Archipel Sion Ressourcerie,Akteur,actor_registry_context,land_schweiz,at_materialhub_bauteilboerse,mm_kauf_gebraucht,gm_shop_eigenstock,https://archipelsion.ch/ressourcerie/inventaire/;https://archipelsion.ch/;https://archipelsion.ch/evenements/,q_url_bd053f63c1021554bccd432523e46218;q_url_aeac0fc1ecfb76ecfee981e4e413dcff;q_url_dbd68bf4dd74106d8d159a452e816dcd,3,False,Suggested schema mapping. Review Geschäftsmodell choice before production import.
