anchor_id,decision,actor_kind,take_status_after_gap_closure,has_material,has_bauteiltyp,material_count,bauteiltyp_count,material_ids,bauteiltyp_ids,primary_rule_used,reason,source_urls,schema_compatible_coverage
bauteilboerse_basel_overall,TAKE,core Bauteilbörse/shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,1,4,mat_holz,bt_ausbau;bt_boden;bt_fenster;bt_technik,swiss-extension-product-url-or-page-scan,Swiss Bauteilbörse / shop with own location and online UseAgain link; explicit reusable components and material/product examples.,https://bauteilboerse-basel.ch/;https://bauteilboerse-basel.ch/bauteile/;https://bauteilboerse-basel.ch/nachhaltigkeit/;https://bauteilboerse-basel.ch/ueber-uns/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
wick_reuse_roto_baumarkt,TAKE,core ReUse Baumarkt/shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,2,5,mat_holz;mat_stahl,bt_boden;bt_daemmung;bt_gelaender;bt_technik;bt_traeger,swiss-extension-product-url-or-page-scan,ReUse Baumarkt with explicit reusable materials and building components.,https://wickreuse.ch/baumarkt/;https://wickreuse.ch/demontage/;https://www.ricardo.ch/de/shop/ReUse_Baumarkt/offers/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
btvz_zuerichsee_oberland,TAKE,Bauteilvermittlung / marketplace,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,2,5,mat_keramik;mat_lehm,bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer,swiss-extension-product-url-or-page-scan,Virtual Bauteilvermittlung; explicit offered component categories and product listings.,https://www.btvz.ch/angebote/;https://www.btvz.ch/so-funktioniert-es/;https://www.btvz.ch/portraet/;https://www.btvz.ch/suchliste/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
reuzi_ch,TAKE,digital marketplace/platform,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,2,5,mat_beton;mat_holz,bt_decke;bt_fenster;bt_treppe;bt_tuer;bt_wand,swiss-extension-product-url-or-page-scan,Digital platform for building-material reuse; exact product evidence from a relevant project report closes material/type.,https://reuzi.ch/;https://reuzi.ch/agora/;https://www.immobilier.ch/fr/actualite/reuzi-ressource-les-chantiers-avec-du-reemploi-13814,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
materiuum_geneve_ressourcerie,TAKE,ressourcerie / marketplace/shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,4,8,mat_aluminium;mat_beton;mat_holz;mat_kunststoff,bt_boden;bt_decke;bt_fenster;bt_technik;bt_traeger;bt_treppe;bt_tuer;bt_wand,swiss-extension-product-url-or-page-scan,"First-party catalogue exposes material filters, component filters and product listings.",https://materiuum.ch/boutique/;https://materiuum.ch/ressourcerie-espace-magasin-shop-geneve/;https://materiuum.ch/lassociation/;https://materiuum.ch/deconstruction-et-valorisation/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
gruner_reuse_platform,TAKE,professional Bauteilplattform,TYPE_ONLY_NO_EXACT_PUBLIC_MATERIAL,False,True,0,8,,bt_boden;bt_dach;bt_decke;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,swiss-extension-product-url-or-page-scan,First-party platform exposes reusable component categories. No exact public material filter/product material found in this pass; not invented.,https://www.gruner-reuse.ch/;https://www.gruner-reuse.ch/produkte;https://www.gruner-reuse.ch/projekt;https://www.gruner.ch/de/news/alt-wird-neu-zweites-leben-fuer-gebrauchte-bauteile-mit-gruner-reuse,TYPE_ONLY_NO_EXACT_CLOSED_SET_MATERIAL
syphon_ag_bauteilboerse_biel_bruegg,TAKE,Bauteilbörse / reuse shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,False,True,0,4,,bt_ausbau;bt_fenster;bt_technik;bt_tuer,swiss-extension-product-url-or-page-scan,Bauteilbörse/reuse-sale actor with explicit construction-component stock categories; material is generic construction material unless exact product text is used.,https://syphon.ch/vente-de-materiaux/;https://syphon.ch/;https://www.syphon.ch/,TYPE_ONLY_NO_EXACT_CLOSED_SET_MATERIAL
hiltbrunner_reuse_riedtwil_wiederverwendung,TAKE,ReUse Recycling Center / Bauteilbörse,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,False,True,0,4,,bt_boden;bt_fenster;bt_technik;bt_tuer,swiss-extension-product-url-or-page-scan,Reuse center for Bauteile/Baustoffe from house and garden.,https://www.wiederverwendung.ch/;https://shop.wiederverwendung.ch/de/434/gebrauchte-bauteile-occasion-bauteile;https://shop.wiederverwendung.ch/,TYPE_ONLY_NO_EXACT_CLOSED_SET_MATERIAL
bauteilverwertung_koeppel_klein,TAKE,Bauteilverwertung/shop,TYPE_ONLY_NO_EXACT_PUBLIC_MATERIAL,False,True,0,4,,bt_ausbau;bt_fenster;bt_technik;bt_tuer,swiss-extension-product-url-or-page-scan,"Recovered building components for sale; exact component types found, material not forced without public material wording.",https://www.bauteilverwertung.ch/verkauf.html;https://www.bauteilverwertung.ch/;https://www.bauteilverwertung.ch/abbruch.html,TYPE_ONLY_NO_EXACT_CLOSED_SET_MATERIAL
archipel_sion_ressourcerie,TAKE,ressourcerie / material shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,5,6,mat_beton;mat_daemmstoff;mat_holz;mat_keramik;mat_stahl,bt_boden;bt_dach;bt_fenster;bt_technik;bt_traeger;bt_tuer,swiss-extension-product-url-or-page-scan,First-party inventory has material/type filters and specific product listings.,https://archipelsion.ch/ressourcerie/inventaire/;https://archipelsion.ch/;https://archipelsion.ch/evenements/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
ressourcerie_lausanne_materiuum_ruul,TAKE,ressourcerie / material shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,2,4,mat_holz;mat_stahl,bt_boden;bt_fenster;bt_technik;bt_traeger,swiss-extension-product-url-or-page-scan,Lausanne Matériuum/RUUL construction-material ressourcerie with explicit materials and component types.,https://materiuum.ch/ressourcerie-lausanne-magasin-shop/;https://materiuum.ch/boutique/;https://materiuum.ch/deconstruction-et-valorisation/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
la_ressourcerie_fribourg,TAKE,ressourcerie / material shop,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,3,4,mat_daemmstoff;mat_holz;mat_keramik,bt_boden;bt_daemmung;bt_fenster;bt_technik,swiss-extension-product-url-or-page-scan,Fribourg construction-material ressourcerie with explicit material and component types.,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux;https://www.la-ressourcerie.ch/projets;https://www.la-ressourcerie.ch/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
ggzatwork_laden2_bauteile_zug,TAKE,Bauteilladen / reuse shop,TYPE_ONLY_NO_EXACT_PUBLIC_MATERIAL,False,True,0,4,,bt_ausbau;bt_fenster;bt_technik;bt_tuer,swiss-extension-product-url-or-page-scan,"Bauteilladen for reusable building components; exact component types found, material not forced.",https://ggzatwork.ch/gaeste/laden2/laden-2-bauteile;https://ggzatwork.ch/auftragskunden/demontage-montage;https://ggzatwork.ch/auftragskunden/raeumung-entsorgung,TYPE_ONLY_NO_EXACT_CLOSED_SET_MATERIAL
stiftung_chance_bauteile_zuerich_glattbrugg,TAKE,Bauteile reuse shop/demolition service,GENERIC_MATERIAL_AND_TYPE,False,True,0,2,,bt_ausbau;bt_technik,swiss-extension-product-url-or-page-scan,Explicit Bauteile/Baumaterial for reuse and shop stock; specific material detail not publicly visible in the cited source.,https://www.chance.ch/dienstleistungen/bauteile;https://www.chance.ch/dienstleistungen;https://www.chance.ch/produkte,TYPE_ONLY_NO_EXACT_CLOSED_SET_MATERIAL
cirkla_network_scan_related_only,RELATED_ONLY,umbrella/network/search aggregator,NOT_COUNTED_AS_STOCK_ACTOR,False,False,0,0,,,swiss-extension-product-url-or-page-scan,"Cirkla is valuable evidence infrastructure and aggregator for platforms, but not itself a stock-holding Bauteilbörse to count as actor stock.",,RELATED_ONLY_NOT_CORE_IMPORT
salza,TAKE_PROMOTE_FROM_RELATED_ONLY,digital Bauteil-Plattform / marketplace,CORE_TAKE_NO_STRICT_MATERIAL_OR_BAUTEILTYP_YET,False,False,0,0,,,schema-fit-web-discovery-2026-06-01,"First-party pages state that Salza offers an online platform for reusable building components in Switzerland; promote from related-only to core digital marketplace, but do not invent exact material/type rows yet.",https://salza.ch/;https://salza.ch/bauteil-plattform;https://salza.ch/searchinfo,CORE_TAKE_NO_STRICT_MATERIAL_OR_BAUTEILTYP_YET
baumatpool_ch,TAKE_NEW_CANDIDATE,Swiss Baumaterialbörse / online marketplace,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP,True,True,1,9,mat_daemmstoff,bt_boden;bt_wand;bt_fassade;bt_daemmung;bt_fenster;bt_tuer;bt_technik;bt_decke;bt_traeger,schema-fit-web-discovery-2026-06-01,"First-party page calls Baumatpool the Swiss material exchange for building materials and remainders, with buy/sell marketplace categories and live listings that map to the closed vocabulary.",https://www.baumatpool.ch/de/;https://www.baumatpool.ch/de/content/impressum/;https://www.baumatpool.ch/de/content/faq/,CLOSED_BOTH_MATERIAL_AND_BAUTEILTYP
