anchor_id,materials,bauteiltypen,pruefung,aufbereitung,rueckbau,needs_review
articonnex,2,2,0,0,0,True
backacia,0,1,1,0,0,True
baticycle,2,4,0,1,0,False
batiterre,4,4,0,1,1,True
batrecup,0,0,0,0,0,True
baukarussell,0,0,2,0,1,True
bauteilboerse_bremen,5,8,2,0,0,False
bauteilladen_winterthur,3,9,0,0,0,True
bauteilnetz_deutschland,2,5,0,0,0,True
building_spares_market,2,3,0,0,0,True
cornermat_retrival,0,0,0,0,0,True
cycle_up,0,1,2,0,0,True
cycle_zero,0,0,0,0,0,True
enviromate,4,5,0,0,0,True
gebruiktebouwmaterialen,5,6,1,0,0,False
genbyg,3,5,0,0,0,False
globechain,0,1,0,0,0,True
insert_marketplace,0,0,0,0,0,True
loopfront,1,2,2,0,0,True
material_index,4,6,2,1,0,False
material_reuse_portal,0,0,0,0,0,True
materialenbank_leuven_atelier_circuler,4,6,0,0,1,True
materialrest24,3,4,0,0,0,True
new_horizon,0,0,1,0,1,True
r_place,5,7,1,0,0,False
raedificare,0,1,3,0,0,True
re_store_harvestmap_vienna,0,1,1,1,0,True
reempro,1,5,0,1,0,False
resource_marktplaats,0,0,0,0,0,True
reuse_and_trade,2,3,0,0,0,True
rotordc,4,5,0,2,1,False
salvoweb,3,3,0,0,0,True
salza,0,1,1,0,0,True
skop_marketplace,4,5,0,1,0,True
software_restado,5,8,0,0,0,False
surplus_building_and_plumbing_materials,6,6,0,0,0,True
sustainability_yard,3,4,0,0,0,True
useagain_bauteilclick,4,7,0,0,0,False
warp_it,0,2,0,0,0,True
