anchor_id,materials_belegt,materials_wahrscheinlich,materials_unsicher,bauteiltypen_belegt,bauteiltypen_wahrscheinlich,bauteiltypen_unsicher,pair_count,source_count,needs_review,primary_sources
articonnex,,mat_holz,mat_keramik,,bt_ausbau; bt_boden,,0,3,True,https://articonnex.com/ | https://articonnex.com/collections/reemploi | https://www.jaimelesstartups.fr/articonnex-economie-circulaire-anti-gaspi-materieux-bricolage/
backacia,mat_holz,mat_keramik,,bt_ausbau; bt_boden; bt_technik,bt_tuer,bt_mehrere,0,5,True,https://backacia.com/ | https://opalis.eu/en/dealers/backacia | https://app.dealroom.co/companies/backacia | https://opalis.eu/fr/fournisseurs/backacia | https://backacia.com/collections/autres
baticycle,,mat_holz; mat_keramik,,bt_boden,bt_technik; bt_tuer; bt_wand,,0,3,True,https://baticycle.fr/ | https://baticycle.fr/materiaux-second-oeuvre/ | https://marketplace.skop.app/baticycle
batiterre,,mat_holz; mat_keramik; mat_naturstein,mat_gusseisen,,bt_ausbau; bt_boden; bt_technik; bt_wand,,0,4,True,https://www.batiterre.be/ | https://www.batiterre.be/shop | https://www.batiterre.be/vente-et-preparation-au-reemploi | https://opalis.eu/fr/fournisseurs/batiterre
batrecup,,,mat_holz; mat_stahl,,bt_ausbau; bt_boden; bt_wand,,0,6,True,https://www.batrecup.com/ | https://www.batrecup.com/batrecup-lappli-cest-parti/ | https://play.google.com/store/apps/details?id=com.batrecup | https://www.batrecup.com/category/materiaux/ | https://www.lejournaldesentreprises.com/article/batrecup-cree-une-appli-qui-propose-des-materiaux-issus-de-chantier-2047309 | https://www.mayasquad.com/projet/bat-recup/
baukarussell,mat_beton; mat_holz; mat_keramik; mat_naturstein; mat_ziegel,mat_stahl,,bt_ausbau; bt_boden; bt_dach; bt_fenster; bt_gelaender; bt_stuetze; bt_technik; bt_traeger; bt_treppe; bt_tuer,bt_wand,,4,5,True,https://www.baukarussell.at/ | https://www.baukarussell.at/services/ | https://www.nabe.gv.at/baukarussell-social-urban-mining/ | https://www.ak-umwelt.at/betrieb/?issue=2018-02 | https://circulareconomyforum.at/baukarussell/
bauteilboerse_bremen,mat_glas; mat_holz,mat_gusseisen; mat_keramik; mat_stahl,,bt_ausbau; bt_boden; bt_fenster; bt_tuer,bt_gelaender; bt_technik; bt_treppe; bt_wand,,0,5,True,https://www.bauteilboerse-bremen.de/start | https://www.bauteilboerse-bremen.de/katalog | https://www.bauteilboerse-bremen.de/katalog/suche | https://www.bauteilboerse-bremen.de/die-idee | https://www.bauteilboerse-bremen.de/katalog/tueren
bauteilladen_winterthur,,mat_glas; mat_holz; mat_keramik,,,bt_ausbau; bt_boden; bt_fenster; bt_technik; bt_treppe; bt_tuer; bt_wand,bt_dach; bt_decke,0,4,True,https://bauteilladen.ch/ | https://bauteilladen.ch/shop/ | https://bauteilladen.ch/ueber-uns/ | https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/bauteilladen-winterthur/
bauteilnetz_deutschland,,,mat_holz; mat_keramik,,,bt_dach; bt_fenster; bt_technik; bt_treppe; bt_tuer,0,3,True,https://www.bauteilnetz.de/ | https://www.dbu.de/projektbeispiele/das-bauteilnetz-deutschland/ | https://www.baunetzwissen.de/nachhaltig-bauen/tipps/linkliste/bauteilnetz-deutschland-3081855
building_spares_market,,mat_beton; mat_ziegel,,,bt_traeger; bt_wand,bt_fassade,0,4,True,https://buildingsparesmarket.co.uk/ | https://buildingsparesmarket.co.uk/about/ | https://buildingsparesmarket.co.uk/sell-spare-and-second-hand-building-supplies-uk/ | https://buildingsparesmarket.co.uk/advert-category/general-building-materials/
cornermat_retrival,,,,,bt_ausbau,,0,6,True,https://www.cornermat.be/ | https://www.cornermat.be/shop | https://advitam-material.be/nl/actor/cornermat/ | https://www.cornermat.be/-2 | https://retrival.be/cornermat | https://opalis.eu/fr/fournisseurs/retrival-cornermat
cycle_up,,,,,,bt_mehrere,0,4,True,https://www.cycle-up.fr/ | https://www.climate-chance.org/en/best-pratices/cycle-up/ | https://www.innovation-transformations.ecologie.gouv.fr/actualites/visite-apprenante-de-cycle-up-acteur-de-leconomie-circulaire-du-batiment | https://opalis.eu/fr/fournisseurs/cycle
cycle_zero,mat_daemmstoff; mat_holz; mat_keramik,,mat_kunststoff,bt_daemmung; bt_fenster; bt_technik; bt_tuer,bt_boden; bt_wand,,4,5,True,https://cyclezero.fr/ | https://play.google.com/store/apps/details?id=com.cycle0.cycle0app | https://apps.apple.com/fr/app/cycle-z%C3%A9ro/id6443607769 | https://www.iledefrance.fr/toutes-les-actualites/cycle-zero-la-revolution-numerique-anti-gaspillage-dans-le-btp | https://www.constructionbtp.com/environnement/article/2025/05/22/152917/cycle-zero-des-materiaux-chantier-gratuits-aux-particuliers
enviromate,,mat_daemmstoff; mat_holz; mat_keramik; mat_ziegel,,,bt_boden; bt_daemmung; bt_tuer; bt_wand,bt_treppe,0,3,True,https://www.enviromate.co.uk/ | https://www.enviromate.co.uk/marketplace | https://www.enviromate.co.uk/how-it-works
gebruiktebouwmaterialen,mat_aluminium; mat_daemmstoff; mat_holz; mat_kunststoff,mat_glas,,bt_ausbau; bt_daemmung; bt_fenster; bt_tuer; bt_wand,bt_dach,,2,4,True,https://gebruiktebouwmaterialen.com/ | https://gebruiktebouwmaterialen.com/over-ons | https://gebruiktebouwmaterialen.com/assortiment.html | https://madaster.com/inspiration/madaster-and-gebruiktebouwmaterialen-com-collaborate-on-the-reuse-of-building-materials/
genbyg,mat_glas,mat_holz; mat_stahl,,bt_ausbau; bt_fenster; bt_technik; bt_tuer,bt_boden,,0,3,True,https://genbyg.dk/ | https://pub.norden.org/temanord2021-508/ | https://www.salvoweb.com/directory/24044-genbyg-as
globechain,,,,,,bt_ausbau,0,4,True,https://globechain.com/ | https://marketplace.globechain.com/business/construction | https://ukgbc.org/resources/esg-reuse-marketplace/ | https://www.clustercollaboration.eu/content/online-reuse-platform-globechain
insert_marketplace,,,,,,,0,2,True,https://www.cinderela.eu/Cinderela-One-Stop-Shop/Database/Insert-Marketplace | https://www.interregeurope.eu/good-practices/insert-platform-for-sharing-re-useable-building-materials
