anchor_id,evidence_rows,import_safe_rows,process_or_pruefung_candidates,rejected_rows,materials_verified_or_supported,bauteiltypen_verified_or_supported
articonnex,6,6,0,2,mat_daemmstoff; mat_holz; mat_kunststoff,bt_ausbau; bt_boden; bt_fassade
baticycle,7,6,1,2,,bt_ausbau; bt_boden; bt_decke; bt_technik; bt_tuer; bt_wand
batiterre,15,14,1,1,mat_glas; mat_gusseisen; mat_holz; mat_kunststoff,bt_ausbau; bt_boden; bt_dach; bt_daemmung; bt_fenster; bt_gelaender; bt_technik; bt_treppe; bt_tuer; bt_wand
bauteilnetz_deutschland,3,0,0,1,,bt_fenster; bt_technik; bt_tuer
cornermat_retrival,7,0,1,0,mat_daemmstoff; mat_holz,bt_boden; bt_fenster; bt_technik; bt_wand
cycle_zero,7,0,0,1,mat_daemmstoff; mat_holz,bt_boden; bt_daemmung; bt_fenster; bt_technik; bt_tuer
genbyg,4,4,0,1,mat_glas,bt_fenster; bt_technik; bt_tuer
materialenbank_leuven_atelier_circuler,11,10,0,1,mat_daemmstoff; mat_holz; mat_naturstein,bt_boden; bt_daemmung; bt_fassade; bt_fenster; bt_technik; bt_traeger; bt_tuer; bt_wand
materialrest24,5,0,0,2,mat_holz,bt_ausbau; bt_dach; bt_technik; bt_wand
r_place,2,2,0,1,,bt_mehrere; bt_technik
raedificare,3,1,2,1,,bt_mehrere
reempro,14,10,4,0,mat_keramik; mat_ziegel,bt_ausbau; bt_boden; bt_daemmung; bt_decke; bt_fenster; bt_technik; bt_tuer; bt_wand
resandes,9,8,1,0,mat_holz; mat_naturstein; mat_ziegel,bt_boden; bt_dach; bt_fenster; bt_tuer; bt_wand
salza,2,1,1,2,,bt_mehrere
