anchor_id,finalest_status,pass8_status,strict_material_count,strict_bauteiltyp_count,strict_total_claim_rows,strict_material_ids,strict_bauteiltyp_ids,review_material_count,review_bauteiltyp_count,review_total_claim_rows,review_material_ids,review_bauteiltyp_ids,scope_evidence_rows,actor_scope_classification,is_materialboerse_scope,needs_followup,followup_reason
articonnex,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,3,4,10,mat_daemmstoff;mat_holz;mat_kunststoff,bt_ausbau;bt_boden;bt_daemmung;bt_fassade,0,,,yes,"only review evidence, not import-safe"
backacia,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,2,2,8,mat_holz;mat_kunststoff,bt_boden;bt_tuer,0,,,yes,"only review evidence, not import-safe"
baticycle,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,0,6,6,,bt_ausbau;bt_boden;bt_decke;bt_technik;bt_tuer;bt_wand,0,0,0,,,0,,,no,no evidence captured
batiterre,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,5,10,22,mat_glas;mat_gusseisen;mat_holz;mat_kunststoff;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand,2,0,2,mat_keramik;mat_naturstein,,0,,,yes,strict evidence present; review rows still available
batrecup,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,1,2,3,mat_holz,bt_fenster;bt_tuer,1,CORE_MATERIAL_REUSE_MARKETPLACE_APP,yes,yes,"only review evidence, not import-safe"
baukarussell,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,2,7,10,mat_glas;mat_holz,bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_tuer;bt_wand,0,0,0,,,0,,,no,no evidence captured
bauteilboerse_bremen,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,6,9,40,mat_glas;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_treppe;bt_tuer;bt_wand,0,,,yes,"only review evidence, not import-safe"
bauteilladen_winterthur,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,2,1,5,mat_holz;mat_naturstein,bt_fenster,0,4,7,,bt_boden;bt_technik;bt_treppe;bt_tuer,0,,,yes,strict evidence present; review rows still available
bauteilnetz_deutschland,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,2,2,4,mat_keramik;mat_ziegel,bt_boden;bt_dach,1,4,5,mat_holz,bt_fenster;bt_technik;bt_tuer;bt_wand,0,,,yes,strict evidence present; review rows still available
building_spares_market,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,7,7,18,mat_aluminium;mat_beton;mat_daemmstoff;mat_glas;mat_holz;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_traeger;bt_tuer;bt_wand,0,0,0,,,0,,,no,no evidence captured
cornermat_retrival,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,4,5,18,mat_glas;mat_holz;mat_keramik;mat_ziegel,bt_dach;bt_fenster;bt_technik;bt_tuer;bt_wand,1,2,4,mat_daemmstoff,bt_boden;bt_daemmung,0,,,yes,strict evidence present; review rows still available
cycle_up,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,2,1,3,mat_glas;mat_kunststoff,bt_fenster,0,,,yes,"only review evidence, not import-safe"
cycle_zero,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,2,5,7,mat_daemmstoff;mat_holz,bt_boden;bt_daemmung;bt_fenster;bt_technik;bt_tuer,0,,,yes,"only review evidence, not import-safe"
enviromate,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,1,1,2,mat_keramik,bt_boden,2,3,5,mat_daemmstoff;mat_holz,bt_daemmung;bt_treppe;bt_tuer,0,,,yes,strict evidence present; review rows still available
gebruiktebouwmaterialen,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,6,9,15,mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_technik;bt_traeger;bt_treppe;bt_tuer;bt_wand,0,0,0,,,0,,,no,no evidence captured
genbyg,STRICT_EVIDENCE_AVAILABLE,HAS_STRICT_IMPORT_CANDIDATES,1,3,4,mat_glas,bt_fenster;bt_technik;bt_tuer,2,1,3,mat_holz;mat_keramik,bt_boden,0,,,yes,strict evidence present; review rows still available
globechain,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,0,0,,,1,BROAD_REUSE_MARKETPLACE_WITH_CONSTRUCTION_VERTICAL,yes_broad,yes,"scope only, no Material/Bauteiltyp claim"
insert_marketplace,REVIEW_ONLY_EVIDENCE_AVAILABLE,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,2,3,,bt_fenster;bt_tuer,0,,,yes,"only review evidence, not import-safe"
loopfront,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,0,,,0,0,0,,,1,DIGITAL_REUSE_PLATFORM_SOFTWARE,yes_platform_not_public_store,yes,"scope only, no Material/Bauteiltyp claim"
