row_id,batch,project_id,project_name,component_id,component_name,source_label,source_id,relationship,target_type,target_id,target_canonical,target_detail,evidence_url,evidence_summary,confidence,status,import_ready
v10A-001,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,HAT_ERGEBNIS,Wiederverwendungsergebnis,we_wiederverwendung_gleiche_funktion,Wiederverwendung_gleiche_Funktion,reclaimed structural steel reused as the external core frame,https://nla.london/projects/55-great-suffolk-street,NLA states the external core will be almost entirely constructed from reclaimed steel and quantifies 20.35 tonnes used in that core.,HIGH,evidence_backed,NO_research_batch_only
v10A-002,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,HAT_QUELLE,Quelle,q_externer_spenderbau,Externer_Spenderbau,"donor steel from 1 Broadgate demolition, via Cantillon/Cleveland Steel & Tubes",https://asbp.org.uk/case-studies/55-great-suffolk-street,"ASBP identifies the donor demolition context and supply chain: 1 Broadgate, Cantillon and Cleveland Steel & Tubes.",HIGH,evidence_backed,NO_research_batch_only
v10A-003,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,HAT_WIEDERVERWENDUNGSORT,Wiederverwendungsort,wo_extern_importiert,Extern_importiert,steel moved from City of London donor site to Southwark project,https://nla.london/projects/55-great-suffolk-street,NLA and project accounts place the donor steel at Broadgate and the receiver at Great Suffolk Street in Southwark.,HIGH,evidence_backed,NO_research_batch_only
v10A-004,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,HAT_RUECKBAUVERFAHREN,Rueckbauverfahren,rv_schneidender_rueckbau,Schneidender_Rueckbau,steel sections hot-cut at both ends during donor-site removal,https://asbp.org.uk/case-studies/55-great-suffolk-street,ASBP describes removal of concrete casings and hot-cut steel sections before reuse processing.,HIGH,evidence_backed,NO_research_batch_only
v10A-005,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,HAT_AUFBEREITUNG,Aufbereitungsverfahren,av_pruefung_sortierung_qs,Pruefung_Sortierung_QS,"storage, restoration, testing, CE marking and recertification by stockholder",https://asbp.org.uk/case-studies/55-great-suffolk-street,"ASBP states Cleveland Steel & Tubes handled storage, restoration, testing and certification steps.",HIGH,evidence_backed,NO_research_batch_only
v10A-006,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,HAT_AUFBEREITUNG,Aufbereitungsverfahren,av_reparatur_und_refurbishment,Reparatur_und_Refurbishment,attachments removed and holes filled before reuse,https://asbp.org.uk/case-studies/55-great-suffolk-street,ASBP notes attachments were removed and holes filled as part of initial processing.,HIGH,evidence_backed,NO_research_batch_only
v10A-007,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,NUTZT_METHODE,Methode,m_urban_mining_und_scouting,Urban_Mining_und_Scouting,developer/professional team found and procured reusable steel from demolition pipeline,https://www.ribaj.com/intelligence/reusing-steel-fabrix-hawkins-brown-sheppard-robson-riba-exhibition/,RIBA Journal reports the team actively contacted demolition contractors and found 1 Broadgate steel through the project network.,HIGH,evidence_backed,NO_research_batch_only
v10A-008,batch_01_core_10_projects,p_55_great_suffolk_street_london,55 Great Suffolk Street,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Projekt,p_55_great_suffolk_street_london,NUTZT_METHODE,Methode,m_verfuegbarkeitsbasiertes_design,Verfuegbarkeitsbasiertes_Design,external-core design coordinated around available reclaimed steel sizes,https://asbp.org.uk/case-studies/55-great-suffolk-street,ASBP reports early procurement allowed the design to be based on available steel sizes and sections.,HIGH,evidence_backed,NO_research_batch_only
v10A-009,batch_01_core_10_projects,p_biopartner_5_leiden_oegstgeest,BioPartner 5,bg_reuse_stahl_mehrere_biopartner_5_stuetzen_rahmen,Stahlträger (Biopartner),Projekt,p_biopartner_5_leiden_oegstgeest,HAT_ERGEBNIS,Wiederverwendungsergebnis,we_wiederverwendung_gleiche_funktion,Wiederverwendung_gleiche_Funktion,donor structural steel reused as main supporting structure,https://leidenbioscienceparkprojects.nl/en/sustainability/circulariteit,Leiden Bio Science Park states around 150 tons of former Gorlaeus steel are reused in BioPartner 5 main structure.,HIGH,evidence_backed,NO_research_batch_only
v10A-010,batch_01_core_10_projects,p_biopartner_5_leiden_oegstgeest,BioPartner 5,bg_reuse_stahl_mehrere_biopartner_5_stuetzen_rahmen,Stahlträger (Biopartner),Projekt,p_biopartner_5_leiden_oegstgeest,HAT_QUELLE,Quelle,q_gleicher_standort,Gleicher_Standort,former Gorlaeus high-rise / nearby university laboratory on Leiden Bio Science Park,https://leidenbioscienceparkprojects.nl/en/sustainability/circulariteit,The donor was the former Gorlaeus high-rise building on the same science park context.,HIGH,evidence_backed,NO_research_batch_only
