old_label,old_id,action,new_target,semantic_basis,evidence_url,confidence
Norm,norm_bbl_nen,REWIRE->Regelwerk,rw_nl_bbl,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,0.9
Norm,norm_bbl_nen_links,REWIRE->Regelwerk,rw_nl_bbl,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,0.9
Norm,norm_bs_4978,REWIRE->Regelwerk,rw_din_4074_en_14081,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.holzbau-deutschland.de/fileadmin/user_upload/eingebundene_Downloads/2022-12_Information_Sortierung_durch_den_Zimmermeister_01.pdf,0.85
Norm,norm_cb_23_passports,REWIRE->Regelwerk,rw_madaster_grp,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.dgnb.de/en/sustainable-building/circular-building/building-resource-passport,0.8
Norm,norm_cen_ts_1090_201,REWIRE->Regelwerk,rw_cen_ts_1090_201,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://standards.iteh.ai/catalog/standards/cen/31a1835a-d97d-4bf7-8319-62d76609fe39/cen-ts-1090-201-2024,0.9
Norm,norm_cen_ts_1090_201_2024,REWIRE->Regelwerk,rw_cen_ts_1090_201,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://standards.iteh.ai/catalog/standards/cen/31a1835a-d97d-4bf7-8319-62d76609fe39/cen-ts-1090-201-2024,0.9
Norm,norm_cen_ts_17440,REWIRE->Regelwerk,rw_cen_ts_17440,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://eurocodes.jrc.ec.europa.eu/news/cents-174402020-assessment-and-retrofitting-existing-structures,0.85
Norm,norm_crow_cur_4_2023,DELETE+GAP,GAP_nl_beton_reuse,"Norm IS a standard = Regelwerk (deduped, evidenced)",,0.7
Norm,norm_dibt_mvv_tb,REWIRE->Regelwerk,rw_mvv_tb,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.dibt.de/de/wir-bieten/technische-baubestimmungen,0.85
Norm,norm_din_18008,REWIRE->Regelwerk,rw_din_18008,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.baunormenlexikon.de/norm/din-18008-4/e87129e6-4c53-4386-852c-b6fd49626b0d,0.85
Norm,norm_din_18940_family,REWIRE->Regelwerk,rw_din_18945_lehm,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.baunetzwissen.de/gesund-bauen/fachwissen/regelwerke/normen-fuer-den-lehmbau-3393643,0.8
Norm,norm_din_18945,REWIRE->Regelwerk,rw_din_18945_lehm,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.baunetzwissen.de/gesund-bauen/fachwissen/regelwerke/normen-fuer-den-lehmbau-3393643,0.8
Norm,norm_din_18946,REWIRE->Regelwerk,rw_din_18945_lehm,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.baunetzwissen.de/gesund-bauen/fachwissen/regelwerke/normen-fuer-den-lehmbau-3393643,0.8
Norm,norm_din_18947,REWIRE->Regelwerk,rw_din_18945_lehm,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.baunetzwissen.de/gesund-bauen/fachwissen/regelwerke/normen-fuer-den-lehmbau-3393643,0.8
Norm,norm_din_4074,REWIRE->Regelwerk,rw_din_4074_en_14081,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.holzbau-deutschland.de/fileadmin/user_upload/eingebundene_Downloads/2022-12_Information_Sortierung_durch_den_Zimmermeister_01.pdf,0.85
Norm,norm_din_68800,REWIRE->Regelwerk,rw_din_68800_altholzv,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.gesetze-im-internet.de/altholzv/BJNR330210002.html,0.85
Norm,norm_din_en_1090_2,REWIRE->Regelwerk,rw_en_1090,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://bauforumstahl.de/wp-content/uploads/2024/02/bfs-CE-Kennzeichnung_nach_EN-1090.pdf,0.85
Norm,norm_din_en_1168,REWIRE->Regelwerk,rw_en_1168,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://standards.iteh.ai/catalog/standards/cen/e42ae69b-eeba-4f82-b1a2-a0ef748a1752/en-1168-2005a3-2011,0.88
Norm,norm_din_en_13369,REWIRE->Regelwerk,rw_en_1168,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://standards.iteh.ai/catalog/standards/cen/e42ae69b-eeba-4f82-b1a2-a0ef748a1752/en-1168-2005a3-2011,0.88
Norm,norm_din_en_14081,REWIRE->Regelwerk,rw_din_4074_en_14081,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.holzbau-deutschland.de/fileadmin/user_upload/eingebundene_Downloads/2022-12_Information_Sortierung_durch_den_Zimmermeister_01.pdf,0.85
Norm,norm_din_en_15804,REWIRE->Regelwerk,rw_en_15804_15978,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.gebaeudeforum.de/wissen/nachhaltiges-bauen-und-sanieren/lebenszyklusbetrachtung/oekobilanzierung-lca/,0.85
Norm,norm_din_en_15978,REWIRE->Regelwerk,rw_en_15804_15978,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.gebaeudeforum.de/wissen/nachhaltiges-bauen-und-sanieren/lebenszyklusbetrachtung/oekobilanzierung-lca/,0.85
Norm,norm_din_en_1993,REWIRE->Regelwerk,rw_eurocodes_en_1990_1999,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://eurocodes.jrc.ec.europa.eu/EN-Eurocodes/eurocode-basis-structural-design,0.85
Norm,norm_din_en_1996,REWIRE->Regelwerk,rw_eurocodes_en_1990_1999,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://eurocodes.jrc.ec.europa.eu/EN-Eurocodes/eurocode-basis-structural-design,0.85
Norm,norm_din_en_206,REWIRE->Regelwerk,rw_dafstb_rc_beton,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.dinmedia.de/en/technical-rule/dafstb-beton-rezyklierte-gesteinskoernung/139271550,0.85
Norm,norm_din_en_338,REWIRE->Regelwerk,rw_din_4074_en_14081,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.holzbau-deutschland.de/fileadmin/user_upload/eingebundene_Downloads/2022-12_Information_Sortierung_durch_den_Zimmermeister_01.pdf,0.85
Norm,norm_en_1090,REWIRE->Regelwerk,rw_en_1090,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://bauforumstahl.de/wp-content/uploads/2024/02/bfs-CE-Kennzeichnung_nach_EN-1090.pdf,0.85
Norm,norm_en_1090_2,REWIRE->Regelwerk,rw_en_1090,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://bauforumstahl.de/wp-content/uploads/2024/02/bfs-CE-Kennzeichnung_nach_EN-1090.pdf,0.85
Norm,norm_en_1168,REWIRE->Regelwerk,rw_en_1168,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://standards.iteh.ai/catalog/standards/cen/e42ae69b-eeba-4f82-b1a2-a0ef748a1752/en-1168-2005a3-2011,0.88
Norm,norm_en_12058,REWIRE->Regelwerk,rw_en_naturstein,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://landingpage.bsigroup.com/LandingPage/Undated?UPI=000000000030090410,0.82
Norm,norm_en_12371,REWIRE->Regelwerk,rw_en_naturstein,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://landingpage.bsigroup.com/LandingPage/Undated?UPI=000000000030090410,0.82
Norm,norm_en_12372,REWIRE->Regelwerk,rw_en_naturstein,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://landingpage.bsigroup.com/LandingPage/Undated?UPI=000000000030090410,0.82
Norm,norm_en_13162,REWIRE->Regelwerk,rw_en_13162_mineralwolle,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://www.intertek.com/building/standards/en-13162/,0.85
Norm,norm_en_13224,REWIRE->Regelwerk,rw_en_1168,"Norm IS a standard = Regelwerk (deduped, evidenced)",https://standards.iteh.ai/catalog/standards/cen/e42ae69b-eeba-4f82-b1a2-a0ef748a1752/en-1168-2005a3-2011,0.88
