project_id,status,em_id,ae_id,em_zuordnung_pruefung,ae_zuordnung_pruefung,belegkonfidenz,em_extraktionsstatus,ae_extraktionsstatus
p_55_great_suffolk_street_london,matched,em_form_folgt_verfuegbarkeit,ae_sichtbares_wiederverwendetes_tragwerk,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_association_house_groeditz,matched,em_bestandsgefuehrte_planung,ae_modulmassebestimmte_form,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_association_house_plauen,matched,em_bestandsgefuehrte_planung,ae_modulmassebestimmte_form,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_awm_muenster_circular_office,matched,em_rueckbauorientiertes_entwerfen,ae_innenraum_atmosphaere_aus_wiederverwendung,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_bedzed_london_hackbridge,matched,em_bestandsgefuehrte_planung,ae_sichtbares_wiederverwendetes_tragwerk,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_berlin_schildow_pilot_house,matched,em_bestandsgefuehrte_planung,ae_sichtbares_wiederverwendetes_tragwerk,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_bestandverplanzung_pavilion_muenchen,matched,em_bestandsgefuehrte_planung,ae_demontierbares_bausatzsystem,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_big_dig_building_boston,matched,em_forschungsdemonstrator,ae_industrie_infrastruktur_spolien,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_big_dig_house_lexington_massachusetts,matched,em_wiederverbindung_spolien,ae_industrie_infrastruktur_spolien,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_biopartner_5_leiden_oegstgeest,matched,em_spender_empfaenger_kette,ae_patchwork_fassade,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_bluecity_offices_rotterdam,matched,em_bestandskartierung_urban_mining,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_boulder_fire_station_3,matched,em_wiederverbindung_spolien,ae_sichtbares_wiederverwendetes_tragwerk,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_brent_cross_town_primary_substation_london,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_brighton_waste_house_brighton,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_broethen_twin_house_hoyerswerda,matched,em_bestandsgefuehrte_planung,ae_modulmassebestimmte_form,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_careno_becircular,unmatched_no_projekt,,,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_cascadeup_london_secondary_timber_glulam_demonstrator,matched,em_forschungsdemonstrator,ae_innenraum_atmosphaere_aus_wiederverwendung,False,True,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_charles_malis_molenbeek,unmatched_no_projekt,,,,,Low/DoNotExtract,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_chiro_d_itterbeek_dilbeek,matched,em_adaptiver_bestand_mit_bauteiluebernahme,ae_innenraum_atmosphaere_aus_wiederverwendung,True,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_christ_pavilion_volkenroda,matched,em_bestandsgefuehrte_planung,ae_patchwork_fassade,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
