evidence_id,url,name,quote,confidence,basis,graph_status
q_research_france_reuse_bubble_combined_md,,france_reuse_bubble_combined.md,France reuse bubble dossier intake,belegt,research_markdown,applied
q_url_new_fr_bellastock_reemploi,https://www.bellastock.com/reemploi/,Bellastock réemploi,masters each link in the reuse chain from diagnosis to future constructions,belegt,first_party_reuse_page,applied
q_url_new_fr_bellastock_opalis,https://www.bellastock.com/projets/opalis-france/,Bellastock Opalis France,works with Rotor on Opalis France since 2021; 32 new sheets in 2024,belegt,first_party_opalis_france,applied
q_url_new_fr_bellastock_preuse,https://www.bellastock.com/projets/preuse/,Bellastock PREUSE,Bellastock PREUSE research programme with Rotor,belegt,first_party_preuse,applied
q_url_new_fr_opalis_backacia,https://opalis.eu/fr/fournisseurs/backacia,Opalis Backacia supplier,Backacia digital marketplace for reused construction materials,belegt,opalis_supplier_directory,applied
q_url_new_fr_backacia,https://backacia.com/,Backacia marketplace,online platform for second-hand construction materials and equipment,belegt,first_party_homepage,applied
q_url_new_fr_cycleup,https://www.cycle-up.fr/,Cycle Up concept,marketplace matching supply and demand for reuse since 2018,belegt,first_party_homepage,applied
q_url_new_fr_cycleup_idf,https://www.iledefrance.fr/tous-les-services/ma-region-pres-de-chez-moi/environnement/economie-circulaire-et-gestion-des-dechets/162815-creation-dun-atelier-de-reconditionnement-de-6000-sanitaires-par-et-dautres-materiaux-de-reemploi-pour-cycle,Cycle Up Noisy-le-Sec IDF,Noisy-le-Sec reconditioning workshop 6000 sanitary items/year,belegt,regional_workshop,applied
q_url_new_fr_fcrbe_cycleup,https://vb.nweurope.eu/media/21153/fcrbe_cas-cycle-up-final18oct2023_en.pdf,FCRBE Cycle Up case,FCRBE insurance case study for Cycle Up sanitary reconditioning,belegt,fcrbe_insurance_case,applied
q_url_new_fr_mobius,https://www.mobius-reemploi.fr/,Mobius Réemploi,sources and supplies reused construction materials with technical viability,belegt,first_party_homepage,applied
q_url_new_fr_mobius_idf,https://www.iledefrance.fr/tous-les-services/ma-region-pres-de-chez-moi/environnement/economie-circulaire-et-gestion-des-dechets/96425-construction-dune-plateforme-de-reconditionnement-de-materiaux-pour-lentreprise-mobius-reemploi,Mobius Bondy IDF,Bondy reconditioning platform for raised-floor tiles and bricks,belegt,regional_reconditioning_platform,applied
q_url_new_fr_cstb_reemploi,https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi,CSTB réemploi SPIROU,SPIROU harmonizes reuse practices toward insurance recognition,belegt,first_party_reemploi_offer,applied
q_url_new_fr_ademe_bellastock,https://experimentationsurbaines.ademe.fr/blog/ressource/site-de-bellastock-expert-sur-le-reemploi-de-materiaux-de-construction/,ADEME Bellastock expert,pioneering reuse expertise in France since 2012,belegt,public_agency_profile,applied
q_url_new_fr_ademe_repar,https://experimentationsurbaines.ademe.fr/blog/ressource/programmes-repar-1-et-2/,ADEME REPAR programmes,REPAR piloted by Bellastock with ADEME and CSTB since 2012,belegt,public_agency_repar,applied
q_url_new_fr_ademe_opalis,https://experimentationsurbaines.ademe.fr/blog/ressource/opalis-plateforme-de-reemploi-de-materiaux-de-construction-et-de-renovation/,ADEME Opalis platform,supplier directory technical docs and project examples for reuse,belegt,public_agency_platform,applied
q_url_new_fr_raedificare,https://raedificare.com/,RAEDIFICARE,initiates professional sector for reuse of building materials,belegt,first_party_homepage,applied
q_url_new_fr_ademe_spirou,https://recherche.ademe.fr/spirou-securiser-les-pratiques-innovantes-de-reemploi-une-offre-unifiee,ADEME SPIROU,SPIROU programme context,belegt,public_agency_programme,phase0_only
q_url_new_fr_bellastock_actlab,https://www.bellastock.com/projets/actlab/,Bellastock Actlab,Actlab demonstrator context,teilweise_belegt,first_party_project,phase0_only_deferred_node
