evidence_id,url,name,quote,confidence,basis,graph_status
q_actor_barbara_buser_02,https://zirkular.net/en/project/building-k-118/,Zirkular K.118,architecture: baubüro in situ; trigger for the foundation of Zirkular.,belegt,first_party_project_page,in_graph_export_or_new
q_actor_benjamin_poignon_03,https://www.cirkla.ch/en/lassociation-cirkla/,Cirkla association,Cirkla is an association that brings together all those involved in reuse.,belegt,first_party_association_page,in_graph_export_or_new
q_actor_nicole_daehn_03,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/gruner-ag,Cirkla directory Gruner AG,Gruner AG listed in Cirkla reuse directory.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_elys_kultur_gewerbehaus_basel_s1,https://zirkular.net/en/project/culture-commercial-center-elys,Zirkular ELYS,K.118 and ELYS proved pioneering circular-building projects; trigger for Zirkular.,belegt,first_party_project_page,in_graph_export_or_new
q_url_0675511c9594b27ccb8f1e7b967cab95,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/overall-baubetriebe,Cirkla directory Overall,Overall Baubetriebe listed in Cirkla reuse directory.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_0bc8cb1ab85454c98752946c33382059,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/useagain,Cirkla directory useagain,Useagain.ch est une plateforme de mise en relation pour matériaux de construction.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_0f6a8243ac5d1567100a3117bc4594e6,https://www.cirkla.ch/en/,Cirkla homepage,The Swiss re-use network. Experts documentation & concrete projects.,belegt,first_party_homepage,in_graph_export_or_new
q_url_11b57832bab34bc803b1c474d947a234,https://www.cirkla.ch/en/publications-outils/swiss-inv/,Swiss Inv tool,Swiss Inv inventories reuse potential in buildings.,belegt,first_party_tool_page,in_graph_export_or_new
q_url_161aca331467d6b5bd144e83b6837af4,https://wickreuse.ch/baumarkt/,Wick ReUse Baumarkt,Wick ReUse Baumarkt resale marketplace.,belegt,first_party_marketplace_homepage,in_graph_export_or_new
q_url_18e12efdbd4d72af6a5f2be98fd0ea78,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,Gruner ReUse Roche news,Bauteilbörse Basel übernimmt Lagerung und Weiterverkauf über useagain.ch.,belegt,first_party_supply_chain_news,in_graph_export_or_new
q_url_198584a7bfbdfd0dc0b6edf698418e59,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/sumami,Cirkla directory Sumami,Sumami listed in Cirkla reuse directory.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_263d9d48e96d3956483de2cb24c1ab18,https://library-of-reuse.ch/pioneers/wiederverwerkle,Library of Reuse Wick ReUse,Wick ReUse pioneer profile in Swiss reuse library.,belegt,first_party_network_profile,in_graph_export_or_new
q_url_313143bb100ac3f3d710b67662f0b4c6,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/materiuum,Cirkla directory Matériuum,Matériuum listed as Cirkla reuse-network expert.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_422166f604d091d32cff814ca59194f2,https://sustainable-digital-construction.ethz.ch/en/reuse,ETH sustainable digital construction reuse,Sumami and useagain development in ETH sustainable digital construction context.,teilweise_belegt,first_party_research_page,in_graph_export_or_new
q_url_476dc48ab7c9334ff411e0321cb8abbc,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/bauteilladen-winterthur,Cirkla directory Bauteilladen,Bauteilladen Winterthur listed in Cirkla reuse directory.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_48e67450f81ae55a6012813987faf31e,https://bauteilladen.ch/,Bauteilladen Winterthur,Secondhand building-component exchange with shop categories.,belegt,first_party_shop_homepage,in_graph_export_or_new
q_url_528ffcc17d3c369417c9abab94af6b98,https://www.cirkla.ch/en/cirkla-scan/,Cirkla-Scan,Cirkla-Scan aggregates national reuse-material supply (FR/DE/IT).,belegt,first_party_software_page,in_graph_export_or_new
q_url_56649f37d5b1ee18d083da852797c756,https://materiuum.ch/,Matériuum,Geneva association for reuse in construction; ressourceries in Geneva and Lausanne.,belegt,first_party_ressourcerie_homepage,in_graph_export_or_new
q_url_5ef3423f578d8ccec9d847d64dc3b5bf,https://www.insitu.ch/,baubüro in situ,"Public project list includes K.118 – Kopfbau Halle 118, Winterthur, 2021.",belegt,first_party_practice_homepage,in_graph_export_or_new
q_url_72047630eba27e60c1f672463457463e,https://www.cirkla.ch/en/le-reseau-du-reemploi/,Cirkla reuse network,"Swiss reuse directory; includes companies, experts, architects, recycling centers, universities, and projects.",belegt,first_party_directory_page,in_graph_export_or_new
q_url_7c730743b296bdd420bc6620a934abd3,https://circularhub.ch/,Circular Hub,Circularity mission for construction and real-estate sector; KreislaufLAB Kanton Zürich.,belegt,first_party_coordination_homepage,in_graph_export_or_new
q_url_81a2e92f7566b9fcca6ce002b0e0e3e4,https://ethz.ch/en/news-and-events/eth-news/news/2024/12/timber-earth-and-a-digital-ecosystem-for-sustainable-construction.html,ETH Zurich SWIRCULAR news,SWIRCULAR creates a digital ecosystem for circular construction in Switzerland.,belegt,first_party_research_news,in_graph_export_or_new
q_url_82ad61e4b3672c05a8fedf46e57faee6,https://www.useagain.ch/de/,useagain,Reuse platform/shop for construction components and materials.,belegt,first_party_marketplace_homepage,in_graph_export_or_new
q_url_83aa2d2f1524132cce8dcbac4e8fb774,https://www.cirkla.ch/en/publications-outils/,Cirkla publications & tools,"Swiss Inv, Cirkla-Alarme, Cirkla-Scan, and reuse resources.",belegt,first_party_tools_page,in_graph_export_or_new
q_url_991a5f7d46f61c5f40b414f95b3ae0ca,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,Zirkular legal framework project,"Innosuisse-funded project on contracts, permits, transport, and storage for reuse.",belegt,first_party_program_page,in_graph_export_or_new
q_url_9a4623e924a9afd9d134c8dadda0595b,https://www.cirkla.ch/en/comite/benjamin-poignon,Cirkla committee Benjamin Poignon,"Benjamin Poignon – Co-Chairman, Baubüro in situ.",belegt,first_party_committee_page,in_graph_export_or_new
q_url_9fce1894aaa7455c757369850397e39f,https://library-of-reuse.ch/pioneers/useagain,Library of Reuse useagain,"useagain promotes exchange between Bauteilbörse Basel, BauTeile Zürich and Bauteilladen Winterthur.",belegt,first_party_network_profile,in_graph_export_or_new
q_url_a7f990417c910b5e6ff7c927d23697e9,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/wiederverwerkle-wick-upcycling-gmbh,Cirkla directory Wick ReUse,Wiederverwerkle Wick Upcycling GmbH listed in Cirkla directory.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_b56f2c6f1a86dfe463f893b8fb2d170e,https://planular.net/,Planular,Synchronized planning software for donor and receiving buildings.,belegt,first_party_software_homepage,in_graph_export_or_new
q_url_c19e3aef6ee77ca6de0e75bf46654fb0,https://madaster.ch/en/,Madaster Switzerland,Online material/product registry; material passports and reuse after disassembly.,belegt,first_party_platform_homepage,in_graph_export_or_new
q_url_c39ea839ce817e1f9072b736908392e8,https://swircular.ethz.ch/the-project.html,SWIRCULAR project page,2023 Innosuisse Flagship Call; consortium of Swiss research and industry partners.,belegt,first_party_program_page,in_graph_export_or_new
q_url_c548063354ab44a89c5261a82d0248ff,https://www.circular-economy-switzerland.ch/en,Circular Economy Switzerland,"Decentralized regional circles; networking, information, and knowledge building.",belegt,first_party_network_homepage,in_graph_export_or_new
q_url_ca8e8912162cacb6a53fe070127b939c,https://zirkular.net/en/service/,Zirkular services,Specialist planner for circular building; Planular® and reMATERIAL® services.,belegt,first_party_services_page,in_graph_export_or_new
q_url_cd3db9f4a762545b641a904785da349e,https://www.sumami.ch/,Sumami,Sumami software for construction reuse (first-party homepage).,belegt,first_party_software_homepage,in_graph_export_or_new
q_url_dd273c7da57939e01343e5b152733b24,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/reuzi,Cirkla directory REUZI,REUZI listed in Cirkla reuse directory.,belegt,cirkla_directory_profile,in_graph_export_or_new
q_url_f80ca2b99c0cb9b46f719fb00ae326a6,https://www.circularconstructioncatalyst.ch/,Circular Construction Catalyst 2033,Swiss coordination office for circular construction; 2033 goal.,belegt,first_party_coordination_homepage,in_graph_export_or_new
q_url_f91b55379ab933d2a2833d301a4296b0,https://salza.ch/,Salza,Online platform for reusable building components with search and alarms.,belegt,first_party_marketplace_homepage,in_graph_export_or_new
