label,node_count,distinct_property_keys,property_keys
Akteur,679,40,_archive; actor_registry_loader_seen; actor_registry_order; akteur_kontext_text; aliases; candidate_source_count; candidate_source_status; candidate_source_urls; id; invalid_candidate_source_urls; land; migration_origin; name; name_full; primary_source_url; raw_role_evidence; repair_phase; repaired_at; reuse_relevanz_text; review_run; review_status; source_count; source_file; source_freshness_summary; source_quality_summary; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_trust_score; source_url; source_url_node_ids; source_urls; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Akteurrolle,24,7,aliases; id; migration_origin; name; scope_note; source_scope; source_urls_updated_at
Akteurtyp,10,6,aliases; id; migration_origin; name; source_scope; source_urls_updated_at
Akzeptanz,7,7,id; migration_origin; name; name_full; scope_note; source_scope; source_urls_updated_at
Aufbereitungsverfahren,62,16,candidate_source_count; candidate_source_status; candidate_source_urls; created_by; id; is_parent_category; last_seen_by; migration_origin; name; review_status; scope_note; source_resolution_status; source_scope; source_urls_updated_at; strict_source_url_cleanup; strict_source_url_cleanup_at
BauaufgabeIntervention,10,5,id; migration_origin; name; source_scope; source_urls_updated_at
Bauobjektklasse,8,5,id; migration_origin; name; source_scope; source_urls_updated_at
Bauobjektrolle,6,5,id; migration_origin; name; source_scope; source_urls_updated_at
Bauproduktstatus,15,7,id; migration_origin; name; name_full; scope_note; source_scope; source_urls_updated_at
Bausystem,9,6,definition; id; migration_origin; name; source_scope; source_urls_updated_at
Bauteilebene,6,5,id; migration_origin; name; source_scope; source_urls_updated_at
Bauteilgruppe,369,40,_archive; alte_funktion; bg_kind; candidate_source_count; candidate_source_status; candidate_source_urls; direct_reuse_relevant; donor_resolution_status; donor_unknown; huelle; id; invalid_candidate_source_urls; menge_kg; menge_m; menge_m2; menge_original_key; menge_source; menge_stueck; menge_t; menge_unbekannt; migration_origin; name; name_full; neue_funktion; primary_bauteiltyp_id; primary_material_id; raeumlich; reuse_status; review_status; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; technisch; tragend
Bauteiltyp,23,19,brand_layer; candidate_source_count; candidate_source_status; candidate_source_urls; created_by; id; last_seen_by; migration_origin; name; name_full; review_status; scope_note; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls_updated_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Bauweise,6,5,id; migration_origin; name; source_scope; source_urls_updated_at
Bauwerk,186,27,_archive; baujahr; candidate_source_count; candidate_source_status; candidate_source_urls; era_unknown; flaeche_m2; id; invalid_candidate_source_urls; land; migration_origin; name; name_full; nutzung_text; review_status; source_freshness_summary; source_quality_summary; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_trust_score; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
