severity,category,element_id,labels,node_id,node_name,property,detail,value_sample
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:0,"['Quelle', 'ExternalLink']",q_url_4355c6af7f5e034ee6866841bf19ea11,,,Node has no non-empty name property.,
medium,missing_source_scope,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:0,"['Quelle', 'ExternalLink']",q_url_4355c6af7f5e034ee6866841bf19ea11,,,Node has no source_scope property.,
high,missing_source_scope_case_label,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:0,"['Quelle', 'ExternalLink']",q_url_4355c6af7f5e034ee6866841bf19ea11,,,Case-specific/source-bearing label has no source_scope property.,
high,legacy_path_reference,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:0,"['Quelle', 'ExternalLink']",q_url_4355c6af7f5e034ee6866841bf19ea11,,first_seen_in_research,Property references retired/legacy file structures; verify before reuse.,_neo4j\intake\inbox\research\reuse_knowledge_graph_coverage_audit.md
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1,"['Quelle', 'ExternalLink']",q_url_d7a72171312d05683570e279b9b59fe0,,,Node has no non-empty name property.,
medium,missing_source_scope,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1,"['Quelle', 'ExternalLink']",q_url_d7a72171312d05683570e279b9b59fe0,,,Node has no source_scope property.,
high,missing_source_scope_case_label,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1,"['Quelle', 'ExternalLink']",q_url_d7a72171312d05683570e279b9b59fe0,,,Case-specific/source-bearing label has no source_scope property.,
high,legacy_path_reference,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1,"['Quelle', 'ExternalLink']",q_url_d7a72171312d05683570e279b9b59fe0,,first_seen_in_research,Property references retired/legacy file structures; verify before reuse.,_neo4j\intake\inbox\research\reuse_knowledge_graph_coverage_audit.md
low,long_text_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:10,['Materialdepot'],bw_cleveland_steel_and_tubes_stock,Cleveland S&T stock,candidate_source_urls,Text/list property is 596 characters.,"[""https://asbp.org.uk/case-studies/55-great-suffolk-street"",""https://www.nla.london/projects/55-great-suffolk-street"",""https://www.hawkinsbrown.com/projects/55-great-suffolk-street"",""https://www.operapm.co.uk/place/our-…"
low,long_text_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:100,['Norm'],norm_en_206,EN 206,candidate_source_urls,Text/list property is 1799 characters.,"[""https://eur-lex.europa.eu/eli/reg/2024/3110/oj/eng"",""https://standards.iteh.ai/catalog/standards/cen/31a1835a-d97d-4bf7-8319-62d76609fe39/cen-ts-1090-201-2024"",""https://www.fir-recycling.com/wp-content/uploads/2023/02…"
