label,property,nodes_with_property,label_node_count,coverage_pct,missing_count,types,unique_values_seen_cap_1001,empty_string_count,empty_list_count,flags,sample_values
Akteur,_archive,126,679,18.56,553,str:126,125,0,0,,"{""note"":""IEMB/TU-Berlin-Kontext; genaue Projektrolle nicht vollständig öffentlich belegt.""} || {""note"":""Forschungs-/Prüfungskontext.""} || {""note"":""Architekturrolle laut Pressekontext; konkrete Projektverantwortung prüfen.""} || {""note"":""Namensschreibung und exakte Zuordnung sind in den Quellen uneinheitlich.""} || {""note"":""Bauherrschaft laut Deutschlandfunk-Kontext; Zuordnung zur genauen Fallnummer unsicher.""}"
Akteur,actor_registry_loader_seen,192,679,28.28,487,str:192,1,0,0,,agent10
Akteur,actor_registry_order,1,679,0.15,678,int:1,1,0,0,,66
Akteur,akteur_kontext_text,1,679,0.15,678,str:1,1,0,0,known_legacy_review,Werner Sobek / UMAR
Akteur,aliases,16,679,2.36,663,list[str]:16,16,0,0,core,"[""IMd raadgevende ingenieurs""] || [""bauburo_in_situ"",""baubüro in situ""] || [""Cleveland Steel and Tubes""] || [""opera_pm""] || [""BAM""]"
Akteur,candidate_source_count,558,679,82.18,121,int:558,39,0,0,provenance_key,8 || 163 || 15 || 6 || 12
Akteur,candidate_source_status,558,679,82.18,121,str:558,1,0,0,provenance_key,needs_fact_url_review
Akteur,candidate_source_urls,558,679,82.18,121,list[str]:558,106,0,0,provenance_key,"[""https://asbp.org.uk/case-studies/55-great-suffolk-street"",""https://www.nla.london/projects/55-great-suffolk-street"",""https://www.hawkinsbrown.com/projects/55-great-suffolk-street"",""https://www.operapm.co.uk/place/our-… || [""https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii"",""https://www.archdaily.com/1024776/stuttgart-210-think-ahead-build-on-hft-stuttgart"",""https://klingelhoefer-kroetsch.de/projekte/Stuttgart_210""… || [""https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-"",""https://www.urselmann-interior.de/awm-office"",""https://concular.de/bueroetage-muenster"",""https://awm.stadt-muenster.… || [""https://doi.org/10.1016/j.jclepro.2022.135235"",""https://www.sciencedirect.com/science/article/pii/S0959652622048090"",""https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction… || [""https://www.ssdarchitecture.com/works/residential/big-dig-building"",""https://www.archdaily.com/30050/big-dig-building-single-speed-design"",""https://www.holcimfoundation.org/projects/big-dig-building-boston-massachuset…"
Akteur,id,679,679,100.0,0,str:679,679,0,0,core,cbre || werner_sobek_p || gardiner_and_theobald || cantillon || articonnex
Akteur,invalid_candidate_source_urls,216,679,31.81,463,list[str]:216,34,0,0,provenance_key,"["""",""https://t""] || [""https://projecta"",""https://pr""] || [""""] || [""https://ww""] || [""https://w"",""https://recre"",""https://l""]"
Akteur,land,86,679,12.67,593,str:86,9,0,0,,NL || AT || FR || CH || BE
Akteur,migration_origin,648,679,95.43,31,str:648,2,0,0,,| mig_s5_visibility | mig_qext_b_source_urls | mig_qext_c_primary_source_url || | mig_s5_visibility | mig_qext_b_source_urls
Akteur,name,679,679,100.0,0,str:679,678,0,0,core,CBRE || Werner Sobek || Gardiner & Theobald || Cantillon || Articonnex
Akteur,name_full,86,679,12.67,593,str:86,86,0,0,core,ABN AMRO Bank N.V. — Circl pavilion client / initiator || BAM Bouw + Techniek (Royal BAM Group) — Circl construction team || Delft University of Technology — Circl research partner + REBRIDGE partner || BIG — Bundesimmobiliengesellschaft m.b.H. — MedUni Campus property client || Medizinische Universität Wien — MedUni Campus user
Akteur,primary_source_url,138,679,20.32,541,str:138,70,0,0,provenance_key,https://labs.aap.cornell.edu/ccl/umar-unit || https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii || https://www.insitu.ch/projekte/196-k-118 || https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house || https://www.superuse-studios.com/projectplus/villa-welpeloo
Akteur,raw_role_evidence,155,679,22.83,524,list[str]:155,138,0,0,provenance_key,"[""host department (Institut Konstruktives Entwerfen) @ p_reuse_in_construction_zhaw""] || [""ar_bauherr_auftraggeber, ar_betreiber_nutzer @ p_recypark_demets_anderlecht""] || [""ar_architektur @ p_recypark_demets_anderlecht""] || [""ar_tragwerksplanung @ p_recypark_demets_anderlecht""] || [""ar_tragwerksplanung, ar_pruefung_qualitaetssicherung @ p_recypark_demets_anderlecht""]"
Akteur,repair_phase,2,679,0.29,677,str:2,1,0,0,,1.5_1.6_residuals
Akteur,repaired_at,2,679,0.29,677,str:2,2,0,0,,2026-05-21T07:18:07.140000000+00:00 || 2026-05-21T07:18:07.246000000+00:00
Akteur,reuse_relevanz_text,1,679,0.15,678,str:1,1,0,0,,UMAR/Systemengineering: zirkuläre Gebäudesysteme und reversibles Bauen; eher Future-Reuse als direkte Bauteil-Reuse.
Akteur,review_run,31,679,4.57,648,str:31,1,0,0,,2026-05-28_bauteilboersen_integration
Akteur,review_status,541,679,79.68,138,str:541,2,0,0,,needs_source_url_review || reviewed_legacy_profile_needs_url_fact_check
Akteur,source_count,138,679,20.32,541,int:138,6,0,0,provenance_key,1 || 3 || 4 || 5 || 2
Akteur,source_file,1,679,0.15,678,str:1,1,0,0,core; provenance_key,akteursliste_master.md
Akteur,source_freshness_summary,648,679,95.43,31,str:648,88,0,0,provenance_key,"{""n_reachable"": 5, ""n_reachable_via_3xx"": 0, ""n_dead"": 1, ""n_unchecked"": 0, ""n_wayback_fallback"": 1, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 1, ""n_reachable_via_3xx"": 0, ""n_dead"": 0, ""n_unchecked"": 0, ""n_wayback_fallback"": 0, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 11, ""n_reachable_via_3xx"": 0, ""n_dead"": 2, ""n_unchecked"": 0, ""n_wayback_fallback"": 2, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 6, ""n_reachable_via_3xx"": 0, ""n_dead"": 0, ""n_unchecked"": 0, ""n_wayback_fallback"": 0, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 8, ""n_reachable_via_3xx"": 0, ""n_dead"": 0, ""n_unchecked"": 0, ""n_wayback_fallback"": 0, ""latest_check_date"": ""2026-05-22""}"
Akteur,source_quality_summary,648,679,95.43,31,str:648,131,0,0,provenance_key,"{""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"": 17} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 1, ""n_dead"": 0, ""n_unchecked"": 1} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"": 31} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"": 12} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 9, ""n_dead"": 8, ""n_unchecked"": 13}"
Akteur,source_resolution_status,648,679,95.43,31,str:648,2,0,0,provenance_key,needs_source_url_review || trusted_incident_relationship_source_urls
Akteur,source_scope,679,679,100.0,0,list[str]:5; str:674,8,0,0,core; provenance_key; type_drift,"actor_registry || bauteilboerse_legacy_review || [""actor_registry"",""actor_registry_context""] || case_markdown || actor_registry_context"
