property,nodes_with_property,label_count,labels,flags
id,39550,65,Akteur:679; Akteurrolle:24; Akteurtyp:10; Akzeptanz:7; Aufbereitungsverfahren:62; BauaufgabeIntervention:10; Bauobjektklasse:8; Bauobjektrolle:6; Bauproduktstatus:15; Bausystem:9; Bauteilebene:6; Bauteilgruppe:369; Bauteiltyp:23; Bauweise:6; Bauwerk:186; BauwerkEra:6; Beschaffungsweg:10; DataIssue:29061; Defekt:10; DeprecatedType:13; Dossier:100; DossierEntityTarget:2591; ExternalLink:5026; Funktionswechsel:6; Geltungsbereich:6; Huerde:28; HuerdeKategorie:10; Kennwert:258; LCAModule:5; Land:16; Layer:6; Leistungsanforderung:46; Logistik:10; Marktmodell:11; MatchingQualitaet:9; Material:26; Materialdepot:23; Materialgruppe:11; Methode:13; Norm:103; Nutzung:9; OntologyAnchor:2; Programm:29; Projekt:101; Prozessphase:10; PruefungNachweis:120; Quelle:5343; RechtlicheBedingung:14; ResearchDocument:403; Ressourcenquelle:16; ReuseRule:20; Rueckbauverfahren:5; Schadstoff:9; SectionRef:641; Software:19; Stadt:76; Status:9; Tool:8; Tragwerksprinzip:4; Verbindungstechnik:15; WiederverwendungsArt:11; Wiederverwendungskette:14; Wirtschaft:12; Zertifizierungssystem:8; ZustandsKlasse:6,core
migration_origin,35118,62,Akteur:648; Akteurrolle:24; Akteurtyp:10; Akzeptanz:7; Aufbereitungsverfahren:62; BauaufgabeIntervention:10; Bauobjektklasse:8; Bauobjektrolle:6; Bauproduktstatus:15; Bausystem:9; Bauteilebene:6; Bauteilgruppe:369; Bauteiltyp:23; Bauweise:6; Bauwerk:186; BauwerkEra:6; Beschaffungsweg:10; DataIssue:24754; Defekt:10; DeprecatedType:13; Dossier:100; DossierEntityTarget:2591; ExternalLink:5026; Funktionswechsel:6; Geltungsbereich:6; Huerde:28; HuerdeKategorie:10; Kennwert:258; LCAModule:5; Layer:6; Leistungsanforderung:46; Logistik:10; Marktmodell:11; MatchingQualitaet:9; Material:26; Materialdepot:23; Materialgruppe:11; Methode:13; Norm:103; Nutzung:9; Programm:29; Projekt:101; Prozessphase:10; PruefungNachweis:120; Quelle:5343; RechtlicheBedingung:14; ResearchDocument:403; Ressourcenquelle:16; ReuseRule:20; Rueckbauverfahren:5; Schadstoff:9; SectionRef:641; Software:19; Status:9; Tool:8; Tragwerksprinzip:4; Verbindungstechnik:15; WiederverwendungsArt:11; Wiederverwendungskette:14; Wirtschaft:12; Zertifizierungssystem:8; ZustandsKlasse:6,
source_scope,29422,64,Akteur:679; Akteurrolle:24; Akteurtyp:10; Akzeptanz:7; Aufbereitungsverfahren:62; BauaufgabeIntervention:10; Bauobjektklasse:8; Bauobjektrolle:6; Bauproduktstatus:15; Bausystem:9; Bauteilebene:6; Bauteilgruppe:369; Bauteiltyp:23; Bauweise:6; Bauwerk:186; BauwerkEra:6; Beschaffungsweg:10; DataIssue:23154; Defekt:10; Dossier:98; DossierEntityTarget:2591; ExternalLink:827; Funktionswechsel:6; Geltungsbereich:6; Huerde:28; HuerdeKategorie:10; Kennwert:258; LCAModule:5; Land:16; Layer:6; Leistungsanforderung:46; Logistik:10; Marktmodell:11; MatchingQualitaet:9; Material:26; Materialdepot:23; Materialgruppe:11; Methode:13; Norm:103; Nutzung:9; OntologyAnchor:2; Programm:29; Projekt:101; Prozessphase:10; PruefungNachweis:120; Quelle:1135; RechtlicheBedingung:14; ResearchDocument:403; Ressourcenquelle:16; ReuseRule:20; Rueckbauverfahren:5; Schadstoff:9; SectionRef:52; Software:19; Stadt:76; Status:9; Tool:8; Tragwerksprinzip:4; Verbindungstechnik:15; WiederverwendungsArt:11; Wiederverwendungskette:14; Wirtschaft:12; Zertifizierungssystem:8; ZustandsKlasse:6,core; provenance_key
kind,29102,5,DataIssue:29061; DeprecatedType:13; Software:19; Status:9; Tool:8,
severity,29061,1,DataIssue:29061,
status,28151,3,DataIssue:28140; Programm:10; Wiederverwendungskette:1,
review_status,27884,27,Akteur:541; Aufbereitungsverfahren:62; Bauteilgruppe:369; Bauteiltyp:23; Bauwerk:186; Beschaffungsweg:1; DataIssue:23154; Dossier:27; DossierEntityTarget:2591; Huerde:28; Kennwert:206; Leistungsanforderung:46; Material:26; Materialdepot:23; Methode:13; Norm:103; Programm:23; Projekt:67; PruefungNachweis:115; Quelle:237; RechtlicheBedingung:14; ResearchDocument:210; Software:19; Tool:8; Verbindungstechnik:15; Wiederverwendungskette:14; Zertifizierungssystem:8,
source_trace_migration,26793,19,Akteur:648; Bauteilgruppe:308; Bauteiltyp:23; Bauwerk:173; DataIssue:23154; Dossier:100; ExternalLink:1610; Huerde:28; Kennwert:258; Material:26; Methode:13; Norm:103; OntologyAnchor:1; Programm:13; Projekt:98; Quelle:1927; ResearchDocument:403; ReuseRule:20; SectionRef:641,provenance_key
evidence_origin,24684,12,DataIssue:20971; DeprecatedType:13; ExternalLink:3571; Geltungsbereich:6; LCAModule:5; Layer:6; Norm:69; Programm:1; Quelle:3571; RechtlicheBedingung:14; ReuseRule:20; Zertifizierungssystem:8,provenance_key
evidence_source_id,24588,9,DataIssue:20903; ExternalLink:3571; Geltungsbereich:6; LCAModule:5; Layer:6; Norm:69; Quelle:3571; ReuseRule:20; Zertifizierungssystem:8,provenance_key
