entity,action,priority,pairs,property_occurrences
node,drop_or_archive_meta_node,P0,1,13
node,keep_minimum,P0,128,24608
node,review_relationship_duplicate,P0,6,3294
relationship,keep_minimum,P0,68,26296
node,keep_minimum,P1,26,30640
node,keep_or_model_fact,P1,7,1602
node,move_to_provenance_model,P1,22,2873
relationship,review_keep_or_provenance,P1,76,27421
relationship,review_keep_or_source_edge,P1,792,273772
node,review_keep_if_distinct,P2,13,365
node,review_keep_if_used,P2,5,19
node,review_sparse,P2,1,16
relationship,review_duplicate_id,P2,3,12235
relationship,review_sparse,P2,17,211
node,review_domain_property,P3,68,18029
relationship,review_domain_property,P3,123,109643
