rel_type,property,rel_count,coverage,coverage_pct,distinct_values,suggested_verdict,samples
ANCHORED_BY,review_status,695,695,100.0,1,DROP,needs_source_url_review
ANCHORED_BY,evidence_source_id,695,695,100.0,2,DROP,q_controlled_vocab_seed | q_akteursliste_master_md
ANCHORED_BY,evidence_origin,695,695,100.0,1,DROP,topology_synthesized
ANCHORED_BY,evidence_confidence,695,695,100.0,1,KEEP,unklar
ANCHORED_BY,evidence_basis,695,695,100.0,1,DROP,controlled_vocab
ANCHORED_BY,derivation_note,695,695,100.0,1,DROP, | r1: confidence=bookkeeping→unklar + is_bookkeeping=true | r1: derived=>topol…
ANCHORED_BY,is_bookkeeping,695,695,100.0,1,DROP,True
ANCHORED_BY,source_resolution_status,695,695,100.0,1,DROP,bookkeeping_anchor_internal_source_not_claim_evidence
ANCHORED_BY,source_role,695,695,100.0,1,DROP,ontology_anchor_bookkeeping
ANCHORED_BY,source_status_correction_previous,695,695,100.0,2,DROP,missing | candidate
ANCHORED_BY,source_status_correction,695,695,100.0,1,DROP,mig_source_status_scope_addendum_2026_05_28
ANCHORED_BY,source_status_correction_reason,695,695,100.0,1,DROP,ontology_anchor_bookkeeping_not_fact_proof
ANCHORED_BY,source_review_status_correction_previous,695,695,100.0,1,DROP,needs_source_url_review
ANCHORED_BY,source_resolution_status_correction_previous,695,695,100.0,1,DROP,needs_source_url_review
ANCHORED_BY,evidence_quality,695,695,100.0,1,DROP,internal_anchor_not_claim_evidence
ANCHORED_BY,evidence_note,695,695,100.0,1,DROP,ANCHORED_BY points to an internal OntologyAnchor/control-vocabulary record; do …
ANCHORED_BY,evidence_cleanup_run,695,695,100.0,1,DROP,2026-05-28_anchor_source_evidence_cleanup
ANCHORED_BY,strict_source_url_cleanup,695,252,36.3,1,DROP,mig_strict_source_url_binding_cleanup_2026_05_23
APPLIES_IN,id,20,20,100.0,20,KEEP,r_rr_gb_stahl__APPLIES_IN__land_vereinigtes_koenigreich | r_rr_be_stahl__APPLIES_IN__land_belgien | r_rr_de_stahl__APPLIES_IN__land_deutschland | r_rr_nl_stahl__APPLIES_IN__land_niederlande
APPLIES_IN,review_status,20,20,100.0,1,DROP,needs_source_url_review
APPLIES_IN,evidence_source_id,20,20,100.0,1,DROP,q_circular_construction_reuse_graph_gaps_md
APPLIES_IN,evidence_origin,20,20,100.0,1,DROP,inferred
APPLIES_IN,evidence_confidence,20,20,100.0,1,KEEP,teilweise_belegt
APPLIES_IN,evidence_basis,20,20,100.0,1,DROP,research_file_row
APPLIES_IN,derivation_note,20,20,100.0,1,DROP, | r1: inferred+belegt was self-contradictory => downgraded to teilweise_belegt
APPLIES_IN,source_resolution_status,20,20,100.0,1,DROP,needs_source_url_review
APPLIES_IN,strict_source_url_cleanup,20,20,100.0,1,DROP,mig_strict_source_url_binding_cleanup_2026_05_23
APPLIES_IN,source_status,20,20,100.0,1,DROP,candidate
APPLIES_IN,source_status_reason,20,20,100.0,1,DROP,candidate_urls_need_fact_review
APPLIES_IN,source_status_migration,20,20,100.0,1,DROP,mig_source_status_normalization_2026_05_28
