label,property,occurrences
Akteur,id,689
Akteur,name,689
Akteur,source_titles,541
Akteur,legacy_internal_provenance_docs,409
Akteur,source_urls,197
Akteur,legacy_marktmodell,57
Akteur,phase7_property_migration,57
Akteur,phase7_updated_at_utc,57
Akteur,source_scope,14
Akteur,additional_marktmodelle,1
Akteur,evidence_urls_target,1
Akteur,needs_evidence_urls,1
Akteurrolle,id,24
Akteurrolle,name,24
Akteurrolle,aliases,9
Akteurtyp,id,10
Akteurtyp,name,10
Akteurtyp,aliases,1
Aufbereitungsverfahren,created_at,6
Aufbereitungsverfahren,evidence_basis,6
Aufbereitungsverfahren,id,6
Aufbereitungsverfahren,name,6
Aufbereitungsverfahren,review_run,6
Aufbereitungsverfahren,source_scope,6
Aufbereitungsverfahren,legacy_internal_provenance_docs,4
Aufbereitungsverfahren,source_titles,4
BauaufgabeIntervention,id,10
BauaufgabeIntervention,name,10
Bauobjektrolle,id,6
Bauobjektrolle,name,6
Bauphysikrecht,confidence,10
Bauphysikrecht,evidence_status,10
Bauphysikrecht,id,10
Bauphysikrecht,name,10
Bauphysikrecht,rechtsbereiche,10
Bauphysikrecht,review_run,10
Bauphysikrecht,source_quote,10
Bauphysikrecht,source_scope,10
Bauphysikrecht,source_url,10
Bauphysikrecht,updated_at_utc,10
Bauproduktrecht,confidence,23
Bauproduktrecht,evidence_status,23
Bauproduktrecht,id,23
Bauproduktrecht,name,23
Bauproduktrecht,rechtsbereiche,23
Bauproduktrecht,review_run,23
Bauproduktrecht,source_quote,23
Bauproduktrecht,source_scope,23
Bauproduktrecht,source_url,23
Bauproduktrecht,updated_at_utc,23
Bausystem,id,9
Bausystem,name,9
Bausystem,beschreibung,3
Bausystem,phase7_property_migration,3
Bausystem,phase7_updated_at_utc,3
Bausystem,tragwerksprinzip,3
Bauteilgruppe,bg_kind,364
Bauteilgruppe,id,364
Bauteilgruppe,legacy_id,364
Bauteilgruppe,name,364
Bauteilgruppe,renamed_at,364
Bauteilgruppe,renamed_in_run,364
Bauteilgruppe,phase7_property_migration,318
Bauteilgruppe,phase7_updated_at_utc,318
Bauteilgruppe,bauteilebene,286
Bauteilgruppe,legacy_internal_provenance_docs,286
Bauteilgruppe,reuse_status,286
Bauteilgruppe,source_titles,286
Bauteilgruppe,status,286
Bauteilgruppe,alte_funktion,248
Bauteilgruppe,neue_funktion,248
Bauteilgruppe,funktionswechsel,246
Bauteilgruppe,wiederverwendungsort,243
Bauteilgruppe,legacy_marktmodell,212
Bauteilgruppe,tragend,106
Bauteilgruppe,created_at,78
Bauteilgruppe,review_run,78
Bauteilgruppe,phase6_property_migration,62
Bauteilgruppe,phase6_updated_at_utc,62
Bauteilgruppe,legacy_huerde_categories,50
Bauteilgruppe,phase3_legacy_property_migration,46
Bauteilgruppe,phase3_updated_at_utc,46
Bauteilgruppe,tragwerksprinzip,33
Bauteilgruppe,bauproduktstatus,32
Bauteilgruppe,legacy_rechtsgrundlagen_urls,16
Bauteilgruppe,legacy_rechtsgrundlagen,15
Bauteilgruppe,matchingqualitaet_spec,6
Bauteilgruppe,wirtschaft_aspekte,6
Bauteilgruppe,legacy_rechtliche_bedingungen,3
Bauteiltyp,id,23
Bauteiltyp,name,23
Bauteiltyp,brand_layer,15
Bauteiltyp,layer,15
Bauteiltyp,phase7_property_migration,15
Bauteiltyp,phase7_updated_at_utc,15
Bauteiltyp,legacy_internal_provenance_docs,8
Bauteiltyp,source_titles,8
Bauteiltyp,legacy_rechtsgrundlagen,1
Bauteiltyp,phase3_legacy_property_migration,1
Bauteiltyp,phase3_updated_at_utc,1
Bauweise,id,6
Bauweise,name,6
Bauwerk,bauobjektklasse,184
Bauwerk,id,184
Bauwerk,legacy_internal_provenance_docs,184
Bauwerk,name,184
Bauwerk,phase7_property_migration,184
Bauwerk,phase7_updated_at_utc,184
Bauwerk,source_titles,184
Bauwerk,status,184
Bauwerk,name_full,159
Bauwerk,nutzung_text,80
Bauwerk,tragwerksprinzip,25
Bauwerk,legacy_rechtliche_bedingungen,1
Bauwerk,legacy_rechtsgrundlagen_urls,1
Bauwerk,phase3_legacy_property_migration,1
Bauwerk,phase3_updated_at_utc,1
BauwerkEra,beschreibung,6
BauwerkEra,id,6
BauwerkEra,name,6
BauwerkEra,year_from,5
BauwerkEra,year_to,5
Beschaffungsweg,id,10
Beschaffungsweg,name,10
Beschaffungsweg,beschreibung,1
Brandschutzrecht,confidence,8
Brandschutzrecht,evidence_status,8
Brandschutzrecht,id,8
Brandschutzrecht,name,8
Brandschutzrecht,rechtsbereiche,8
Brandschutzrecht,review_run,8
Brandschutzrecht,source_quote,8
Brandschutzrecht,source_scope,8
Brandschutzrecht,source_url,8
Brandschutzrecht,updated_at_utc,8
Defekt,beschreibung,10
Defekt,id,10
Defekt,name,10
Defekt,name_full,8
Genehmigungsrecht,confidence,7
Genehmigungsrecht,evidence_status,7
Genehmigungsrecht,id,7
Genehmigungsrecht,name,7
Genehmigungsrecht,rechtsbereiche,7
Genehmigungsrecht,review_run,7
Genehmigungsrecht,source_quote,7
Genehmigungsrecht,source_scope,7
Genehmigungsrecht,source_url,7
Genehmigungsrecht,updated_at_utc,7
Geschaeftsmodell,id,5
Geschaeftsmodell,name,5
Haftungsrecht,confidence,3
Haftungsrecht,evidence_status,3
Haftungsrecht,id,3
Haftungsrecht,name,3
Haftungsrecht,rechtsbereiche,3
Haftungsrecht,review_run,3
Haftungsrecht,source_quote,3
Haftungsrecht,source_scope,3
Haftungsrecht,source_url,3
Haftungsrecht,updated_at_utc,3
Huerde,category,11
Huerde,id,11
Huerde,name,11
Huerde,review_run,11
Huerde,source_titles,11
Huerde,source_urls,11
Huerde,updated_at_utc,11
HygieneElektroFunktionsrecht,confidence,4
HygieneElektroFunktionsrecht,evidence_status,4
HygieneElektroFunktionsrecht,id,4
HygieneElektroFunktionsrecht,name,4
HygieneElektroFunktionsrecht,rechtsbereiche,4
HygieneElektroFunktionsrecht,review_run,4
HygieneElektroFunktionsrecht,source_quote,4
HygieneElektroFunktionsrecht,source_scope,4
HygieneElektroFunktionsrecht,source_url,4
HygieneElektroFunktionsrecht,updated_at_utc,4
Kennwert,category,255
Kennwert,einheit,255
Kennwert,fact_index,255
Kennwert,id,255
Kennwert,kennwert,255
Kennwert,wert_text,255
Kennwert,bilanzgrenze,214
Kennwert,method,214
Kennwert,source_titles,214
Kennwert,legacy_internal_provenance_docs,162
Kennwert,wert,154
Kennwert,source_urls,52
Land,id,17
Land,name,17
Land,country_iso2,16
Land,legacy_internal_provenance_docs,15
Land,source_titles,15
Land,phase3_legacy_property_migration,12
Land,phase3_updated_at_utc,12
Land,typische_bauproduktstatus,12
Land,akzeptanzfaktoren,6
Land,phase6_property_migration,6
Land,phase6_updated_at_utc,6
Land,aliases,2
Leistungsanforderung,id,8
Leistungsanforderung,legacy_internal_provenance_docs,8
Leistungsanforderung,maps_to_nachweisforderung,8
Leistungsanforderung,merged_legacy_leistungsanforderungen,8
Leistungsanforderung,name,8
Leistungsanforderung,review_run,8
Leistungsanforderung,source_titles,8
Leistungsanforderung,source_urls,8
Leistungsanforderung,updated_at_utc,8
Leistungsanforderung,legacy_rechtsgrundlagen,1
Leistungsanforderung,phase3_legacy_property_migration,1
Leistungsanforderung,phase3_updated_at_utc,1
Logistik,id,10
Logistik,name,10
Material,id,26
Material,name,26
Material,legacy_internal_provenance_docs,8
Material,source_titles,8
Materialdepot,bauobjektklasse,22
Materialdepot,id,22
Materialdepot,legacy_internal_provenance_docs,22
Materialdepot,name,22
Materialdepot,name_full,22
Materialdepot,phase7_property_migration,22
Materialdepot,phase7_updated_at_utc,22
Materialdepot,source_titles,22
Materialdepot,status,22
Materialdepot,nutzung_text,6
Materialdepot,tragwerksprinzip,4
Materialgruppe,id,11
Materialgruppe,name,11
Materialgruppe,beschreibung,1
Methode,created_at,6
Methode,evidence_basis,6
Methode,id,6
Methode,name,6
Methode,review_run,6
Methode,source_scope,6
Methode,legacy_rechtsgrundlagen,1
Methode,phase3_legacy_property_migration,1
Methode,phase3_updated_at_utc,1
Nachweisforderung,id,27
Nachweisforderung,legacy_jurisdiktion_from_variant_a,27
Nachweisforderung,legacy_rechtsgrundlagen_from_variant_a,27
Nachweisforderung,legacy_rechtsgrundlagen_urls_from_variant_a,27
Nachweisforderung,name,27
Nachweisforderung,phaseB_property_migration,27
Nachweisforderung,phaseB_updated_at_utc,27
Nachweisforderung,review_run,27
Nachweisforderung,source_scope,27
Nachweisforderung,updated_at_utc,27
Nutzung,id,9
Nutzung,name,9
Programm,id,29
Programm,name,29
Programm,legacy_internal_provenance_docs,19
Programm,source_titles,19
Programm,beschreibung,16
Programm,name_full,16
Programm,type,13
Programm,source_urls,6
Programm,aliases,5
Programm,phase6_property_migration,1
Programm,phase6_updated_at_utc,1
Programm,wirtschaft,1
Projekt,id,86
Projekt,name,86
Projekt,legacy_internal_provenance_docs,83
Projekt,source_titles,83
Projekt,phase6_property_migration,80
Projekt,phase6_updated_at_utc,80
Projekt,matchingqualitaet_spec,74
Projekt,phase7_property_migration,74
Projekt,phase7_updated_at_utc,74
Projekt,status,74
Projekt,projektstatus_text,69
Projekt,name_full,66
Projekt,year_completed,42
Projekt,matchingqualitaet_temporal,39
Projekt,area_m2_gross,35
Projekt,matchingqualitaet_geo,33
Projekt,source_urls,33
Projekt,wirtschaft,25
Projekt,phase3_legacy_property_migration,22
Projekt,phase3_updated_at_utc,22
Projekt,legacy_rechtsgrundlagen_urls,15
Projekt,legacy_rechtsgrundlagen,12
Projekt,wiederverwendungsort,11
Projekt,bauobjektklasse,10
Projekt,legacy_huerde_categories,10
Projekt,nutzung_text,9
Projekt,zertifizierungssysteme,8
Projekt,lca_method_rechtsgrundlagen,6
Projekt,lca_modules,6
Projekt,legacy_rechtliche_bedingungen,5
Projekt,wirtschaft_aspekte,4
Projekt,tragwerksprinzip,3
Prozessphase,id,10
Prozessphase,name,10
PruefungNachweis,id,118
PruefungNachweis,name,118
PruefungNachweis,legacy_internal_provenance_docs,111
PruefungNachweis,source_titles,111
PruefungNachweis,updated_at_utc,100
PruefungNachweis,beschreibung,9
PruefungNachweis,merged_legacy_pruefung_ids,2
Regulierungsfrage,id,11
Regulierungsfrage,jurisdiktion,11
Regulierungsfrage,name,11
Regulierungsfrage,rechtsgrundlagen,11
Regulierungsfrage,rechtsgrundlagen_urls,11
Regulierungsfrage,review_run,11
Regulierungsfrage,source_scope,11
Regulierungsfrage,updated_at_utc,11
Ressourcenquelle,created_at,6
Ressourcenquelle,evidence_basis,6
Ressourcenquelle,id,6
Ressourcenquelle,name,6
Ressourcenquelle,review_run,6
Ressourcenquelle,source_scope,6
ReuseDokumentationsrecht,confidence,18
ReuseDokumentationsrecht,evidence_status,18
ReuseDokumentationsrecht,id,18
ReuseDokumentationsrecht,name,18
ReuseDokumentationsrecht,rechtsbereiche,18
ReuseDokumentationsrecht,review_run,18
ReuseDokumentationsrecht,source_quote,18
ReuseDokumentationsrecht,source_scope,18
ReuseDokumentationsrecht,source_url,18
ReuseDokumentationsrecht,updated_at_utc,18
ReuseRule,applies_in_land_ids,20
ReuseRule,applies_in_land_names,20
ReuseRule,applies_to_material_ids,20
ReuseRule,applies_to_material_names,20
ReuseRule,id,20
ReuseRule,legacy_applicability_confidences,20
ReuseRule,legacy_applicability_rel_ids,20
ReuseRule,legacy_internal_provenance_docs,20
ReuseRule,legacy_rechtsgrundlagen,20
ReuseRule,legacy_rechtsgrundlagen_urls,20
ReuseRule,legal_conditions,20
ReuseRule,name,20
ReuseRule,phase3_legacy_property_migration,20
ReuseRule,phase3_updated_at_utc,20
ReuseRule,phase8_property_migration,20
ReuseRule,phase8_updated_at_utc,20
ReuseRule,primary_source_url,20
ReuseRule,priority,20
ReuseRule,project_cluster,20
ReuseRule,rank,20
ReuseRule,source_titles,20
ReuseRule,source_url,20
ReuseRule,source_urls,20
ReuseRule,relevant_for_project_ids,19
ReuseRule,relevant_for_project_names,19
ReuseRule,processing_methods,18
ReuseRule,required_tests,18
ReuseRule,legacy_rechtliche_bedingungen,15
ReuseRule,pollutant_risks,5
RueckbauUndAbbruchrecht,confidence,16
RueckbauUndAbbruchrecht,evidence_status,16
RueckbauUndAbbruchrecht,id,16
RueckbauUndAbbruchrecht,name,16
RueckbauUndAbbruchrecht,rechtsbereiche,16
RueckbauUndAbbruchrecht,review_run,16
RueckbauUndAbbruchrecht,source_quote,16
RueckbauUndAbbruchrecht,source_scope,16
RueckbauUndAbbruchrecht,source_url,16
RueckbauUndAbbruchrecht,updated_at_utc,16
Rueckbauverfahren,id,6
Rueckbauverfahren,name,6
Rueckbauverfahren,created_at,2
Rueckbauverfahren,evidence_basis,2
Rueckbauverfahren,review_run,2
Rueckbauverfahren,source_scope,2
Schadstoff,id,13
Schadstoff,name,13
Schadstoff,legacy_internal_provenance_docs,9
Schadstoff,source_titles,9
Schadstoff,phase3_legacy_property_migration,3
Schadstoff,phase3_updated_at_utc,3
Schadstoff,reguliert_in_laendern,3
Schadstoff,standards_body,2
Schadstoffrecht,confidence,17
Schadstoffrecht,evidence_status,17
Schadstoffrecht,id,17
Schadstoffrecht,name,17
Schadstoffrecht,rechtsbereiche,17
Schadstoffrecht,review_run,17
Schadstoffrecht,source_quote,17
Schadstoffrecht,source_scope,17
Schadstoffrecht,source_url,17
Schadstoffrecht,updated_at_utc,17
Software,id,18
Software,kind,18
Software,name,18
Software,source_titles,11
Software,legacy_internal_provenance_docs,10
Software,legacy_marktmodell,7
Software,phase7_property_migration,7
Software,phase7_updated_at_utc,7
Software,source_urls,7
Stadt,id,74
Stadt,name,74
Stadt,legacy_internal_provenance_docs,73
Stadt,source_titles,73
Tragwerksrecht,confidence,26
Tragwerksrecht,evidence_status,26
Tragwerksrecht,id,26
Tragwerksrecht,name,26
Tragwerksrecht,rechtsbereiche,26
Tragwerksrecht,review_run,26
Tragwerksrecht,source_quote,26
Tragwerksrecht,source_scope,26
Tragwerksrecht,source_url,26
Tragwerksrecht,updated_at_utc,26
