reltype,property,occurrences
AUS_SPENDER,merged_legacy_rel_ids,245
AUS_SPENDER,merged_legacy_reltypes,245
AUS_SPENDER,review_run,245
AUS_SPENDER,updated_at_utc,245
AUS_SPENDER,basis,14
AUS_SPENDER,legacy_internal_provenance_docs,14
AUS_SPENDER,source_chain_id,14
BETEILIGT_AN,id,584
BETEILIGT_AN,confidence,68
BETEILIGT_AN,created_at_utc,64
BETEILIGT_AN,evidence_basis,64
BETEILIGT_AN,import_source_file,64
BETEILIGT_AN,review_run,64
BETEILIGT_AN,actor_id,63
BETEILIGT_AN,actor_name,63
BETEILIGT_AN,basis_project_edge_id,63
BETEILIGT_AN,basis_project_edge_type,63
BETEILIGT_AN,bauteilgruppe_id,63
BETEILIGT_AN,bauteilgruppe_name,63
BETEILIGT_AN,candidate_source_basis,63
BETEILIGT_AN,candidate_source_urls,63
BETEILIGT_AN,connection_kind,63
BETEILIGT_AN,dedupe_key,63
BETEILIGT_AN,enrichment_run,63
BETEILIGT_AN,evidence_urls,63
BETEILIGT_AN,import_decision,63
BETEILIGT_AN,import_original_evidence_confidence,63
BETEILIGT_AN,import_source_slice,63
BETEILIGT_AN,review_status,63
BETEILIGT_AN,scope_note,63
BETEILIGT_AN,shared_bauteiltyp_ids,63
BETEILIGT_AN,shared_material_ids,63
BETEILIGT_AN,source_project_id,63
BETEILIGT_AN,source_project_name,63
BETEILIGT_AN,source_resolution_status,63
BETEILIGT_AN,source_status,63
BETEILIGT_AN,source_status_reason,63
BETEILIGT_AN,evidence_url,1
BETRIEBEN_VON,id,10
BETRIEBEN_VON,confidence,5
BETRIEBEN_VON,created_at_utc,5
BETRIEBEN_VON,evidence_basis,5
BETRIEBEN_VON,evidence_url,5
BETRIEBEN_VON,import_source_file,5
BETRIEBEN_VON,review_run,5
BETRIEBEN_VON,candidate_source_basis,3
BETRIEBEN_VON,candidate_source_urls,3
BETRIEBEN_VON,enrichment_run,3
BETRIEBEN_VON,import_decision,3
