claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict_before,verdict_after,confidence,proof_quote,proposed_action,patch_op,agent_id,notes,coverage_level,graph_element_id,evidence_basis,matched_aliases,alias_score,project_anchor_hit,component_family_hit,search_tier,queries_tried
EP03-0174,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141989,bg_holz_fenster_reusehoefe_ukraine_windows,bt_fenster,HAT_BAUTEILTYP,bg_holz_fenster_reusehoefe_ukraine_windows -HAT_BAUTEILTYP-> Fenster,web,,false,,UNSUPPORTED,UNSUPPORTED,hoch,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141989,,,,false,false,,0
EP03-0990,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675301,bg_holz_fenster_reusehoefe_ukraine_windows,mat_holz,NUTZT_MATERIAL,bg_holz_fenster_reusehoefe_ukraine_windows -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675301,,,,false,false,,0
EP03-0175,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141986,bg_holz_mehrere_beware_local_timber,bt_traeger,HAT_BAUTEILTYP,bg_holz_mehrere_beware_local_timber -HAT_BAUTEILTYP-> Traeger,web,,false,,UNSUPPORTED,UNSUPPORTED,hoch,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141986,,,,false,false,,0
EP03-0991,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675298,bg_holz_mehrere_beware_local_timber,mat_holz,NUTZT_MATERIAL,bg_holz_mehrere_beware_local_timber -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675298,,,,false,false,,0
EP03-0176,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141987,bg_holz_mehrere_beware_tulium_trusses,bt_traeger,HAT_BAUTEILTYP,bg_holz_mehrere_beware_tulium_trusses -HAT_BAUTEILTYP-> Traeger,web,,false,,UNSUPPORTED,UNSUPPORTED,hoch,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141987,,,,false,false,,0
EP03-0992,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675299,bg_holz_mehrere_beware_tulium_trusses,mat_holz,NUTZT_MATERIAL,bg_holz_mehrere_beware_tulium_trusses -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675299,,,,false,false,,0
EP03-0363,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919847897664062092,bg_mehrere_mehrere_reusehoefe_yard_logistics,bt_mehrere,HAT_BAUTEILTYP,bg_mehrere_mehrere_reusehoefe_yard_logistics -HAT_BAUTEILTYP-> Mehrere,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919847897664062092,,,,false,false,,0
EP03-1162,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675302,bg_mehrere_mehrere_reusehoefe_yard_logistics,mat_mehrere,NUTZT_MATERIAL,bg_mehrere_mehrere_reusehoefe_yard_logistics -NUTZT_MATERIAL-> Mehrere,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-RW-A,"{""reason"": ""no_dossier_match"", ""queries_tried"": 0}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675302,,,,false,false,,0
EP03-0423,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141515,bg_stahl_mehrere_55gss_external_core,bt_stuetze,HAT_BAUTEILTYP,bg_stahl_mehrere_55gss_external_core -HAT_BAUTEILTYP-> Stuetze,web,E:\recherche\_neo4j\processed\projects\records\p_55_great_suffolk_street_london.kg.jsonl,true,local,PARTIAL,PARTIAL,niedrig,Retrofit/extension with reused steel in new external service and circulation core; retained warehouse is not counted as direct reuse.,KEEP,,BG-RW-A,"{""tier"": ""primary"", ""source"": ""dossier_partial"", ""matched_aliases"": [""Steel"", ""steel""], ""score"": 6}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141515,dossier,Steel;steel,6,true,true,primary,1
EP03-0424,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826763,bg_stahl_mehrere_55gss_external_core,bt_traeger,HAT_BAUTEILTYP,bg_stahl_mehrere_55gss_external_core -HAT_BAUTEILTYP-> Traeger,web,E:\recherche\_neo4j\processed\projects\records\p_55_great_suffolk_street_london.kg.jsonl,true,local,PARTIAL,PROVEN,belegt,Reused steel profiles for external core Stahlprofile für neuen externen Kern structural external service and circulation core steel frame / reclaimed stock,UPGRADE,set_rel_properties,BG-RW-A,"{""tier"": ""primary"", ""source"": ""dossier_full"", ""matched_aliases"": [""Steel"", ""stahl"", ""profile""], ""score"": 8}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826763,bg_hunt_alias_match,Steel;stahl;profile,8,true,true,primary,1
