claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict_before,verdict_after,confidence,proof_quote,proposed_action,patch_op,agent_id,notes,coverage_level,graph_element_id,evidence_basis,matched_aliases,alias_score,project_anchor_hit,component_family_hit,search_tier,queries_tried
EP03-0174,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141989,bg_holz_fenster_reusehoefe_ukraine_windows,bt_fenster,HAT_BAUTEILTYP,bg_holz_fenster_reusehoefe_ukraine_windows -HAT_BAUTEILTYP-> Fenster,web,,false,,UNSUPPORTED,UNSUPPORTED,hoch,,KEEP_DEFERRED,,BG-RW-B,"{""queries_tried"": 4, ""urls_tried"": [], ""reason"": ""no_qualifying_quote""}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141989,,,,false,false,,4
EP03-0990,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675301,bg_holz_fenster_reusehoefe_ukraine_windows,mat_holz,NUTZT_MATERIAL,bg_holz_fenster_reusehoefe_ukraine_windows -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-RW-B,"{""queries_tried"": 4, ""urls_tried"": [], ""reason"": ""no_qualifying_quote""}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675301,,,,false,false,,4
EP03-0175,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141986,bg_holz_mehrere_beware_local_timber,bt_traeger,HAT_BAUTEILTYP,bg_holz_mehrere_beware_local_timber -HAT_BAUTEILTYP-> Traeger,web,,false,,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 4}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141986,,,,false,false,,4
EP03-0991,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675298,bg_holz_mehrere_beware_local_timber,mat_holz,NUTZT_MATERIAL,bg_holz_mehrere_beware_local_timber -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 4}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675298,,,,false,false,,4
EP03-0176,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141987,bg_holz_mehrere_beware_tulium_trusses,bt_traeger,HAT_BAUTEILTYP,bg_holz_mehrere_beware_tulium_trusses -HAT_BAUTEILTYP-> Traeger,web,,false,,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 4}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141987,,,,false,false,,4
EP03-0992,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675299,bg_holz_mehrere_beware_tulium_trusses,mat_holz,NUTZT_MATERIAL,bg_holz_mehrere_beware_tulium_trusses -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 4}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675299,,,,false,false,,4
EP03-0363,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919847897664062092,bg_mehrere_mehrere_reusehoefe_yard_logistics,bt_mehrere,HAT_BAUTEILTYP,bg_mehrere_mehrere_reusehoefe_yard_logistics -HAT_BAUTEILTYP-> Mehrere,web,,false,,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 4}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919847897664062092,,,,false,false,,4
EP03-1162,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675302,bg_mehrere_mehrere_reusehoefe_yard_logistics,mat_mehrere,NUTZT_MATERIAL,bg_mehrere_mehrere_reusehoefe_yard_logistics -NUTZT_MATERIAL-> Mehrere,web,,false,,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 4}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675302,,,,false,false,,4
EP03-0425,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141520,bg_stahl_mehrere_awm_cable_trays_shelves_lights,bt_ausbau,HAT_BAUTEILTYP,bg_stahl_mehrere_awm_cable_trays_shelves_lights -HAT_BAUTEILTYP-> Ausbau,web,,false,200,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 7}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141520,,,,false,false,,7
EP03-1229,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674832,bg_stahl_mehrere_awm_cable_trays_shelves_lights,mat_stahl,NUTZT_MATERIAL,bg_stahl_mehrere_awm_cable_trays_shelves_lights -NUTZT_MATERIAL-> Stahl,web,,false,200,UNSUPPORTED,PARTIAL,niedrig,,ESCALATE_HUMAN,,BG-RW-B,"{""reason"": ""bundle_bg"", ""policy"": ""ESCALATE_HUMAN"", ""queries_tried"": 7}",bg_hunt_rework,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674832,,,,false,false,,7
