claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict_before,verdict_after,confidence,proof_quote,proposed_action,patch_op,agent_id,notes,coverage_level,graph_element_id,evidence_basis,matched_aliases,alias_score,project_anchor_hit,component_family_hit,search_tier,queries_tried
EP03-0368,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141771,bg_mehrere_mehrere_superlocal_feste_kueche_installationen,bt_ausbau,HAT_BAUTEILTYP,bg_mehrere_mehrere_superlocal_feste_kueche_installationen -HAT_BAUTEILTYP-> Ausbau,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Feste Küche und Installationen,KEEP,,BG-W2-02,"{""matched_aliases"": [""Feste"", ""installationen""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141771,dossier,Feste;installationen,7,true,true,primary,1
EP03-0369,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629827019,bg_mehrere_mehrere_superlocal_feste_kueche_installationen,bt_technik,HAT_BAUTEILTYP,bg_mehrere_mehrere_superlocal_feste_kueche_installationen -HAT_BAUTEILTYP-> Technik,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Feste Küche und Installationen,KEEP,,BG-W2-02,"{""matched_aliases"": [""Feste"", ""installationen""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629827019,dossier,Feste;installationen,7,true,true,primary,1
EP03-0391,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141773,bg_mehrere_technik_superlocal_tga_heizkoerper_aluminiumrohre,bt_technik,HAT_BAUTEILTYP,bg_mehrere_technik_superlocal_tga_heizkoerper_aluminiumrohre -HAT_BAUTEILTYP-> Technik,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Heizkörper und Aluminiumrohre,KEEP,,BG-W2-02,"{""matched_aliases"": [""Heizk\u00f6rper"", ""aluminiumrohre""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141773,dossier,Heizkörper;aluminiumrohre,7,true,true,primary,1
EP03-1163,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675081,bg_mehrere_mehrere_superlocal_beton_wohnungsteile,mat_beton,NUTZT_MATERIAL,bg_mehrere_mehrere_superlocal_beton_wohnungsteile -NUTZT_MATERIAL-> Beton,web,https://www.kerkrade.nl/superlocal-bleijerheide,true,local,UNSUPPORTED,PROVEN,belegt,Drei Beton-Wohnungsteile / Großmodule,UPGRADE,set_rel_properties,BG-W2-02,"{""matched_aliases"": [""Drei Beton-Wohnungsteile"", ""wohnungsteile"", ""beton""], ""score"": 9, ""tier"": ""primary"", ""source"": ""dossier""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675081,bg_hunt_alias_match,Drei Beton-Wohnungsteile;wohnungsteile;beton,9,true,true,primary,1
EP03-1164,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360329,bg_mehrere_mehrere_superlocal_beton_wohnungsteile,mat_stahlbeton,NUTZT_MATERIAL,bg_mehrere_mehrere_superlocal_beton_wohnungsteile -NUTZT_MATERIAL-> Stahlbeton,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Drei Beton-Wohnungsteile / Großmodule,KEEP,,BG-W2-02,"{""matched_aliases"": [""Drei Beton-Wohnungsteile"", ""wohnungsteile""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360329,dossier,Drei Beton-Wohnungsteile;wohnungsteile,7,true,true,primary,1
EP03-1165,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675082,bg_mehrere_mehrere_superlocal_fenster_kozijnen,mat_glas,NUTZT_MATERIAL,bg_mehrere_mehrere_superlocal_fenster_kozijnen -NUTZT_MATERIAL-> Glas,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-02,"{""queries_tried"": 2, ""urls"": [""https://www.kerkrade.nl/superlocal-bleijerheide""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675082,,,,false,false,,2
EP03-1166,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360330,bg_mehrere_mehrere_superlocal_fenster_kozijnen,mat_holz,NUTZT_MATERIAL,bg_mehrere_mehrere_superlocal_fenster_kozijnen -NUTZT_MATERIAL-> Holz,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-02,"{""queries_tried"": 2, ""urls"": [""https://www.kerkrade.nl/superlocal-bleijerheide""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360330,,,,false,false,,2
EP03-1167,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675083,bg_mehrere_mehrere_superlocal_feste_kueche_installationen,mat_holz,NUTZT_MATERIAL,bg_mehrere_mehrere_superlocal_feste_kueche_installationen -NUTZT_MATERIAL-> Holz,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Feste Küche und Installationen,KEEP,,BG-W2-02,"{""matched_aliases"": [""Feste"", ""installationen""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675083,dossier,Feste;installationen,7,true,true,primary,1
EP03-1168,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360331,bg_mehrere_mehrere_superlocal_feste_kueche_installationen,mat_stahl,NUTZT_MATERIAL,bg_mehrere_mehrere_superlocal_feste_kueche_installationen -NUTZT_MATERIAL-> Stahl,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Feste Küche und Installationen,KEEP,,BG-W2-02,"{""matched_aliases"": [""Feste"", ""installationen""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360331,dossier,Feste;installationen,7,true,true,primary,1
EP03-1198,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675085,bg_mehrere_technik_superlocal_tga_heizkoerper_aluminiumrohre,mat_aluminium,NUTZT_MATERIAL,bg_mehrere_technik_superlocal_tga_heizkoerper_aluminiumrohre -NUTZT_MATERIAL-> Aluminium,web,E:\recherche\_neo4j\processed\projects\records\p_superlocal_expogebouw_bleijerheide.kg.jsonl,true,local,UNSUPPORTED,PARTIAL,niedrig,Heizkörper und Aluminiumrohre,KEEP,,BG-W2-02,"{""matched_aliases"": [""Heizk\u00f6rper"", ""aluminiumrohre""], ""score"": 7, ""tier"": ""primary"", ""source"": ""dossier_partial""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675085,dossier,Heizkörper;aluminiumrohre,7,true,true,primary,1
