claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict_before,verdict_after,confidence,proof_quote,proposed_action,patch_op,agent_id,notes,coverage_level,graph_element_id,evidence_basis,matched_aliases,alias_score,project_anchor_hit,component_family_hit,search_tier,queries_tried
EP03-1204,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675295,bg_metall_ausbau_medunicampus_bike_workshop,mat_stahl,NUTZT_MATERIAL,bg_metall_ausbau_medunicampus_bike_workshop -NUTZT_MATERIAL-> Stahl,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 0, ""urls"": [], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675295,,,,false,false,,0
EP03-1205,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675296,bg_metall_ausbau_medunicampus_heavy_shelves,mat_stahl,NUTZT_MATERIAL,bg_metall_ausbau_medunicampus_heavy_shelves -NUTZT_MATERIAL-> Stahl,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 0, ""urls"": [], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675296,,,,false,false,,0
EP03-0519,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141725,bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs,bt_dach,HAT_BAUTEILTYP,bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs -HAT_BAUTEILTYP-> Dach,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 1, ""urls"": [""https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141725,,,,false,false,,1
EP03-0520,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826973,bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs,bt_decke,HAT_BAUTEILTYP,bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs -HAT_BAUTEILTYP-> Decke,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 1, ""urls"": [""https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826973,,,,false,false,,1
EP03-0535,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141726,bg_stahlbeton_wand_mehrow_wbs70_slabs,bt_wand,HAT_BAUTEILTYP,bg_stahlbeton_wand_mehrow_wbs70_slabs -HAT_BAUTEILTYP-> Wand,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 1, ""urls"": [""https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141726,,,,false,false,,1
EP03-1285,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675037,bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs,mat_stahlbeton,NUTZT_MATERIAL,bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs -NUTZT_MATERIAL-> Stahlbeton,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 1, ""urls"": [""https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675037,,,,false,false,,1
EP03-1295,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675038,bg_stahlbeton_wand_mehrow_wbs70_slabs,mat_stahlbeton,NUTZT_MATERIAL,bg_stahlbeton_wand_mehrow_wbs70_slabs -NUTZT_MATERIAL-> Stahlbeton,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 1, ""urls"": [""https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675038,,,,false,false,,1
EP03-0521,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141727,bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs,bt_boden,HAT_BAUTEILTYP,bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs -HAT_BAUTEILTYP-> Boden,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 2, ""urls"": [""https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141727,,,,false,false,,2
EP03-0522,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826975,bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs,bt_decke,HAT_BAUTEILTYP,bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs -HAT_BAUTEILTYP-> Decke,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 2, ""urls"": [""https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826975,,,,false,false,,2
EP03-1286,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675039,bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs,mat_stahlbeton,NUTZT_MATERIAL,bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs -NUTZT_MATERIAL-> Stahlbeton,web,,false,,UNSUPPORTED,UNSUPPORTED,unbelegt,,KEEP_DEFERRED,,BG-W2-01,"{""queries_tried"": 2, ""urls"": [""https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/""], ""reason"": ""no_qualifying_quote""}",bg_hunt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675039,,,,false,false,,2
