claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
EP04-rel-00001,rel,r_bw_ka13_existing_building__GEBAUT_IN_ERA__era_nachkrieg_1945_1970,bw_ka13_existing_building,era_nachkrieg_1945_1970,GEBAUT_IN_ERA,bw_ka13_existing_building is linked via GEBAUT_IN_ERA to era_nachkrieg_1945_1970 (Nachkrieg 1945–1970),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_ka13_existing_building) -[GEBAUT_IN_ERA]-> BauwerkEra(era_nachkrieg_1945_1970); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157599,rel
EP04-rel-00002,rel,r_bw_lycee_block_3000__GEBAUT_IN_ERA__era_1970_1990,bw_lycee_block_3000,era_1970_1990,GEBAUT_IN_ERA,bw_lycee_block_3000 is linked via GEBAUT_IN_ERA to era_1970_1990 (1970–1990),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_lycee_block_3000) -[GEBAUT_IN_ERA]-> BauwerkEra(era_1970_1990); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157694,rel
EP04-rel-00003,rel,r_bw_lycee_block_6000__GEBAUT_IN_ERA__era_1990_2000,bw_lycee_block_6000,era_1990_2000,GEBAUT_IN_ERA,bw_lycee_block_6000 is linked via GEBAUT_IN_ERA to era_1990_2000 (1990–2000),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_lycee_block_6000) -[GEBAUT_IN_ERA]-> BauwerkEra(era_1990_2000); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157695,rel
EP04-rel-00004,rel,r_bw_multi_brouckere_tower__GEBAUT_IN_ERA__era_nachkrieg_1945_1970,bw_multi_brouckere_tower,era_nachkrieg_1945_1970,GEBAUT_IN_ERA,bw_multi_brouckere_tower is linked via GEBAUT_IN_ERA to era_nachkrieg_1945_1970 (Nachkrieg 1945–1970),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_multi_brouckere_tower) -[GEBAUT_IN_ERA]-> BauwerkEra(era_nachkrieg_1945_1970); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157777,rel
EP04-rel-00005,rel,r_bw_rws_districtskantoor_terneuzen__GEBAUT_IN_ERA__era_1990_2000,bw_rws_districtskantoor_terneuzen,era_1990_2000,GEBAUT_IN_ERA,bw_rws_districtskantoor_terneuzen is linked via GEBAUT_IN_ERA to era_1990_2000 (1990–2000),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_rws_districtskantoor_terneuzen) -[GEBAUT_IN_ERA]-> BauwerkEra(era_1990_2000); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157538,rel
EP04-rel-00006,rel,r_bw_suutarila_community_centre_donor__GEBAUT_IN_ERA__era_1970_1990,bw_suutarila_community_centre_donor,era_1970_1990,GEBAUT_IN_ERA,bw_suutarila_community_centre_donor is linked via GEBAUT_IN_ERA to era_1970_1990 (1970–1990),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_suutarila_community_centre_donor) -[GEBAUT_IN_ERA]-> BauwerkEra(era_1970_1990); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157757,rel
EP04-rel-00007,rel,r_bw_villa_welpeloo_wohnhaus_und_kunstlager__GEBAUT_IN_ERA__era_post_2000,bw_villa_welpeloo_wohnhaus_und_kunstlager,era_post_2000,GEBAUT_IN_ERA,bw_villa_welpeloo_wohnhaus_und_kunstlager is linked via GEBAUT_IN_ERA to era_post_2000 (nach 2000),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_villa_welpeloo_wohnhaus_und_kunstlager) -[GEBAUT_IN_ERA]-> BauwerkEra(era_post_2000); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917699451943387214,rel
EP04-rel-00008,rel,r_bw_werkhof_moeoeslistrasse__GEBAUT_IN_ERA__era_1970_1990,bw_werkhof_moeoeslistrasse,era_1970_1990,GEBAUT_IN_ERA,bw_werkhof_moeoeslistrasse is linked via GEBAUT_IN_ERA to era_1970_1990 (1970–1990),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl + get-schema (Agent 12 A12-rel-agg-0021),false,,PROVEN,hoch,Bauwerk(bw_werkhof_moeoeslistrasse) -[GEBAUT_IN_ERA]-> BauwerkEra(era_1970_1990); domain/range conform,KEEP,EP-04,from_labels=['Bauwerk']; to_labels=['BauwerkEra']; prior aggregate A12-rel-agg-0021 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153091928909157636,rel
EP04-rel-00009,rel,r_p_55_great_suffolk_street_london__HAT_BAUTEILGRUPPE__bg_stahl_mehrere_55gss_external_core,p_55_great_suffolk_street_london,bg_stahl_mehrere_55gss_external_core,HAT_BAUTEILGRUPPE,p_55_great_suffolk_street_london is linked via HAT_BAUTEILGRUPPE to bg_stahl_mehrere_55gss_external_core (Steel profiles for…),logic,get-schema + project_batches_v1_1 (instance edges),false,,PROVEN,hoch,Projekt(p_55_great_suffolk_street_london) -[HAT_BAUTEILGRUPPE]-> Bauteilgruppe(bg_stahl_mehrere_55gss_external_core); domain/range conform; Bauteilgruppe is donor instance node not closed vocab,KEEP,EP-04,from_labels=['Projekt']; to_labels=['Bauteilgruppe']; prior aggregate A12-rel-agg-0006 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917641177827115211,rel
EP04-rel-00010,rel,r_p_association_house_groeditz__HAT_BAUTEILGRUPPE__bg_stahlbeton_mehrere_groeditz_dresden_type_precast_components,p_association_house_groeditz,bg_stahlbeton_mehrere_groeditz_dresden_type_precast_components,HAT_BAUTEILGRUPPE,p_association_house_groeditz is linked via HAT_BAUTEILGRUPPE to bg_stahlbeton_mehrere_groeditz_dresden_type_precast_components (Dresden-type precast…),logic,get-schema + project_batches_v1_1 (instance edges),false,,PROVEN,hoch,Projekt(p_association_house_groeditz) -[HAT_BAUTEILGRUPPE]-> Bauteilgruppe(bg_stahlbeton_mehrere_groeditz_dresden_type_precast_components); domain/range conform; Bauteilgruppe is donor instance node not closed vocab,KEEP,EP-04,from_labels=['Projekt']; to_labels=['Bauteilgruppe']; prior aggregate A12-rel-agg-0006 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917641177827115340,rel
EP04-rel-00011,rel,r_p_association_house_groeditz__HAT_BAUTEILGRUPPE__bg_stahlbeton_mehrere_groeditz_wbs70_precast_panels,p_association_house_groeditz,bg_stahlbeton_mehrere_groeditz_wbs70_precast_panels,HAT_BAUTEILGRUPPE,p_association_house_groeditz is linked via HAT_BAUTEILGRUPPE to bg_stahlbeton_mehrere_groeditz_wbs70_precast_panels (WBS70 precast panels),logic,get-schema + project_batches_v1_1 (instance edges),false,,PROVEN,hoch,Projekt(p_association_house_groeditz) -[HAT_BAUTEILGRUPPE]-> Bauteilgruppe(bg_stahlbeton_mehrere_groeditz_wbs70_precast_panels); domain/range conform; Bauteilgruppe is donor instance node not closed vocab,KEEP,EP-04,from_labels=['Projekt']; to_labels=['Bauteilgruppe']; prior aggregate A12-rel-agg-0006 superseded by element row,EP-04,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917641177827115341,rel
