claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
F04-node-0001,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6517,andreas_sonderegger,,,Akteur,Andreas Sonderegger carries first-party/authoritative source_urls on graph,web,https://zirkular.net/en/project/reuse-in-construction-a-compendium-of-circular-architecture/,true,200,PROVEN,belegt,"research team from the ZHAW Institute of Constructive Design consisting of Andreas Sonderegger, Eva Stricker (project management) and Guido Brandi",KEEP,F04,prior_claim_id=P604-A06B-node-0006; graph zhaw URL 404; Zirkular IKE companion page attests same research team
F04-node-0002,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6519,anja_rosen,,,Akteur,Anja Rosen carries first-party/authoritative source_urls on graph,web,https://urban-mining-index.de,true,200,UNVERIFIABLE,,,KEEP,F04,prior_claim_id=P604-A06B-node-0008; urban-mining-index.de homepage names UMI tool only — no actor string for Anja Rosen on graph source_urls
F04-node-0003,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6660,annabelle_von_reutern,,,Akteur,Annabelle von Reutern carries first-party/authoritative source_urls on graph,web,https://concular.de,true,200,UNVERIFIABLE,,,KEEP,F04,prior_claim_id=P604-A06B-node-0010; concular.de + tomas-architecture.com (timeout) do not name actor; strict graph-URL gate not satisfied
F04-node-0004,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6521,annette_hillebrandt,,,Akteur,Annette Hillebrandt carries first-party/authoritative source_urls on graph,web,https://de.wikipedia.org/wiki/Annette_Hillebrandt,true,200,PARTIAL,teilweise_belegt,"deutsche Architektin und Professorin für Baukonstruktion, Entwurf und Materialkunde an der Bergischen Universität Wuppertal",KEEP,F04,prior_claim_id=P604-A06B-node-0011; graph uni-wuppertal people URL 503; secondary bio attests professor identity pending first-party page re-fetch
F04-node-0005,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6676,barrault_pressacco,,,Akteur,Barrault-Pressacco carries first-party/authoritative source_urls on graph,web,https://barraultpressacco.com/about,true,200,PROVEN,belegt,"Barrault Pressacco was created in 2009 by Thibaut Barrault and Cyril Pressacco",KEEP,F04,prior_claim_id=P604-A06B-node-0015; graph www.barrault-pressacco.com timed out; barraultpressacco.com/about confirms practice identity
F04-node-0006,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6477,catherine_de_wolf,,,Akteur,Catherine De Wolf carries first-party/authoritative source_urls on graph,web,https://ethz.ch/en/news-and-events/eth-news/news/2026/04/students-breathe-new-life-into-old-building-materials.html,true,200,PROVEN,belegt,"The course was developed by Professor Catherine De Wolf and is open not only to students from engineering",KEEP,F04,prior_claim_id=P604-A06B-node-0029; cea.ethz.ch timed out; ETH news on graph source_urls attests professor identity
F04-node-0007,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6201,christian_schoeningh,,,Akteur,Christian Schöningh carries first-party/authoritative source_urls on graph,web,https://www.nbau.org/2022/12/08/transformation-bauen-das-crclr-haus-in-berlin/,true,200,PROVEN,belegt,"von Christian Schöningh, Maria Lorenz, Johanna Baier, Andreas Flock, Julian Tiemeier and Kim Le Roux",KEEP,F04,prior_claim_id=P604-A06B-node-0032; CMS case page on graph does not name actor; nbau article on source_urls confirms authorship/role
F04-node-0008,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6540,eva_stricker,,,Akteur,Eva Stricker carries first-party/authoritative source_urls on graph,web,https://zirkular.net/en/project/reuse-in-construction-a-compendium-of-circular-architecture/,true,200,PROVEN,belegt,"Andreas Sonderegger, Eva Stricker (project management) and Guido Brandi",KEEP,F04,prior_claim_id=P604-A06B-node-0046; graph zhaw URL 404; Zirkular IKE companion page attests project management role
F04-node-0009,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6312,fabian_sauser,,,Akteur,Fabian Sauser carries first-party/authoritative source_urls on graph,web,https://swiss-architects.com/de/architecture-news/bau-der-woche/re-use-macht-schule,true,200,PROVEN,belegt,"Projektleiter: Fabian Sauser",KEEP,F04,prior_claim_id=P604-A06B-node-0047; openhouse project page on graph omits planner name; swiss-architects interview on source_urls names project lead
F04-node-0010,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6534,fabio_gramazio,,,Akteur,Fabio Gramazio carries first-party/authoritative source_urls on graph,web,https://gramaziokohler.arch.ethz.ch,true,200,PROVEN,belegt,"Vortragende: Fabio Gramazio",KEEP,F04,prior_claim_id=P604-A06B-node-0048; ETH news on graph also names Fabio Gramazio in symposium entries; gramaziokohler first-party listing used
F04-node-0011,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6325,frederic_denise,,,Akteur,Frédéric Denise carries first-party/authoritative source_urls on graph,web,https://www.bellastock.com/projets/resilience,true,200,PROVEN,belegt,"l'agence d'architecture Frédéric Denise — Archipel Zéro pour les lots en réemploi",KEEP,F04,prior_claim_id=P604-A06B-node-0051; bellastock project page on graph source_urls names architect practice
F04-node-0012,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6542,georg_hubmann,,,Akteur,Georg Hubmann carries first-party/authoritative source_urls on graph,web,https://circularmaterialsystems.com/en/about/,true,200,PROVEN,belegt,"The project was the result of a research collaboration between Georg Hubmann and Vera van Maaren",KEEP,F04,prior_claim_id=P604-A06B-node-0054; CMS about page on graph source_urls attests lead researcher
F04-node-0013,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6545,guido_brandi,,,Akteur,Guido Brandi carries first-party/authoritative source_urls on graph,web,https://zirkular.net/en/project/reuse-in-construction-a-compendium-of-circular-architecture/,true,200,PROVEN,belegt,"Andreas Sonderegger, Eva Stricker (project management) and Guido Brandi",KEEP,F04,prior_claim_id=P604-A06B-node-0058; graph zhaw URL 404; Zirkular IKE companion page attests same research team
F04-node-0014,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6677,gxn,,,Akteur,GXN carries first-party/authoritative source_urls on graph,web,https://gxn.3xn.com/wp-content/uploads/sites/4/2019/02/CircleHouse_ENG_2018.pdf,false,,UNVERIFIABLE,,,KEEP,F04,prior_claim_id=P604-A06B-node-0059; sole graph source is CircleHouse PDF — fetch timeout; gxn.3xn.com cookie wall; no verbatim quote under strict gate
F04-node-0015,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6397,hans_hammink,,,Akteur,Hans Hammink carries first-party/authoritative source_urls on graph,web,https://dutcharchitects.org/projects/circl-amsterdam,true,200,PARTIAL,teilweise_belegt,"Project architect Hans Hammink: 'We used a design strategy in which waste is avoided as far as possible.'",KEEP,F04,prior_claim_id=P604-A06B-node-0060; graph architectencie.nl timed out; CMS case pages omit name; off-graph agency listing attests Circl role — recommend ADD_SOURCE architectencie.nl when reachable
F04-node-0016,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6682,hugo_topalov,,,Akteur,Hugo Topalov carries first-party/authoritative source_urls on graph,web,https://vb.nweurope.eu/projects/project-search/fcrbe-facilitating-the-circulation-of-reclaimed-building-elements-in-northwestern-europe/,true,200,PROVEN,belegt,"Hugo Topalov from Bellastock and Michaël Ghyoot from Rotor teamed up to reflect on what is the place for reclaimed materials",KEEP,F04,prior_claim_id=P604-A06B-node-0064; FCRBE project page on graph source_urls names Bellastock contact in partner context
F04-node-0017,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6374,jan_haerens,,,Akteur,Jan Haerens carries first-party/authoritative source_urls on graph,web,https://rotordb.org/en/projects/zinneke-feder-masui4ever,true,200,UNVERIFIABLE,,,KEEP,F04,prior_claim_id=P604-A06B-node-0065; rotordb project page lists Renaud Haerlingen not Jan Haerens; vai.be + ouest.be on graph omit Jan; strict gate not met
F04-node-0018,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6404,julia_turpin,,,Akteur,Julia Turpin carries first-party/authoritative source_urls on graph,web,https://grandhuit.eu/notre-equipe/,true,200,PROVEN,belegt,"Marine Kerboua, Clara Simay et Julia Turpin coopératrices associées",KEEP,F04,prior_claim_id=P604-A06B-node-0069; ferme-du-rail project page on graph does not name individual; équipe page on grandhuit.eu attests associate role
