claim_id,scope,property_key,occurrences,approved_baseline,verdict,agent_id,notes
F06-NK-adresse,node,adresse,246,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-aktualisiert_am_utc,node,aktualisiert_am_utc,32,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-akzeptanzfaktoren,node,akzeptanzfaktoren,6,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-aliases,node,aliases,42,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-alte_funktion,node,alte_funktion,248,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-area_m2_gross,node,area_m2_gross,35,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-bauobjektklasse,node,bauobjektklasse,199,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-bauproduktstatus,node,bauproduktstatus,32,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-bauteilebene,node,bauteilebene,286,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-beschreibung,node,beschreibung,88,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-bg_kind,node,bg_kind,364,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-bilanzgrenze,node,bilanzgrenze,214,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-brand_layer,node,brand_layer,15,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-category,node,category,266,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-confidence,node,confidence,91,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-country_iso2,node,country_iso2,15,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-created_at,node,created_at,103,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-deprecated_am_utc,node,deprecated_am_utc,16,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-deprecated_reason,node,deprecated_reason,16,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-einheit,node,einheit,255,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-entwurfsbeschreibung,node,entwurfsbeschreibung,82,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-entwurfsbeschreibung_quelle,node,entwurfsbeschreibung_quelle,82,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-entwurfsqualitaet_am_utc,node,entwurfsqualitaet_am_utc,82,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-entwurfsqualitaet_run,node,entwurfsqualitaet_run,82,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-entwurfsqualitaet_vokabular_version,node,entwurfsqualitaet_vokabular_version,82,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-evidence_basis,node,evidence_basis,13,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-fact_index,node,fact_index,255,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-funktionswechsel,node,funktionswechsel,246,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-geo_aktualisiert_am_utc,node,geo_aktualisiert_am_utc,319,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-geo_confidence,node,geo_confidence,246,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-geo_import_run,node,geo_import_run,319,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-id,node,id,2263,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-intake_run,node,intake_run,32,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-kennwert,node,kennwert,255,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-kind,node,kind,17,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-land,node,land,5,no,DEPRECATE,F06,legacy/redundant; A14-LAND-001 / sidecar backlog
F06-NK-latitude,node,latitude,299,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-layer,node,layer,15,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-lca_modules,node,lca_modules,6,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-literature_ref,node,literature_ref,16,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-longitude,node,longitude,299,no,DOCUMENT_DRIFT,F06,intentional post-2026-06-05 intake
F06-NK-maps_to_nachweisforderung,node,maps_to_nachweisforderung,8,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-matchingqualitaet_geo,node,matchingqualitaet_geo,33,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
F06-NK-matchingqualitaet_spec,node,matchingqualitaet_spec,80,yes,KEEP,F06,approved manifest 2026-06-05 phase 8
