claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status,issue_type,is_synthetic,is_external,fix_status,prior_proof_quote,prior_basis_type,prior_basis_ref,graph_evidence_source
A14-RELKEY-002,rel,bauwerk_role_singleton,p_multi_brussels_reuse_in_multi,bw_generale_de_banque_brussels,HAT_BAUWERK,Singleton property bauwerk_role='donor_source' (occ 1) duplicates canonical 'role' (occ 166),web,https://opalis.eu/fr/projets/ancien-siege-de-la-generale-de-banque,false,,PROVEN,,role=donor_source; bauwerk_role removed,APPLIED,F08,Q01: bauwerk_role→role via fix_property.patch.jsonl (prior); [P6-01] Q01: bauwerk_role→role via fix_property.patch.jsonl (prior); F08 FIXED_REL_QUOTE; graph=graph_rel_properties,14+P6-01+P6-01+P6-01+P6-01+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157591130490017168,rel,logic_basis,false,true,FIXED_REL_QUOTE,role=donor_source; bauwerk_role removed,logic,read-cypher key scan,graph_rel_properties
A14-RELKEY-001,rel,nutzung_role_offcanonical,rotordc,bw_generale_de_banque_brussels,NUTZT_BAUWERK,Off-canonical relationship property nutzung_role='salvage_source',web,https://rotordc.com/blog/salvaging-by-rotordc-3/generale-banks-hq-brussels-72,false,,PROVEN,,role=salvage_source; nutzung_role removed,APPLIED,F08,Q01: nutzung_role→role via fix_property.patch.jsonl (prior); [P6-01] Q01: nutzung_role→role via fix_property.patch.jsonl (prior); F08 FIXED_REL_QUOTE; graph=graph_rel_properties,14+P6-01+P6-01+P6-01+P6-01+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152984176769636740,rel,logic_basis,false,true,FIXED_REL_QUOTE,role=salvage_source; nutzung_role removed,logic,read-cypher key scan,graph_rel_properties
A02-node-0010,node,maarten_gielen,,,Akteur,Maarten Gielen is a Rotor co-founder,web,https://rotordc.com,false,,PARTIAL,teilweise_belegt,entity Maarten Gielen sourced at https://rotordc.com,KEEP,F08,documented Rotor co-founder (2005); cited in node source_urls (rotordb project pages) but not fetch-confirmed by a naming quote in this run; low risk; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls,02+F08,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6558,node,empty_proof_quote,false,true,FIXED_NODE_URL,,none,https://rotordc.com,primary_source_url/source_urls
A02-node-0011,node,lionel_devlieger,,,Akteur,Lionel Devlieger is a Rotor co-founder,web,https://rotordb.org/en/projects/zinneke-feder-masui4ever,false,,PARTIAL,teilweise_belegt,entity Lionel Devlieger sourced at https://rotordb.org/en/projects/zinneke-feder-masui4ever,KEEP,F08,documented Rotor co-founder; cited in node source_urls but the fetched pages did not name him this run; low risk; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls,02+F08,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6599,node,empty_proof_quote,false,true,FIXED_NODE_URL,,none,https://rotordb.org/en/projects/architecture-reuse-brussels,primary_source_url/source_urls
A02-node-0012,node,tristan_boniver,,,Akteur,Tristan Boniver is a Rotor co-founder,web,https://rotordb.org/en,false,,PARTIAL,teilweise_belegt,entity Tristan Boniver sourced at https://rotordb.org/en,KEEP,F08,documented Rotor co-founder; source_urls are generic rotordb pages; not fetch-confirmed by a naming quote this run; low risk; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls,02+F08,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6637,node,empty_proof_quote,false,true,FIXED_NODE_URL,,none,https://rotordb.org/en,primary_source_url/source_urls
A14-NODEKEY-002,node,mobius_reemploi,,,Akteur,Stray off-schema node keys needs_evidence_urls + evidence_urls_target (occ 1 each),web,https://www.iledefrance.fr/tous-les-services/ma-region-pres-de-chez-moi/environnement/economie-circulaire-et-gestion-des-dechets/96425-construction-dune-plateforme-de-reconditionnement-de-materiaux-pour-lentreprise-mobius-reemploi,false,,PROVEN,,needs_evidence_urls/evidence_urls_target absent,APPLIED,F08,Q01: TODO marker keys removed via fix_property.patch.jsonl (prior); [P6-01] Q01: TODO marker keys removed via fix_property.patch.jsonl (prior); F08 FIXED_NODE_URL; graph=primary_source_url/source_urls,14+P6-01+P6-01+P6-01+P6-01+F08,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6578,node,logic_basis,false,true,FIXED_NODE_URL,needs_evidence_urls/evidence_urls_target absent,logic,read-cypher key scan,primary_source_url/source_urls
09-beteiligt_an-0322,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117664687,baukarussell,bg_holz_wand_medunicampus_doors_as_cladding,BETEILIGT_AN,Akteur baukarussell beteiligt an Bauteilgruppe bg_holz_wand_medunicampus_doors_as_cladding (ck=reuse_supply_or_material_hub_candidate),web,https://www.medunicampus-mariannengasse.at/ueber-uns/news/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117664687,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0323,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931349935,baukarussell,bg_mehrere_technik_medunicampus_paternoster,BETEILIGT_AN,Akteur baukarussell beteiligt an Bauteilgruppe bg_mehrere_technik_medunicampus_paternoster (ck=reuse_supply_or_material_hub_candidate),web,https://www.medunicampus-mariannengasse.at/ueber-uns/news/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931349935,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0325,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117692945,bauteilboerse_basel_overall,bg_mineralisch_wand_elementa_baufeld_d,BETEILIGT_AN,Akteur bauteilboerse_basel_overall beteiligt an Bauteilgruppe bg_mineralisch_wand_elementa_baufeld_d (ck=reuse_supply_or_material_hub_candidate),web,https://zirkular.net/de/projekt/bauteilkatalog-immobilien-basel-stadt/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117692945,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
09-beteiligt_an-0328,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157526259303977929,bauteilladen_winterthur,bg_mehrere_dach_grubenstrasse_sheets,BETEILIGT_AN,Akteur bauteilladen_winterthur beteiligt an Bauteilgruppe bg_mehrere_dach_grubenstrasse_sheets (ck=reuse_supply_or_material_hub_candidate),web,https://zirkular.net/de/projekt/grubenstrasse-29/,false,,PARTIAL,teilweise_belegt,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",RELABEL,F08,"candidate/inferred edge - downgrade or keep as candidate, not proven participation; F08 FIXED_REL_QUOTE; graph=graph_rel_properties",09+F08,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157526259303977929,rel,logic_basis,false,true,FIXED_REL_QUOTE,"inferred participation via reuse_supply_or_material_hub_candidate; shared-material/candidate, no evidence_url",logic,connection_kind inference,graph_rel_properties
