claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
IER-A2-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147941,bauteilboerse_bremen,bt_technik,HAT_BAUTEILTYP,bauteilboerse_bremen -HAT_BAUTEILTYP-> Technik,web,https://www.bauteilboerse-bremen.de/start,true,200,PARTIAL,teilweise_belegt,Start Toggle navigation Start Katalog Fenster Türen Hof & Garten Böden & Treppen Wände & Innenraum Sanitär & Heizung Elektro Schätze & Upcycling Dach & Fassade Suche Merkzettel Die Idee Über uns Vereine Aktuelles Film der Bundesstiftung Bauakademie Kontakt Merkzettel Suche Willkommen in der bauteilb,RESOURCE,IER-A2,catalogue single-endpoint; from=yes to=no
IER-A2-0002,rel,r_deeper_heyne_tillett_steel__NUTZT_SOFTWARE__tool_hts_stockmatcher,heyne_tillett_steel,tool_hts_stockmatcher,NUTZT_SOFTWARE,HTS uses its Reused Steel Stockmatcher,web,https://www.heynetillettsteel.com/,false,,DEAD_LINK,unbelegt,,RESOURCE,IER-A2,prior_verdict=PARTIAL; prior_claim=A10-R-028; fetch_error=<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn
IER-A2-0003,rel,r_p_timber_square_london__NUTZT_SOFTWARE__tool_hts_stockmatcher,p_timber_square_london,tool_hts_stockmatcher,NUTZT_SOFTWARE,Timber Square London used HTS Stockmatcher,web,https://www.heynetillettsteel.com/,false,,DEAD_LINK,unbelegt,,RESOURCE,IER-A2,prior_verdict=PARTIAL; prior_claim=A10-R-045; fetch_error=<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn
IER-A2-0004,rel,r_baubuero_in_situ__VERBUNDEN_MIT_AKTEUR__zirkular,baubuero_in_situ,zirkular,VERBUNDEN_MIT_AKTEUR,actor affiliation/structural link baubuero_in_situ -> zirkular (no evidence_url on edge),web,https://zirkular.net/en/project/building-k-118/,true,200,PROVEN,belegt,"Zirkular Projects Building K.118 Completed simultaneously by baubüro in situ in 2021, the projects K.118 in Winterthur and ELYS in Basel, proved to be pioneering projects of circular building.",FIX_PROPERTY,IER-A2,both-endpoint gate pass; from=yes to=yes
IER-A2-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304512982,skanska_finland,consolis_parma,VERBUNDEN_MIT_AKTEUR,actor-network link skanska_finland -> consolis_parma (no evidence_url/source_url on edge),web,https://recreate-project.eu/tag/precast-concrete,true,200,PROVEN,belegt,"precast concrete - Recreate Home About us Project structure Project pilots Finland Sweden The Netherlands Germany The partners News Interviews Blog posts Reports explained Meetings, pilot visits Events Exhibitions H22 City Expo Lisbon Architecture Triennale 2022 Tallinn Architecture Biennale 2024 Ot",KEEP,IER-A2,both-endpoint gate pass; from=yes to=yes
IER-A2-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304512984,consolis_parma,umacon,VERBUNDEN_MIT_AKTEUR,actor-network link consolis_parma -> umacon (no evidence_url/source_url on edge),web,https://recreate-project.eu/tag/precast-concrete,true,200,PROVEN,belegt,The practical experience acquired from the pilot is therefore highly valuable.’ Reused elements were meticulously quality controlled and factory refurbished Mini pilot installation The elements reused in the pilot were quality controlled and factory refurbished in Consolis Parma’s factory in Kangasa,KEEP,IER-A2,both-endpoint gate pass; from=yes to=yes
IER-A2-0007,rel,r_marc_angst__VERBUNDEN_MIT_AKTEUR__zirkular,marc_angst,zirkular,VERBUNDEN_MIT_AKTEUR,actor affiliation/structural link marc_angst -> zirkular (no evidence_url on edge),web,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,true,200,PROVEN,belegt,"Zirkular Projects Guide «Reuse of Building Components» – A Legal Framework When building components are reused in the construction industry, complex questions arise in the interface between law and architecture and particularly in the area of contract law and approval procedures.",FIX_PROPERTY,IER-A2,both-endpoint gate pass; from=yes to=yes
IER-A2-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514363,angelika_mettke,btu_cottbus,VERBUNDEN_MIT_AKTEUR,actor-network link angelika_mettke -> btu_cottbus (no evidence_url/source_url on edge),web,https://recreate-project.eu/tag/precast-concrete,true,200,PROVEN,belegt,"Another key criterion for ReCreate is the integration and presentation of the communication concept with scientific support, represented here by the BTU Cottbus-Senftenberg.",KEEP,IER-A2,both-endpoint gate pass; from=yes to=yes
IER-A2-0009,rel,r_deeper_software_opalis__BETRIEBEN_VON__opalis,software_opalis,opalis,BETRIEBEN_VON,Opalis platform operated by 'opalis' (actor),web,https://opalis.eu/en/about,true,200,PROVEN,belegt,About | Opalis Skip to main content en fr nl Main navigation Dealers Materials Materials Product operations Examples Documentation More information FAQ About News Sandbox About About Opalis The objective of the Opalis website is to facilitate the reuse of materials in construction and renovation pro,FIX_PROPERTY,IER-A2,both-endpoint gate pass; from=yes to=yes
IER-A2-0010,rel,r_deeper_tool_hts_stockmatcher__BETRIEBEN_VON__heyne_tillett_steel,tool_hts_stockmatcher,heyne_tillett_steel,BETRIEBEN_VON,HTS Stockmatcher operated by Heyne Tillett Steel,web,https://www.heynetillettsteel.com/,false,,DEAD_LINK,unbelegt,,RESOURCE,IER-A2,prior_verdict=PARTIAL; prior_claim=A10-R-096; fetch_error=<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn
IER-A2-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839390501,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",web,https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,true,200,PROVEN,belegt,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",KEEP,IER-A2,regulation+project on page; from=yes to=yes
IER-A2-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839390687,p_biopartner_5_leiden_oegstgeest,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",web,https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,true,200,PARTIAL,teilweise_belegt,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",RELABEL,IER-A2,regulation cited but project endpoint weak; from=no to=yes
IER-A2-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839390705,p_bluecity_offices_rotterdam,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",web,https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,true,200,PARTIAL,teilweise_belegt,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",RELABEL,IER-A2,regulation cited but project endpoint weak; from=no to=yes
IER-A2-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839390878,p_jeugdkliniek_ithaka_emergis_kloetinge,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",web,https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,true,200,PARTIAL,teilweise_belegt,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",RELABEL,IER-A2,regulation cited but project endpoint weak; from=no to=yes
IER-A2-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839391000,p_liander_alliander_hq_duiven,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",web,https://climate-laws.org/document/the-environment-buildings-decree-of-the-netherlands-besluit-bouwwerken-leefomgeving-bbl_1057,true,200,PARTIAL,teilweise_belegt,"Article 4.166 Bbl facilitates 1-to-1 reuse of building products without quality loss, allowing direct redeployment in new construction works.",RELABEL,IER-A2,regulation cited but project endpoint weak; from=no to=yes
