claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
AKT-node-010,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5790,abc_raadgivende_ingenioerer,,Akteur,ABC Rådgivende Ingeniører / ABC Consulting Engineers - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-013,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5287,abt,,Akteur,ABT - Unternehmen,web,https://abt.de,true,200,PROVEN,belegt,ABT Anwender Beratung Telekommunikation Zum Inhalt springen Suche nach: Home Dienstleistungen Prozesse Technologie Gebühren Allgemein All-IP Analyse Honorar Referenzen Jobs/Karriere Kontakt ABT Home ABT Beratung 2026-04-13T13:20:25+02:00 Herzlich Willkommen Die ABT Anwender Berat,ADD_SOURCE,IER-C12,ladder=domain_guess; match=full_name
AKT-node-015,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5443,administration_des_batiments_publics,,Akteur,Administration des bâtiments publics - Oeffentliche_Institution,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-016,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5288,adviesbureau_luning,,Akteur,Adviesbureau Lüning - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-018,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5854,ag_gruppen,,Akteur,AG Gruppen - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-019,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5874,agwa,,Akteur,AgwA - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-020,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5390,aik_architektur_ingenieur_kollektiv,,Akteur,aik Architektur + Ingenieur Kollektiv - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-021,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5584,ak_bpb,,Akteur,Bundeszentrale für politische Bildung (bpb) - Foerdergeber_Programmtraeger,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-022,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5571,ak_carsten_wiewiorra,,Akteur,Carsten Wiewiorra - Person,none,,false,,UNVERIFIABLE,unbelegt,,ESCALATE_HUMAN,IER-C12,private person; no org homepage policy; tier-D crossover
AKT-node-024,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5597,ak_contrax_furniture,,Akteur,Contrax Furniture - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-025,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5583,ak_deutsche_bundesstiftung_umwelt,,Akteur,Deutsche Bundesstiftung Umwelt (DBU) - Foerdergeber_Programmtraeger,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-026,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5622,ak_drewes_speth,,Akteur,DREWES + SPETH Beratende Ingenieure - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-028,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5599,ak_grants_of_shoreditch,,Akteur,Grants of Shoreditch - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-029,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5621,ak_gundlach_hannover,,Akteur,Gundlach GmbH & Co. KG Wohnungsunternehmen - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-030,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5623,ak_h2a_hannover,,Akteur,H2A - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-031,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5596,ak_maconda,,Akteur,Maconda - Software_Tool_Anbieter,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-032,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5595,ak_method_contractor_london,,Akteur,Method - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-033,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5610,ak_recrete_forschungsteam,,Akteur,Re:Crete Forschungsteam - Organisation,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-034,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5598,ak_solus,,Akteur,Solus - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-035,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5582,ak_tu_berlin_bauphysik,,Akteur,TU Berlin Fachgebiet Bauphysik und Baukonstruktionen - Forschung_Lehre,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-037,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5569,ak_wiewiorra_hopp_architekten,,Akteur,Wiewiorra Hopp Architekten - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-038,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5581,ak_zukunftsgeraeusche_gbr,,Akteur,zukunftsgeraeusche GbR - Organisation,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-039,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5756,aksel_v_jensen,,Akteur,Aksel V. Jensen A/S - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-041,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4951,akustik_ingenieurbuero_moll,,Akteur,Akustik-Ingenieurbuero Moll - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-042,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5048,albert_and_co,,Akteur,Albert & Co - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
AKT-node-044,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5806,alinea_tt_alinea,,Akteur,Alinea / T+T Alinea - Unternehmen,search,,false,,UNVERIFIABLE,unbelegt,,RESOURCE,IER-C12,search ladder exhausted; no first-party URL found
