claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,_shard
IER-A1-A02-node-0010,node,maarten_gielen,,,Akteur,Maarten Gielen is a Rotor co-founder,web,https://rotordb.org/en/projects/reuse-multi-project,true,200,PARTIAL,teilweise_belegt,"Rotor Deconstruction – Reuse of building materials made easy 
         
         
         
         
         
         
         
        
        
     
     
         
                 
                    
                 
             
                 
                     
    

    

    
",RESOURCE,IER-A1,page sector/generic only; entity not named (gate G4 fail),IER-A1
IER-A1-A02-node-0011,node,lionel_devlieger,,,Akteur,Lionel Devlieger is a Rotor co-founder,web,https://rotordb.org/en/projects/reuse-multi-project,true,200,PROVEN,belegt,"g collaboration between Whitewood, Conix RDBM and Rotor, and gives an insight in the successes achieved, but also in the many stumbling blocks encountered. Authors Arne Vande Capelle and Lionel",KEEP,IER-A1,entity gate pass; token_hit:lionel; tier-A homepage/URL fetch,IER-A1
IER-A1-A02-node-0012,node,tristan_boniver,,,Akteur,Tristan Boniver is a Rotor co-founder,web,https://rotordb.org/en/projects,true,200,PARTIAL,teilweise_belegt,"Rotor - Brussels | Rotor 
     
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

    
   
   
         
      Skip to main content
     
    
       
     

 
  	 
  		 
  			 
				 
					
 

  	   
     
  
    
  	
    	 
  		 
	       
             
 ",RESOURCE,IER-A1,page sector/generic only; entity not named (gate G4 fail),IER-A1
IER-A1-A06B-node-0004,node,andrea_klinge,,,Akteur,Andrea Klinge exists as part of the cited project/firm,web,https://www.zrs.berlin/en/article/reallabor-lab-be-ware-from-research-straight-to-implementation,true,200,PROVEN,belegt,Natural Building Materials for the Interior Insulation of Historic Buildings Interview (DE) with Prof. Eike Roswag-Klinge und Andrea Klinge,KEEP,IER-A1,entity gate pass; full_match:andrea klinge; tier-A homepage/URL fetch,IER-A1
IER-A1-A06B-node-0030,node,cesare_peeren,,,Akteur,Césare Peeren exists as part of the cited project/firm,web,https://circularmaterialsystems.com/en/case/villa-welpeloo,true,200,PROVEN,belegt,"and resource conservation. Practices Recognising opportunities are basic capabilities for what may become a new profession: the superuse scout. Ed van Hinte, Jan Jongert and Césare Peeren",KEEP,IER-A1,entity gate pass; full_match:cesare peeren; tier-A homepage/URL fetch,IER-A1
IER-A1-A06B-node-0031,node,charlotte_bofinger,,,Akteur,Charlotte Bofinger exists as part of the cited project/firm,web,https://zirkular.net/en/contact,true,200,PROVEN,belegt,rio brings his experience and know-how of two worlds – construction and planning-execution – to his job of component hunter. Charlotte Bofinger,KEEP,IER-A1,entity gate pass; full_match:charlotte bofinger; tier-A homepage/URL fetch,IER-A1
IER-A1-A06B-node-0034,node,christof_ziegert,,,Akteur,Christof Ziegert exists as part of the cited project/firm,web,https://www.zrs.berlin/en,true,200,PROVEN,belegt,"29.04.2026 | NEXT:EARTH 2026 CONFERENCE – RETHINKING EARTH CONSTRUCTION At the next:earth 2026 conference on 29 April 2026 in Pfeffenhausen, Christof Ziegert",KEEP,IER-A1,entity gate pass; full_match:christof ziegert; tier-A homepage/URL fetch,IER-A1
IER-A1-A06B-node-0044,node,eike_roswag_klinge,,,Akteur,Eike Roswag-Klinge exists as part of the cited project/firm,web,https://www.zrs.berlin/en/article/reallabor-lab-be-ware-from-research-straight-to-implementation,true,200,PROVEN,belegt,Natural Building Materials for the Interior Insulation of Historic Buildings Interview (DE) with Prof. Eike Roswag-Klinge,KEEP,IER-A1,entity gate pass; full_match:eike roswag-klinge; tier-A homepage/URL fetch,IER-A1
IER-A1-A06B-node-0062,node,hester_van_dijk,,,Akteur,Hester van Dijk exists as part of the cited project/firm,web,https://www.dezeen.com/2017/10/25/peoples-pavilion-dutch-design-week-bureau-sla-overtreders-w-design-architecture-temporary-structure-eindhoven,true,403,PARTIAL,teilweise_belegt,"-->

   
   

   
   
   

   
   

   
   
   

   
   

   

  
   

   

 

 

 

 

  

  
   

   
   
 

   
   
  
  

  

  
       
       
    
       
       
  

   
  
   
  

    

  
   
  

   

 
 

     



     

 

 
 
 
 
 
 
 
 
 People's pavilion | Overtreders W I Architectura",RESOURCE,IER-A1,page sector/generic only; entity not named (gate G4 fail),IER-A1
IER-A1-A06B-node-0066,node,jan_jongert,,,Akteur,Jan Jongert exists as part of the cited project/firm,web,https://www.superuse-studios.com/projectplus/villa-welpeloo,true,200,PARTIAL,teilweise_belegt,"About Us - Superuse Studios 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 


 
 
		
		
		
				 
 
					 
				
		 
		 
		 
		 
				 
				 
													 
											 
		 
		 
		 
		
		 

 
 

 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
   

 
 
       
 
 
 
 /********* Compiled CSS - Do not edit *********/",RESOURCE,IER-A1,page fetched (200) but entity not named; no_entity_match,IER-A1
