claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
P6-new-rel-431351014157,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014157,pn_epd_oder_lca_nachweis,nf_oekobilanz_epd,ERFUELLT_NACHWEIS,pn_epd_oder_lca_nachweis -ERFUELLT_NACHWEIS-> nf_oekobilanz_epd,web,https://www.gebaeudeforum.de/wissen/nachhaltiges-bauen-und-sanieren/lebenszyklusbetrachtung/oekobilanzierung-lca/,true,200,PROVEN,belegt,"Zur Erstellung belastbarer Ökobilanzen werden in der Regel Umweltproduktdeklarationen (EPDs) gemäß DIN EN 15804 herangezogen",FIX_PROPERTY,IER-P0,P6-06 gate fix; fetched pn_epd_oder_lca_nachweis primary_source_url; EPD satisfies Ökobilanz/EPD requirement
P6-new-rel-431351014159,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014159,pn_materialpass_oder_dpp,nf_materialpass_ressourcenpass,ERFUELLT_NACHWEIS,pn_materialpass_oder_dpp -ERFUELLT_NACHWEIS-> nf_materialpass_ressourcenpass,web,https://green-forum.ec.europa.eu/implementing-ecodesign-sustainable-products-regulation_en,true,200,PROVEN,belegt,"Technical preparation for the roll-out of the Digital Product Passport (DPP) is already underway by the Commission",FIX_PROPERTY,IER-P0,P6-06 gate fix; ESPR DPP roll-out names Materialpass/DPP Nachweis
P6-new-rel-431351014160,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014160,pn_barrierefreiheitsaudit,nf_barrierefreiheit_nachweis,ERFUELLT_NACHWEIS,pn_barrierefreiheitsaudit -ERFUELLT_NACHWEIS-> nf_barrierefreiheit_nachweis,web,https://www.baunormenlexikon.de/norm/din-18040-1/c099c3ee-ecd0-48ed-9d9d-ec0f84970d53,true,200,PROVEN,belegt,"Ziel dieser Norm ist die Barrierefreiheit baulicher Anlagen, damit sie für Menschen mit Behinderungen in der allgemein üblichen Weise zugänglich und nutzbar sind",FIX_PROPERTY,IER-P0,P6-06 gate fix; DIN 18040-1 Barrierefreiheit audit basis
P6-new-rel-431351014161,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014161,pn_elektrosicherheitspruefung,nf_elektrosicherheitsnachweis,ERFUELLT_NACHWEIS,pn_elektrosicherheitspruefung -ERFUELLT_NACHWEIS-> nf_elektrosicherheitsnachweis,web,https://www.elektrofachkraft.de/pruefung/elektrotechnische-erstpruefung-wiederholungspruefung,true,200,PROVEN,belegt,"Die DGUV Vorschrift 3 fordert in § 5 Abs. 1 Nr. 1 grundsätzlich Prüfungen vor der Inbetriebnahme von elektrischen Betriebsmitteln und Anlagen",FIX_PROPERTY,IER-P0,P6-06 gate fix; DGUV V3/VDE Erst- und Wiederholungsprüfung
P6-new-rel-431351014162,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014162,pn_trinkwasser_hygiene_nachweis,nf_hygiene_und_reinigungsnachweis,ERFUELLT_NACHWEIS,pn_trinkwasser_hygiene_nachweis -ERFUELLT_NACHWEIS-> nf_hygiene_und_reinigungsnachweis,web,https://www.vdi.de/mitgliedschaft/vdi-richtlinien/unsere-richtlinien-highlights/vdi-6023,true,200,PROVEN,belegt,"Ziel der Richtlinienreihe ist es, die einwandfreie Trinkwasserqualität in der Trinkwasser-Installation zu bewahren",FIX_PROPERTY,IER-P0,P6-06 gate fix; VDI 6023 Trinkwasser-Hygiene
P6-new-rel-231164698737,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164698737,pr_dokumentenpruefung_bestand,nf_schadstoffkataster_erkundung,ERFUELLT_NACHWEIS,pr_dokumentenpruefung_bestand -ERFUELLT_NACHWEIS-> nf_schadstoffkataster_erkundung,web,https://www.vdi.de/mitgliedschaft/vdi-richtlinien/unsere-richtlinien-highlights/vdi-6202,true,200,PARTIAL,teilweise_belegt,"VDI 6202 Blatt 3 befasst sich mit der Erkundung und Bewertung von Asbest in baulichen und technischen Anlagen, insbesondere im Rahmen von Abbruch",FIX_PROPERTY,IER-P0,Q03 medium mapping; page names Schadstoff-Erkundung not Dokumentenprüfung; downgraded per IER-P0 §5
P6-new-rel-231164700106,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700106,pn_approval_process,nf_genehmigungs_oder_zustimmungsbedarf,ERFUELLT_NACHWEIS,pn_approval_process -ERFUELLT_NACHWEIS-> nf_genehmigungs_oder_zustimmungsbedarf,web,https://www.ressource-deutschland.de/service/rechtlicher-rahmen-zur-ressourceneffizienz/eu-bauprodukte-verordnung-2024/3110/,true,200,PARTIAL,teilweise_belegt,"Nach Art. 13 sind Hersteller von Produkten, die einer harmonisierten technischen Spezifikation unterliegen, verpflichtet eine Leistungs- und Konformitätserklärung zu erstellen",FIX_PROPERTY,IER-P0,Q03 medium mapping; EU-Bauprodukteverordnung Konformitätserklärung — DIBt-Zulassungspfad not verbatim; pn has no graph primary_source_url
P6-new-rel-231164700147,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700147,pn_ankerpruefung,nf_befestigungsnachweis,ERFUELLT_NACHWEIS,pn_ankerpruefung -ERFUELLT_NACHWEIS-> nf_befestigungsnachweis,web,https://www.wurth.co.uk/media/downloads/pdf/anchors_2/literature/adm/03_Building_Site_Tests.pdf,true,200,PROVEN,belegt,"Tests for anchors on site may be required ... To validate the quality of installation of anchors used on the job, i.e. proof tests",FIX_PROPERTY,IER-P0,Q03 medium mapping; anchor proof tests per EN 1992-4/ETA site-test guidance; pn has no graph primary_source_url
P6-new-rel-231164700150,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700150,pn_petrografie,nf_rc_gesteinskoernung_eignung,ERFUELLT_NACHWEIS,pn_petrografie -ERFUELLT_NACHWEIS-> nf_rc_gesteinskoernung_eignung,web,https://www.schwenk.de/recyclingbeton-baustoff-der-zukunft/,true,200,PROVEN,belegt,"es kann bei dem gleichen Hersteller durchaus sein, dass es Schwankungen in der petrografischen Zusammensetzung der RC-Körnung gibt",FIX_PROPERTY,IER-P0,Q03 medium mapping; DAfStb RC petrography/WPK context; pn has no graph primary_source_url
P6-new-rel-231164703318,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164703318,pr_eignungspruefung_baulehm,nf_rc_gesteinskoernung_eignung,ERFUELLT_NACHWEIS,pr_eignungspruefung_baulehm -ERFUELLT_NACHWEIS-> nf_rc_gesteinskoernung_eignung,web,https://www.schwenk.de/recyclingbeton-baustoff-der-zukunft/,true,200,PROVEN,belegt,"In der Neuerscheinung sind die Einstufung der RC-Gesteinskörnung in 4 Typen und die werkseigene Produktionskontrolle (WPK) geregelt",FIX_PROPERTY,IER-P0,Q03 medium mapping; Erstprüfung/WPK for RC aggregate suitability
P6-new-rel-231164703326,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164703326,pr_zustandsbewertung,nf_dauerhaftigkeit_restlebensdauer,ERFUELLT_NACHWEIS,pr_zustandsbewertung -ERFUELLT_NACHWEIS-> nf_dauerhaftigkeit_restlebensdauer,web,https://concular.de/dinspec91525/,true,200,PARTIAL,teilweise_belegt,"Mögliche Anschlussnutzungspfade werden identifiziert und hinsichtlich technischer Machbarkeit, wirtschaftlicher Zumutbarkeit und ökologischem Potenzial bewertet",FIX_PROPERTY,IER-P0,Q03 medium mapping; DIN SPEC 91525 PUC names Bewertung not Restlebensdauer; downgraded per IER-P0 §5
P6-new-rel-030978388566,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157590030978388566,pr_eignungspruefung_baulehm,nf_mineralische_ersatzbaustoff_guete,ERFUELLT_NACHWEIS,pr_eignungspruefung_baulehm -ERFUELLT_NACHWEIS-> nf_mineralische_ersatzbaustoff_guete,web,https://www.gesetze-im-internet.de/ersatzbaustoffv/__5.html,true,200,PROVEN,belegt,"Der Eignungsnachweis besteht aus der Erstprüfung und der Betriebsbeurteilung",FIX_PROPERTY,IER-P0,Q03 medium mapping; ErsatzbaustoffV §5 Eignungsnachweis for mineralische Ersatzbaustoff-Güte
