cluster_id,claim_kind,rel_type_or_label,intake_run,review_run,row_count,bucket_breakdown,agent_ids,sample_element_ids,first_repo_hit,first_git_commit,first_git_date,first_git_subject,first_git_path,root_cause_bucket
G01-C001,node,Akteur,(null),(null),435,never_sourced_import:425;aggregate_stub:8;post_merge_orphan:2,08:430;06b:3;F09:2,cbre;materialrest24;resource_marktplaats;abfallwirtschaftsbetriebe_muenster;claus_asam,_neo4j\intake\runs\2026-05-20_radical_quality_reset\snapshot\nodes.jsonl:15,152221403f24,2026-05-13,migration ready,_neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json,never_sourced_import
G01-C002,rel,VERBUNDEN_MIT_AKTEUR,(null),(null),181,never_sourced_import:167;post_merge_orphan:14,06b:131;01:25;F09:14;03:6;02:5,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304507922;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304507923;r_bauteilkatalog_immobilien_basel_stadt__VERBUNDEN_MIT_AKTEUR__zirkular;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508810;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508818,_neo4j\intake\runs\2026-05-23_trace_zitiert_quelle_to_urls\logs\information_source_url_ledger.jsonl:33664,bd62286a9257,2026-05-23,source check 4,_neo4j/QUELLE_QUERY_GUIDE.md,never_sourced_import
G01-C003,node,Bauwerk,(null),(null),105,aggregate_stub:105,09:105,bw_school_type_dresden_donor;bw_iw73_6_mass_housing_donor;bw_public_building_material_sources_awm;bw_big_dig_building;bw_boston_big_dig_infrastructure,_neo4j\intake\runs\2026-05-20_radical_quality_reset\deleted\phase1_1_chains.jsonl:79,d0ded72f31bf,2026-05-15,restructure and double checking data 2,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_015_exports/neo4j_exports/batches/batch_015/AGENT_NOTES.md,aggregate_stub
G01-C004,rel,BETEILIGT_AN,(null),(null),51,never_sourced_import:50;post_merge_orphan:1,09:50;F09:1,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676602957;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676602967;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676602968;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676602969;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676603080,_neo4j\intake\runs\2026-05-23_trace_zitiert_quelle_to_urls\logs\information_source_url_ledger.jsonl:6047,bd62286a9257,2026-05-23,source check 4,_neo4j/QUELLE_QUERY_GUIDE.md,never_sourced_import
G01-C005,rel,NUTZT_SOFTWARE,(null),(null),40,intake_script:37;post_merge_orphan:3,10:37;F09:3,r_bg_reuse_stahl_mehrere_hof_1930s_beams_to_tbc__NUTZT_SOFTWARE__software_qflow;r_bg_reuse_stahl_mehrere_hof_self_columns__NUTZT_SOFTWARE__software_qflow;r_bg_reuse_mdf_mehrere_impact_black_mdf_panels__NUTZT_SOFTWARE__software_concular;r_bg_reuse_mehrere_mehrere_impact_crclr_doors_windows_sanitary__NUTZT_SOFTWARE__software_concular;r_bg_reuse_textil_mehrere_impact_recycled_felt_panels__NUTZT_SOFTWARE__software_concular,_neo4j\intake\runs\2026-05-20_radical_quality_reset\snapshot\relationships.jsonl:11101,b32d72223534,2026-05-20,refractor,_neo4j/intake/runs/2026-05-20_radical_quality_reset/PHASE_1_4_DONE.flag,intake_script
G01-C006,node,Projekt,(null),(null),20,never_sourced_import:20,09:20,p_lysp8;p_cascadeup_london_secondary_timber_glulam_demonstrator;p_christ_pavilion_volkenroda;p_crclr_house_impact_hub_berlin;p_elys_kultur_gewerbehaus_basel,_neo4j\intake\runs\2026-05-20_inbox_batch2_import\CORRECTIONS_2026-05-20.md:597,e70caed3fbcb,2026-05-14,migrate 6,_neo4j/neo4j batch/neo4j_batch_015_exports/neo4j_exports/batches/batch_015/controlled_terms.delta.jsonl,never_sourced_import
G01-C007,node,Programm,(null),(null),13,never_sourced_import:13,10:13,prog_horizon_2020;prog_urban_innovative_actions;prog_expo_2000;prog_recreate;prog_recreate_local,_neo4j\intake\runs\2026-05-20_inbox_batch2_import\pre_flight_results.json:1398,cafd4015e358,2026-05-16,Concrete Data Refinement,_neo4j/review/round_002_followup/reuse_schema_proposals.md,never_sourced_import
G01-C008,rel,TEIL_VON_PROGRAMM,(null),(null),12,intake_script:11;post_merge_orphan:1,10:11;F09:1,r_p_jugendtreff_ingersheim__TEIL_VON_PROGRAMM__prog_stuttgart_210;5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155284355094942674;r_p_umar_unit__TEIL_VON_PROGRAMM__prog_nest_empa;r_p_schaerenmoosstrasse_zuerich__TEIL_VON_PROGRAMM__prog_stiftung_pwg;r_p_circl_abn_amro__TEIL_VON_PROGRAMM__prog_abn_amro_mission_2030,_neo4j\intake\runs\2026-05-20_radical_quality_reset\snapshot\relationships.jsonl:11119,3f004245ddea,2026-05-20,migrate 3,_neo4j/intake/runs/2026-05-20_inbox_batch2_import/APPLY_ORDER.md,intake_script
G01-C009,node,Software,(null),(null),11,never_sourced_import:10;post_merge_orphan:1,10:10;F09:1,tool_oogstkaart_harvest_map;4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5268;software_bim;tool_bauteilkatalog;software_llmnt,_neo4j\intake\runs\2026-05-20_inbox_batch2_import\pre_flight_results.json:1858,152221403f24,2026-05-13,migration ready,_neo4j/archieve/neo4j_batch01_first5_package/neo4j_batch01_first5_graph.json,never_sourced_import
G01-C010,node,Materialdepot,(null),(null),5,aggregate_stub:5,10:5,bw_cleveland_steel_and_tubes_stock;bw_crclr_kindl_hall;bw_bellastock_ville_des_terres_l_ile_saint_denis_lager;bw_verbiest_lagerhaus_zu_haus_und_atelier;bw_elys_ehemaliges_getraenkelager_areal,_neo4j\intake\runs\2026-05-20_radical_quality_reset\deleted\phase1_1_chains.jsonl:18,d0ded72f31bf,2026-05-15,restructure and double checking data 2,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_015_exports/neo4j_exports/batches/batch_015/AGENT_NOTES.md,aggregate_stub
