g02_id,ep03_claim_id,r07_claim_id,element_id,from_id,to_id,rel_type,ep03_verdict,r07_verdict,basis_ref,graph_evidence_url,graph_evidence_quote,graph_review_run,graph_rel_id,origin_intake_run,origin_script_path,origin_git_head,network_json_evidence_url,network_json_evidence_quote,network_enrichment_run,enrichment_json_path,enrichment_evidence_url,enrichment_evidence_quote,r07_recovery_source,r07_notes,weak_evidence_class,provenance_notes
G02-0001,EP03-0001,R07-0169,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147008,akt_ii,bt_decke,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://en.wikipedia.org/wiki/AKT_II,,,,,network_json slice edge_enrichment_deeper_existing_node_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://www.akt-uk.com/latest/low-carbon-reusable-cassette/,,edge_enrichment_deeper_existing_node_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0002,EP03-0010,R07-0170,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077,articonnex,bt_daemmung,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://articonnex.com/collections/reemploi,https://articonnex.com/collections/reemploi,Quincaillerie Notre sélection Peinture Visserie Peinture Tout voir Peinture intérieure (7) Peinture extérieure (3) Sous-couche peinture (2) Par localisation Peinture à Angers (4) Peinture à La Roche-sur-Yon (5) Peinture au Mans (5) Peinture à Nantes (5) Peinture à Orléans (4) Peinture à Rennes (5) Peinture à Saint-Brieuc (8) Peinture à Vannes (4) Visserie Tout voir Visserie à Angers (28) Visserie à La Roche-sur-Yon (33) Visserie au Mans (29) Visserie à Nantes (37) Visserie à Orléans (25) Visseri,quality_pass_q04_2026_06_06,r_deep_articonnex__HAT_BAUTEILTYP__bt_daemmung,network_json deep enrichment slice (pre-2026-06-02 import),_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://articonnex.com/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,enrichment_run=actor_edge_enrichment_deep_existing_types_2026_06_01
G02-0003,EP03-0011,R07-0171,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551325,articonnex,bt_fassade,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://articonnex.com/collections/reemploi,https://articonnex.com/collections/reemploi,"Ouvert Fermeture à 18:00 Fermé Ouverture à 10:00 Lundi 10h-18h Mardi 10h-18h Mercredi 10h-18h Jeudi 10h-18h Vendredi 10h-18h Samedi Fermé Dimanche Fermé 02 85 35 91 75 angers@articonnex.com 4,9/5 Articonnex La Roche-sur-Yon 9 Rue Henri Aucher 85000 La Roche-sur-Yon Voir les produits à La Roche-sur-Yon OSB, contreplaqué, terrasse, bardage, quincaillerie, sol PVC, réemploi.",quality_pass_q04_2026_06_06,r_deep_articonnex__HAT_BAUTEILTYP__bt_fassade,network_json deep enrichment slice (pre-2026-06-02 import),_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://articonnex.com/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,enrichment_run=actor_edge_enrichment_deep_existing_types_2026_06_01
G02-0004,EP03-0012,R07-0172,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821,articonnex,bt_traeger,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://articonnex.com/collections/reemploi,https://articonnex.com/collections/reemploi,Ouvert Fermeture à 18:00 Fermé Ouverture à 10:00 Lundi 10h-18h Mardi 10h-18h Mercredi 10h-18h Jeudi 10h-18h Vendredi 10h-18h Samedi Fermé Dimanche Fermé 02 90 73 84 43 vannes@articonnex.com Menu Fermer Matériaux anti-gaspi au meilleur prix Bois sur mesure Aide et contact Favoris Mon compte 0 Panier Arrivages Les essentiels OSB Dalle OSB Panneau OSB OSB 1 OSB 3 OSB 4 OSB par marque OSB par marque Tout voir Par marque OSB Swiss Krono (3) OSB Kronospan (38) OSB par épaisseur OSB par épaisseur Tout ,quality_pass_q04_2026_06_06,r_deep_articonnex__HAT_BAUTEILTYP__bt_traeger,network_json deep enrichment slice (pre-2026-06-02 import),_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://articonnex.com/,,actor_edge_enrichment_deep_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,enrichment_run=actor_edge_enrichment_deep_existing_types_2026_06_01
G02-0005,EP03-0015,R07-0173,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551326,backacia,bt_daemmung,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://opalis.eu/fr/fournisseurs/backacia,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://opalis.eu/fr/fournisseurs/backacia,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0006,EP03-0016,R07-0174,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236574,backacia,bt_fenster,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://opalis.eu/fr/fournisseurs/backacia,https://backacia.com/,"Nos produits dans Cloisons et Doublages Tout Vue rapide Disponible du 18/05/2026 au 02/10/2027 Bloc-porte 93x203cm 75017 Paris, France Quantité : 4 U 95,00€ HT/U icon-X ""Fermer (Esc)"" Vue rapide Disponible du 18/05/2026 au 02/10/2027 Bloc-porte tiercé 75017 Paris, France Quantité : 1 U 135,00€ HT/U icon-X ""Fermer (Esc)"" Vue rapide Disponible du 13/07/2026 au 30/09/2026 Ensemble vitrage trempé sans ossature 94250 Gentilly, France Quantité : 66 ml 30,00€ HT/ml icon-X ""Fermer (Esc)"" Vue rapide Disp",quality_pass_q04_2026_06_06,r_backacia__HAT_BAUTEILTYP__bt_fenster,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://opalis.eu/fr/fournisseurs/backacia,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,edge row in project_part_actor_edges export
G02-0007,EP03-0017,R07-0068,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866078,backacia,bt_technik,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://backacia.com/,https://backacia.com/,"Démarrer un projet Catégories de produits de réemploi : Mobilier intérieur CVC - Chauffage et ventilation Installations sanitaires Revêtements de sols et murs Réseaux électriques et appareils d’éclairage Cloisons et doublages intérieurs Couvertures - Étanchéités - Charpentes - Zingueries Façades et menuiseries extérieures Éléments spécialisés et matériaux divers Backacia propose des matériaux issus du réemploi pour construire durablement : cloisons, sanitaires, luminaires, et plus encore.",quality_pass_q04_2026_06_06,r_backacia__HAT_BAUTEILTYP__bt_technik,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://opalis.eu/fr/fournisseurs/backacia,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; bauteilboersen_enrichment_json,partial_despite_some_evidence,edge row in project_part_actor_edges export
G02-0008,EP03-0018,R07-0175,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180830,backacia,bt_wand,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://opalis.eu/fr/fournisseurs/backacia,https://backacia.com/,"Démarrer un projet Catégories de produits de réemploi : Mobilier intérieur CVC - Chauffage et ventilation Installations sanitaires Revêtements de sols et murs Réseaux électriques et appareils d’éclairage Cloisons et doublages intérieurs Couvertures - Étanchéités - Charpentes - Zingueries Façades et menuiseries extérieures Éléments spécialisés et matériaux divers Backacia propose des matériaux issus du réemploi pour construire durablement : cloisons, sanitaires, luminaires, et plus encore.",quality_pass_q04_2026_06_06,r_backacia__HAT_BAUTEILTYP__bt_wand,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://opalis.eu/fr/fournisseurs/backacia,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,partial_despite_some_evidence,edge row in project_part_actor_edges export
G02-0009,EP03-0021,R07-0176,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662815,baticycle,bt_daemmung,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://baticycle.fr/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://baticycle.fr/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
G02-0010,EP03-0023,R07-0177,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977567,baticycle,bt_fenster,HAT_BAUTEILTYP,PARTIAL,PARTIAL,https://baticycle.fr/,,,,,network_json slice actor_edge_enrichment_existing_types_2026_06_01,_neo4j/intake/inbox/research/bauteilboerse_network_2026-06-01_project_part_actor_edges.json,f9cf1a8c 2026-06-02 updates,https://baticycle.fr/,,actor_edge_enrichment_existing_types_2026_06_01,,,,page fetched but quote weak,page fetched but quote weak; actor_node_source_urls,url_in_json_no_quote_never_imported_to_graph,edge row in project_part_actor_edges export
