row_id,ledger_claim_id,claim_kind,element_id,entity_id,rel_type_or_label,verdict_shard,root_cause_bucket,source_urls_on_graph,url_origin_chain,git_anchor_run,git_anchor_date,in_agent06b_add_source_patch,in_agent08_unsourced_scope,agent06b_vs_agent08,residual_actor_flag,recommended_action,notes
G04-0001,A06B-node-0021,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:18156,baumatpool_ch,Akteur,06b,06b_volume_cap_deferred,https://www.baumatpool.ch/de/|https://www.baumatpool.ch/de/content/impressum/|https://www.baumatpool.ch/de/content/faq/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.baumatpool.ch/de/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.baumatpool.ch/de/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0002,A06B-node-0130,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:2073,ressourcerie_lausanne_materiuum_ruul,Akteur,06b,06b_volume_cap_deferred,https://materiuum.ch/ressourcerie-lausanne-magasin-shop/|https://materiuum.ch/boutique/|https://materiuum.ch/deconstruction-et-valorisation/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://materiuum.ch/ressourcerie-lausanne-magasin-shop/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0003,A06B-node-0055,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:28226,ggzatwork_laden2_bauteile_zug,Akteur,06b,06b_volume_cap_deferred,https://ggzatwork.ch/gaeste/laden2/laden-2-bauteile|https://ggzatwork.ch/auftragskunden/demontage-montage|https://ggzatwork.ch/auftragskunden/raeumung-entsorgung,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://ggzatwork.ch/gaeste/laden2/laden-2-bauteile); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0004,A06B-node-0025,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34835,btvz_zuerichsee_oberland,Akteur,06b,06b_volume_cap_deferred,https://www.btvz.ch/angebote/|https://www.btvz.ch/so-funktioniert-es/|https://www.btvz.ch/portraet/|https://www.btvz.ch/suchliste/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.btvz.ch/angebote/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.btvz.ch/angebote/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0005,A06B-node-0093,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34837,materiuum_geneve_ressourcerie,Akteur,06b,06b_volume_cap_deferred,https://materiuum.ch/ressourcerie-espace-magasin-shop-geneve/|https://materiuum.ch/lassociation/|https://materiuum.ch/boutique/|https://materiuum.ch/deconstruction-et-valorisation/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://materiuum.ch/ressourcerie-espace-magasin-shop-geneve/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0006,A06B-node-0151,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34839,syphon_ag_bauteilboerse_biel_bruegg,Akteur,06b,06b_volume_cap_deferred,https://syphon.ch/vente-de-materiaux/|https://www.syphon.ch/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://syphon.ch/vente-de-materiaux/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0007,A06B-node-0063,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34840,hiltbrunner_reuse_riedtwil_wiederverwendung,Akteur,06b,06b_volume_cap_deferred,https://www.wiederverwendung.ch/|https://shop.wiederverwendung.ch/de/434/gebrauchte-bauteile-occasion-bauteile|https://shop.wiederverwendung.ch/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.wiederverwendung.ch/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0008,A06B-node-0023,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34841,bauteilverwertung_koeppel_klein,Akteur,06b,06b_volume_cap_deferred,https://www.bauteilverwertung.ch/|https://www.bauteilverwertung.ch/abbruch.html|https://www.bauteilverwertung.ch/verkauf.html,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.bauteilverwertung.ch/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.bauteilverwertung.ch/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0009,A06B-node-0012,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:34842,archipel_sion_ressourcerie,Akteur,06b,06b_volume_cap_deferred,https://archipelsion.ch/ressourcerie/inventaire/|https://archipelsion.ch/|https://archipelsion.ch/evenements/,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://archipelsion.ch/ressourcerie/inventaire/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN; [P6-05] DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://archipelsion.ch/ressourcerie/inventaire/); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
G04-0010,A06B-node-0145,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:36966,stiftung_chance_bauteile_zuerich_glattbrugg,Akteur,06b,06b_volume_cap_deferred,https://www.chance.ch/dienstleistungen/bauteile|https://www.chance.ch/dienstleistungen|https://www.chance.ch/produkte,akteursliste_master.md → actor_registry (?) → BELEGT_IN q_actor_* → mig_q4_surface_urls (2026-05-21) → graph source_urls,Source Hunting — mig_q4_surface_urls.cypher,2026-05-21,false,false,06b verified scope (had source_urls pre-patch); 08 OUT OF SCOPE (sourced actor),false,KEEP,DEFERRED (volume cap): not re-fetched in 06b; graph carries first-party source (https://www.chance.ch/dienstleistungen/bauteile); coverage=source_present_unverified; recommend spot-fetch before relying on as PROVEN
