g05_id,claim_id,element_kind,from_id,to_id,rel_type,violation_class,origin_pipeline,ledger_verdict,ledger_action,ledger_agent,git_first_commit,git_first_date,git_first_author,git_first_subject,git_first_files,repo_files_now,notes
G05-001,A14-ORPH-001,node,c33_circular_construction_catalyst,,,orphan_actor,reuse_bubble_actor_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,14,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,5,_neo4j/intake/runs/2026-06-05_entwurfsqualitaet/swiss_reuse_bubble_v2.md,,non-vocab orphan; CH actor in Agent 01 scope; connect-or-deprecate decision; [P6-05] non-vocab orphan; CH actor in Agent 01 scope; connect-or-deprecate decision
G05-002,A14-ORPH-002,node,circular_economy_switzerland,,,orphan_actor,reuse_bubble_actor_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,14,ed1d81d9b5be,2026-06-06,Kinan Sarakbi,5,_neo4j/intake/runs/2026-06-05_entwurfsqualitaet/swiss_reuse_bubble_v2.md,,non-vocab orphan; CH actor in Agent 01 scope; [P6-05] non-vocab orphan; CH actor in Agent 01 scope
G05-003,A10-N-052,node,prog_foerderprogramm,,,generic_programm_vocab,project_vocab_seed,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node
G05-004,A10-N-053,node,prog_forschungsprojekt,,,generic_programm_vocab,project_vocab_seed,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node
G05-005,A10-N-060,node,prog_pilotprojekt,,,generic_programm_vocab,project_vocab_seed,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,,generic type word miscast as Programm node (high fan-in); [P6-05] generic type word miscast as Programm node (high fan-in)
G05-006,A10-N-064,node,prog_reallabor,,,generic_programm_vocab,project_vocab_seed,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node
G05-007,A10-N-074,node,prog_wettbewerb,,,generic_programm_vocab,project_vocab_seed,SCHEMA_VIOLATION,ESCALATE_HUMAN,10,152221403f24,2026-05-13,Kinan Sarakbi,migration ready,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,,generic type word miscast as Programm node; [P6-05] generic type word miscast as Programm node
G05-008,A06B-node-0157,node,tomas,,,duplicate_actor,actor_registry_mesh,SCHEMA_VIOLATION,ESCALATE_HUMAN,06b,ada4dd86,2026-05-14,Kinan Sarakbi,person/project3,_neo4j/intake/archive/2026-05-15_actor_registry_seed/,,low-quality stub id 'tomas' (TOMAS Architecture); source tomas-architecture.com; clarify identity or merge
G05-009,A06B-node-0122,node,rau,,,duplicate_actor,actor_registry_mesh,SCHEMA_VIOLATION,ESCALATE_HUMAN,06b,1344fced,2026-05-08,Kinan Sarakbi,"Updated entities,knots,connections",_database/_edges/clean_confirmed_edges.csv,,node 'rau' duplicate of 'thomas_rau' (RAU = Thomas Rau's firm/founder); merge candidate
G05-010,A14-ORPH-003,node,repurpose,,,orphan_actor,reuse_bubble_actor_import,SCHEMA_VIOLATION,ESCALATE_HUMAN,14,1344fced,2026-05-08,Kinan Sarakbi,"Updated entities,knots,connections",_neo4j/intake/archive/2026-05-15_actor_registry_seed/,,non-vocab orphan; NL actor in Agent 05 scope; also carries stray 'land' key; [P6-05] non-vocab orphan; NL actor in Agent 05 scope; also carries stray 'land' key
