ledger_id,rel_id,from_id,to_id,connection_kind,evidence_confidence,fabrication_class,origin_run,origin_scope,origin_patch,git_commit,git_commit_date,git_commit_subject,remediation_status,fabrication_pattern,evidence_basis
G09-0001,r_bauteilboerse_bremen__verbunden_mit_akteur__bauteilnetz_deutschland,bauteilboerse_bremen,bauteilnetz_deutschland,,,mixed,2026-05-28_bauteilboersen_integration,legacy_bauteilboersen,_neo4j/intake/runs/2026-05-28_bauteilboersen_integration_plan/patches/bauteilboersen_integration_graph_only.patch.jsonl,f9cf1a8c,2026-06-02,updates,surviving,,existing_actor_named_in_profile
G09-0002,r_cirkla__verbunden_mit_akteur__useagain_bauteilclick,cirkla,useagain_bauteilclick,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0003,r_useagain_bauteilclick__verbunden_mit_akteur__cirkla,useagain_bauteilclick,cirkla,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0004,r_cirkla__verbunden_mit_akteur__materiuum,cirkla,materiuum,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0005,r_materiuum__verbunden_mit_akteur__cirkla,materiuum,cirkla,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0006,r_cirkla__verbunden_mit_akteur__wick_reuse_roto_baumarkt,cirkla,wick_reuse_roto_baumarkt,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0007,r_wick_reuse_roto_baumarkt__verbunden_mit_akteur__cirkla,wick_reuse_roto_baumarkt,cirkla,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0008,r_cirkla__verbunden_mit_akteur__bauteilladen_winterthur,cirkla,bauteilladen_winterthur,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0009,r_bauteilladen_winterthur__verbunden_mit_akteur__cirkla,bauteilladen_winterthur,cirkla,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0010,r_cirkla__verbunden_mit_akteur__reuzi_ch,cirkla,reuzi_ch,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0011,r_reuzi_ch__verbunden_mit_akteur__cirkla,reuzi_ch,cirkla,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0012,r_cirkla__verbunden_mit_akteur__gruner_reuse_platform,cirkla,gruner_reuse_platform,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0013,r_gruner_reuse_platform__verbunden_mit_akteur__cirkla,gruner_reuse_platform,cirkla,directory,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,cirkla_directory_profile
G09-0014,r_cirkla__verbunden_mit_akteur__baubuero_in_situ,cirkla,baubuero_in_situ,committee_co_chair_affiliation,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_committee_page
G09-0015,r_baubuero_in_situ__verbunden_mit_akteur__cirkla,baubuero_in_situ,cirkla,committee_co_chair_affiliation,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_committee_page
G09-0016,r_cirkla__verbunden_mit_akteur__salza,cirkla,salza,committee_member_affiliation,belegt,evidence_backed,swiss_reuse_bubble_2026_06_05,swiss_reuse_bubble,_neo4j/intake/runs/2026-06-05_swiss_reuse_bubble/patches/phase1_enrichment_connectivity.patch.jsonl,ed1d81d9,2026-06-06,5,surviving,,first_party_association_page
