claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict_before,verdict_after,confidence,proof_quote,proposed_action,patch_op,agent_id,notes,coverage_level,graph_element_id
Q04-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147008,akt_ii,bt_decke,HAT_BAUTEILTYP,akt_ii -HAT_BAUTEILTYP-> Decke,web,https://en.wikipedia.org/wiki/AKT_II,true,200,PARTIAL,UNSUPPORTED,unbelegt,,DELETE,delete_rel,Q04,page fetched; zero classification tokens for Decke; actor_hits=1,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147008
Q04-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077,articonnex,bt_daemmung,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Daemmung,web,https://articonnex.com/,true,200,PARTIAL,PARTIAL,niedrig,Quincaillerie Notre sélection Peinture Visserie Peinture Tout voir Peinture intérieure (7) Peinture extérieure (3) Sous-couche peinture (2) Par localisation Peinture à Angers (4) Peinture à La Roche-sur-Yon (5) Peinture au Mans (5) Peinture à Nantes (5) Peinture à Orléans (4) Peinture à Rennes (5) P,DOWNGRADE,set_rel_properties,Q04,"classification present (['isolant', 'laine']) but no strict verbatim edge quote",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077
Q04-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551325,articonnex,bt_fassade,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Fassade,web,https://articonnex.com/collections/reemploi,true,200,PARTIAL,PROVEN,belegt,"Ouvert Fermeture à 18:00 Fermé Ouverture à 10:00 Lundi 10h-18h Mardi 10h-18h Mercredi 10h-18h Jeudi 10h-18h Vendredi 10h-18h Samedi Fermé Dimanche Fermé 02 85 35 91 75 angers@articonnex.com 4,9/5 Articonnex La Roche-sur-Yon 9 Rue Henri Aucher 85000 La Roche-sur-Yon Voir les produits à La Roche-sur-Yon OSB, contreplaqué, terrasse, bardage, quincaillerie, sol PVC, réemploi.",UPGRADE,set_rel_properties,Q04,strict gate pass; class=['bardage'] actor=['articonnex'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551325
Q04-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821,articonnex,bt_traeger,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Traeger,web,https://articonnex.com/,true,200,PARTIAL,PARTIAL,niedrig,Ouvert Fermeture à 18:00 Fermé Ouverture à 10:00 Lundi 10h-18h Mardi 10h-18h Mercredi 10h-18h Jeudi 10h-18h Vendredi 10h-18h Samedi Fermé Dimanche Fermé 02 90 73 84 43 vannes@articonnex.com Menu Fermer Matériaux anti-gaspi au meilleur prix Bois sur mesure Aide et contact Favoris Mon compte 0 Panier ,DOWNGRADE,set_rel_properties,Q04,classification present (['poutre']) but no strict verbatim edge quote,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821
Q04-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551326,backacia,bt_daemmung,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Daemmung,web,https://opalis.eu/fr/fournisseurs/backacia,true,200,PARTIAL,UNSUPPORTED,unbelegt,,DELETE,delete_rel,Q04,page fetched; zero classification tokens for Daemmung; actor_hits=1,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551326
Q04-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236574,backacia,bt_fenster,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Fenster,web,https://backacia.com/,true,200,PARTIAL,PROVEN,belegt,"Nos produits dans Cloisons et Doublages Tout Vue rapide Disponible du 18/05/2026 au 02/10/2027 Bloc-porte 93x203cm 75017 Paris, France Quantité : 4 U 95,00€ HT/U icon-X ""Fermer (Esc)"" Vue rapide Disponible du 18/05/2026 au 02/10/2027 Bloc-porte tiercé 75017 Paris, France Quantité : 1 U 135,00€ HT/U icon-X ""Fermer (Esc)"" Vue rapide Disponible du 13/07/2026 au 30/09/2026 Ensemble vitrage trempé sans ossature 94250 Gentilly, France Quantité : 66 ml 30,00€ HT/ml icon-X ""Fermer (Esc)"" Vue rapide Disp",UPGRADE,set_rel_properties,Q04,strict gate pass; class=['vitrage'] actor=['backacia'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236574
Q04-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866078,backacia,bt_technik,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Technik,web,https://backacia.com/,true,200,PARTIAL,PROVEN,belegt,"Démarrer un projet Catégories de produits de réemploi : Mobilier intérieur CVC - Chauffage et ventilation Installations sanitaires Revêtements de sols et murs Réseaux électriques et appareils d’éclairage Cloisons et doublages intérieurs Couvertures - Étanchéités - Charpentes - Zingueries Façades et menuiseries extérieures Éléments spécialisés et matériaux divers Backacia propose des matériaux issus du réemploi pour construire durablement : cloisons, sanitaires, luminaires, et plus encore.",UPGRADE,set_rel_properties,Q04,strict gate pass; class=['chauffage'] actor=['backacia'],element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866078
Q04-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180830,backacia,bt_wand,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Wand,web,https://backacia.com/,true,200,PARTIAL,PROVEN,belegt,"Démarrer un projet Catégories de produits de réemploi : Mobilier intérieur CVC - Chauffage et ventilation Installations sanitaires Revêtements de sols et murs Réseaux électriques et appareils d’éclairage Cloisons et doublages intérieurs Couvertures - Étanchéités - Charpentes - Zingueries Façades et menuiseries extérieures Éléments spécialisés et matériaux divers Backacia propose des matériaux issus du réemploi pour construire durablement : cloisons, sanitaires, luminaires, et plus encore.",UPGRADE,set_rel_properties,Q04,"strict gate pass; class=['murs', 'cloison', 'cloisons'] actor=['backacia']",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180830
Q04-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662815,baticycle,bt_daemmung,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Daemmung,web,https://baticycle.fr/,true,200,PARTIAL,UNSUPPORTED,unbelegt,,DELETE,delete_rel,Q04,page fetched; zero classification tokens for Daemmung; actor_hits=1,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662815
Q04-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977567,baticycle,bt_fenster,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Fenster,web,https://baticycle.fr/,true,200,PARTIAL,UNSUPPORTED,unbelegt,,DELETE,delete_rel,Q04,page fetched; zero classification tokens for Fenster; actor_hits=1,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977567
