claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,scope,prior_verdict,prior_claim_id
Q05-EP09-r-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292664,albert_and_co,p_ferme_du_rail_paris,BETEILIGT_AN,albert_and_co -BETEILIGT_AN-> p_ferme_du_rail_paris,web,akteur_typ_projekt_geo.json,true,403,PARTIAL,teilweise_belegt,,RESOURCE,Q05,participation link present but unsourced; post-R03 merge survivor — inherited Agent 09 dossier corroboration,A,PARTIAL,EP09-r-0003
Q05-EP09-r-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676608668,archipel_zero,p_resilience_la_ferme_des_possibles_stains,BETEILIGT_AN,archipel_zero -BETEILIGT_AN-> p_resilience_la_ferme_des_possibles_stains,web,akteur_typ_projekt_geo.json,true,403,PARTIAL,teilweise_belegt,,RESOURCE,Q05,participation link present but unsourced; post-R03 merge survivor — inherited Agent 09 dossier corroboration,A,PARTIAL,EP09-r-0004
Q05-EP09-r-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490293157,greisch,p_recypark_demets_anderlecht,BETEILIGT_AN,greisch -BETEILIGT_AN-> p_recypark_demets_anderlecht,web,akteur_typ_projekt_geo.json,true,200,PARTIAL,teilweise_belegt,,RESOURCE,Q05,participation link present but unsourced; post-R03 merge survivor — inherited Agent 09 dossier corroboration,A,PARTIAL,EP09-r-0010
Q05-EP09-r-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490292391,iemb_tu_berlin,p_plattenpalast_berlin,BETEILIGT_AN,iemb_tu_berlin -BETEILIGT_AN-> p_plattenpalast_berlin,web,https://www.tu.berlin/,true,200,PARTIAL,teilweise_belegt,tu.berlin names TU Berlin only; Plattenpalast/IEMB not co-named on page,RESOURCE,Q05,Q5 revert: geo-token false positive (shared 'berlin'); needs project-specific source,A,PARTIAL,EP09-r-0011
Q05-EP09-r-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490294106,pirmin_jung_schweiz_ag,p_lysp8_basel,BETEILIGT_AN,pirmin_jung_schweiz_ag -BETEILIGT_AN-> p_lysp8_basel,web,https://www.basel.ch/,true,200,PARTIAL,teilweise_belegt,basel.ch city portal; LYSP8/Pirmin Jung not co-named,RESOURCE,Q05,Q5 revert: geo-token false positive; needs lysp8.ch or project page,A,PARTIAL,EP09-r-0012
Q05-EP09-r-0031,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157533955885372534,software_qflow,software_qflow,NUTZT_SOFTWARE,software_qflow -NUTZT_SOFTWARE-> software_qflow,web,https://qualisflow.com/,true,200,SCHEMA_VIOLATION,teilweise_belegt,Qualis Flow — construction materials data platform,DELETE,Q05,self-loop NUTZT_SOFTWARE after tool_qflow merge; delete edge,A,PARTIAL,EP09-r-0031
Q05-EP09-r-0032,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919894077152467569,andrea_kessler,re_store_harvestmap_vienna,VERBUNDEN_MIT_AKTEUR,andrea_kessler -VERBUNDEN_MIT_AKTEUR-> re_store_harvestmap_vienna,web,,true,200,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,Q05,unsourced; bidirectional pair with harvestmap->andrea_kessler (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP; post-R03/R04 merge survivor — stale elementId re-attested | Q5: fetched but strict two-endpoint gate failed,A,MISSING_EVIDENCE,EP09-r-0032
Q05-EP09-r-0033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199444,andrea_klinge,zrs_ingenieure,VERBUNDEN_MIT_AKTEUR,andrea_klinge -VERBUNDEN_MIT_AKTEUR-> zrs_ingenieure,web,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,Q05,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven; post-R03/R04 merge survivor — stale elementId re-attested",A,MISSING_EVIDENCE,EP09-r-0033
Q05-EP09-r-0034,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6931153076220860173,cesare_peeren,superuse_studios_2012architecten,VERBUNDEN_MIT_AKTEUR,cesare_peeren -VERBUNDEN_MIT_AKTEUR-> superuse_studios_2012architecten,web,,true,200,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,Q05,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven; post-R03/R04 merge survivor — stale elementId re-attested | Q5: fetched but strict two-endpoint gate failed",A,MISSING_EVIDENCE,EP09-r-0034
Q05-EP09-r-0035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:89,christof_ziegert,zrs_ingenieure,VERBUNDEN_MIT_AKTEUR,christof_ziegert -VERBUNDEN_MIT_AKTEUR-> zrs_ingenieure,web,,false,,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,Q05,LOW-QUALITY/STUB endpoint id; unsourced; bidirectional pair with zrs->christof_ziegert (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP; post-R03/R04 merge survivor — stale elementId re-attested,A,MISSING_EVIDENCE,EP09-r-0035
