claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
R01-N-001,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5660,bw_bellastock_ville_des_terres_l_ile_saint_denis_lager,,,Materialdepot,"Bellastock Ville des Terres / L'Île-Saint-Denis material depot exists",web,https://www.construction21.org/france/case-studies/h/resilience-la-ferme-des-possibles.html,true,200,PROVEN,belegt,"Briques en terre crue BTC réemployées pour réaliser un mur trombe, vendues par Bellastock, issues de la Ville des Terres",ADD_SOURCE,R01,"ActLab L'Île-Saint-Denis also has zone de gestion des arrivages matériaux (build-green.fr); BTC traceability confirms depot"
R01-N-002,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5253,bw_berlin_fitout_donor_sources,,,Materialdepot,"Aggregated Berlin fit-out donor sources depot exists as named site",none,,false,,MISSING_EVIDENCE,,"name_full = Aggregierte Donorquellen; aggregate placeholder not a discrete depot",ESCALATE_HUMAN,R01,"Agent 10 A10-N-023; deprecate or relabel aggregate donor node"
R01-N-003,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4852,bw_chiro_itterbeek_reuse_supply_network,,,Materialdepot,"Chiro d'Itterbeek reuse/surplus supply network depot exists",none,,false,,MISSING_EVIDENCE,,"supply-network abstraction miscast as Materialdepot; no first-party depot URL",ESCALATE_HUMAN,R01,"Agent 10 A10-N-024; network node not a findable depot"
R01-N-004,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:10,bw_cleveland_steel_and_tubes_stock,,,Materialdepot,"Cleveland Steel and Tubes reclaimed stock depot exists",web,https://cleveland-steel.com/,true,200,PROVEN,belegt,"Established in 1973, we are one of the largest stockholders of steel tubes in Europe with 84,000 tonnes of material held at our 100-acre facility in North Yorkshire, UK",ADD_SOURCE,R01,"Uncertified/Non Prime stock includes unused surplus stock from completed projects"
R01-N-005,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4935,bw_crclr_kindl_hall,,,Materialdepot,"CRCLR House former Kindl-Areal warehouse/lading hall depot exists",web,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,true,200,PROVEN,belegt,"The CRCLR House is being built in a section of the former Kindl brewery in Berlin Neukölln. The existing warehouse is being extended",ADD_SOURCE,R01,"Same-site donor/receiver hall on Kindl-Areal linked to p_crclr_house_impact_hub_berlin"
R01-N-006,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5683,bw_donor_gebaudegruppe_resource_rows_mauerwerk,,,Materialdepot,"Resource Rows masonry donor building-group depot exists",none,,false,,MISSING_EVIDENCE,,"Donor-Gebäudegruppe aggregate label; no discrete depot to source",ESCALATE_HUMAN,R01,"Agent 10 A10-N-027; aggregate placeholder donor node"
R01-N-007,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6148,bw_elys_ehemaliges_getraenkelager_areal,,,Materialdepot,"ELYS-Areal former beverage warehouse / roof superstructure depot exists",web,https://elys-basel.ch/,true,200,PROVEN,belegt,"Die Fassade besteht unter anderem aus Holz, das aus Rückbauten in Basel gewonnen wurde und aus Aluminium-Trapezblech von einem ehemaligen Getränkelager im Quartier",ADD_SOURCE,R01,"Official ELYS site; matches name_full Getränkelager/Dachaufbauten auf dem ELYS-Areal"
R01-N-008,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5802,bw_externe_stahl_donor_stockholder,,,Materialdepot,"External steel donor / Cleveland S&T stockholder aggregate depot exists",none,,false,,MISSING_EVIDENCE,,"Externe Stahl-Donorquellen aggregate; likely duplicates bw_cleveland_steel_and_tubes_stock",ESCALATE_HUMAN,R01,"Agent 10 A10-N-029; merge or deprecate vs Cleveland node"
R01-N-009,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5212,bw_holbein_grosvenor_donor_projects,,,Materialdepot,"Grosvenor donor projects depot for reuse steel exists",none,,false,,MISSING_EVIDENCE,,"Grosvenor-Donor-Projekte aggregate portfolio; not a discrete depot",ESCALATE_HUMAN,R01,"Agent 10 A10-N-030; Holbein/Grosvenor projects real but node is aggregate placeholder"
R01-N-010,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5428,bw_lo_reninge_reuse_brick_source,,,Materialdepot,"Lo-Reninge reused-brick source depot exists",none,,false,,MISSING_EVIDENCE,,"Unbekannte Quelle der wiederverwendeten Ziegel — explicit unknown-source placeholder",ESCALATE_HUMAN,R01,"Agent 10 A10-N-031"
