"claim_id","claim_kind","element_id","from_id","to_id","rel_type_or_label","asserted_claim","basis_type","basis_ref","fetched","http_status","verdict","confidence","proof_quote","proposed_action","agent_id","notes"
"R07-0001","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117664687","baukarussell","bg_holz_wand_medunicampus_doors_as_cladding","BETEILIGT_AN","BauKarussell -BETEILIGT_AN-> MedUni Türen→Wand","web","https://www.medunicampus-mariannengasse.at/ueber-uns/news/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/","true","200","PROVEN","belegt","Actor/page match (BauKarussell+meduni); project/component (meduni+meduni)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0002","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931349935","baukarussell","bg_mehrere_technik_medunicampus_paternoster","BETEILIGT_AN","BauKarussell -BETEILIGT_AN-> MedUni Paternoster","web","https://www.medunicampus-mariannengasse.at/ueber-uns/news/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/","true","200","PROVEN","belegt","Actor/page match (BauKarussell+meduni); project/component (meduni+meduni)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0003","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117692945","bauteilboerse_basel_overall","bg_mineralisch_wand_elementa_baufeld_d","BETEILIGT_AN","Bauteilbörse Basel -BETEILIGT_AN-> ELEMENTA Baufeld D","web","https://zirkular.net/de/projekt/bauteilkatalog-immobilien-basel-stadt/","true","200","PROVEN","belegt","Actor/page match (Bauteilbörse Basel+elementa); project/component (elementa+elementa)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0004","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157526259303977929","bauteilladen_winterthur","bg_mehrere_dach_grubenstrasse_sheets","BETEILIGT_AN","Bauteilladen Winterthur -BETEILIGT_AN-> Dachbleche","web","https://zirkular.net/de/projekt/grubenstrasse-29/","true","200","PROVEN","belegt","Actor/page match (Bauteilladen Winterthur); project/component (grubenstrasse)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0005","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159778059117663177","bauteilladen_winterthur","bg_mehrere_mehrere_grubenstrasse_windows_doors","BETEILIGT_AN","Bauteilladen Winterthur -BETEILIGT_AN-> Fenster und Türen","web","https://zirkular.net/de/projekt/grubenstrasse-29/","true","200","PROVEN","belegt","Actor/page match (Bauteilladen Winterthur+fenster); project/component (grubenstrasse+fenster)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0006","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162029858931348425","bauteilladen_winterthur","bg_mehrere_technik_grubenstrasse_radiators_sanitary","BETEILIGT_AN","Bauteilladen Winterthur -BETEILIGT_AN-> Heizkörper und Sanitärap…","web","https://zirkular.net/de/projekt/grubenstrasse-29/","true","200","PROVEN","belegt","Actor/page match (Bauteilladen Winterthur+heizkorper); project/component (grubenstrasse+heizkorper)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0007","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164281658745033673","bauteilladen_winterthur","bg_stahl_mehrere_grubenstrasse_access_structures","BETEILIGT_AN","Bauteilladen Winterthur -BETEILIGT_AN-> Stahlbauteile für…","web","https://zirkular.net/de/projekt/grubenstrasse-29/","true","200","PROVEN","belegt","Actor/page match (Bauteilladen Winterthur+stahlbauteile); project/component (grubenstrasse+stahlbauteile)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0008","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166533458558718921","bauteilladen_winterthur","bg_stahl_treppe_grubenstrasse_outer","BETEILIGT_AN","Bauteilladen Winterthur -BETEILIGT_AN-> Außentreppe (Gruben.)","web","https://zirkular.net/de/projekt/grubenstrasse-29/","true","200","PROVEN","belegt","Actor/page match (Bauteilladen Winterthur); project/component (grubenstrasse)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0009","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837485","cleveland_steel_tubes","bg_stahl_fassade_brent_cross_new_support_members","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Façade support members","web","https://asbp.org.uk/case-studies/brent-cross-town-primary-substation","true","200","PROVEN","belegt","Actor/page match (Cleveland Steel & Tubes+facade); project/component (Brent Cross Town Primary Substation+facade)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0010","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837601","cleveland_steel_tubes","bg_stahl_mehrere_hof_1930s_beams_to_tbc","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> 1930er Stahlträger vom…","web","https://cleveland-steel.com/","true","200","PARTIAL","teilweise_belegt","actor on page (Cleveland Steel & Tubes) but weak component proof","RESOURCE","R07","project_part_actor_extended_json; candidate overlap edge — actor only"
"R07-0011","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837602","cleveland_steel_tubes","bg_stahl_mehrere_hof_self_columns","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Refabrizierte Stahlstütz…","web","https://cleveland-steel.com/","true","200","PARTIAL","teilweise_belegt","actor on page (Cleveland Steel & Tubes) but weak component proof","RESOURCE","R07","project_part_actor_extended_json; candidate overlap edge — actor only"
"R07-0012","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837606","cleveland_steel_tubes","bg_stahl_mehrere_holbein_structural","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Stahlträger un… (Holbein)","web","https://globalabc.org/sustainable-materials-hub/resources/steel-reuse-incorporating-reclaimed-steel-holbein-gardens","true","200","PROVEN","belegt","Actor/page match (cleveland); project/component (holbein)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0013","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837716","cleveland_steel_tubes","bg_stahl_mehrere_tbc_repurposed_cleveland","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Repurposed Cleveland…","web","https://cleveland-steel.com/","true","200","PROVEN","belegt","Actor/page match (Cleveland Steel & Tubes+repurposed); project/component (repurposed)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0014","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837726","cleveland_steel_tubes","bg_stahl_mehrere_timber_square_reception_girder","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Stahlträger als Empfangs…","web","https://cleveland-steel.com/","true","200","PARTIAL","teilweise_belegt","actor on page (Cleveland Steel & Tubes) but weak component proof","RESOURCE","R07","project_part_actor_extended_json; candidate overlap edge — actor only"
"R07-0015","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837724","cleveland_steel_tubes","bg_stahl_technik_timber_square_demontable_plant","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Demontierbare TGA-/Plant…","web","https://cleveland-steel.com/","true","200","PARTIAL","teilweise_belegt","actor on page (Cleveland Steel & Tubes) but weak component proof","RESOURCE","R07","project_part_actor_extended_json; candidate overlap edge — actor only"
"R07-0016","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837727","cleveland_steel_tubes","bg_stahl_traeger_timber_square","BETEILIGT_AN","Cleveland Steel & Tubes -BETEILIGT_AN-> Stahlträger (Timber)","web","https://cleveland-steel.com/","true","200","PARTIAL","teilweise_belegt","actor on page (Cleveland Steel & Tubes) but weak component proof","RESOURCE","R07","project_part_actor_extended_json; candidate overlap edge — actor only"
"R07-0017","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837459","concular","bg_holz_ausbau_awm_fixed_builtins","BETEILIGT_AN","Concular -BETEILIGT_AN-> Wood for fixed built-ins","web","https://www.jablonicka.com/work/95%2C6%25-circular-reconstruction-of-offices-for-awm-m%C3%BCnster-","true","200","PROVEN","belegt","Actor/page match (Concular+wood); project/component (wood)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
"R07-0018","rel","5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837535","concular","bg_holz_mehrere_crclr_recycled_gallery_interior","BETEILIGT_AN","Concular -BETEILIGT_AN-> Holzgalerie (Crclr)","web","https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house/","true","200","PROVEN","belegt","Actor/page match (Concular); project/component (crclr)","ADD_SOURCE","R07","project_part_actor_extended_json; overlap-derived edge corroborated on page"
