akteur_id,name,primary_role,address,latitude,longitude,confidence,location_count
2emain_be,"2emain.be",linked_projekt,"106 Rue de la Vignette, 1160 Auderghem, Belgium",50.815,4.4214,high,1
2hs,"2hs",land_capital,"Berlin, Germany",52.52,13.405,low,2
3xn,"3XN",land_capital,"Copenhagen, Denmark",55.6761,12.5683,low,1
51n4e,"51N4E",linked_projekt,"Quai Fernand Demets 22, 1070 Anderlecht, Brüssel",50.8415883,4.3206717,high,1
CITYFOERSTER,"CITYFÖRSTER",land_capital,"Berlin, Germany",52.52,13.405,low,1
Lendager,"Lendager",linked_projekt,"Tobaksvejen 6, 2860 Søborg, Denmark",55.7346,12.4033,high,3
Natural_Building_Lab,"Natural Building Lab",land_capital,"Berlin, Germany",52.52,13.405,low,1
Rotor,"Rotor",linked_projekt,"Plankenstraat 23, 1701 Dilbeek, Belgien",50.8318626,4.234055,high,18
Superuse_Studios,"Superuse Studios",land_capital,"Amsterdam, Netherlands",52.3730796,4.8924534,low,1
Werner_Sobek,"Werner Sobek",land_capital,"Berlin, Germany",52.52,13.405,low,1
ZRS_Architekten_Ingenieure,"ZRS Architekten Ingenieure",land_capital,"Berlin, Germany",52.52,13.405,low,1
abc_raadgivende_ingenioerer,"ABC Rådgivende Ingeniører / ABC Consulting Engineers",linked_projekt,"Thoravej 29, 2400 København NV, Copenhagen",55.706084,12.526846,high,1
abfallwirtschaftsbetriebe_muenster,"Abfallwirtschaftsbetriebe Münster",linked_projekt,"Rösnerstraße 10, 48155 Münster, Germany",51.9359,7.6356,high,2
abn_amro,"ABN AMRO",linked_projekt,"Gustav Mahlerplein 1, 1082 MS Amsterdam, Netherlands",52.3371844,4.8734146,high,2
abt,"ABT",linked_projekt,"Oostmolenweg 79, 4481 PM Kloetinge, Netherlands",51.4479,3.6645,high,1
adam_przywara,"Adam Przywara",land_capital,"Bern, Switzerland",46.948,7.4474,low,1
administration_des_batiments_publics,"Administration des bâtiments publics",linked_projekt,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,1
