bauteilgruppe_id,bauteilgruppe_name,donor_bauwerk_id,donor_bauwerk_name,donor_address,donor_latitude,donor_longitude,donor_confidence,donor_evidence_status,donor_source_url,receiver_projekt_id,receiver_projekt_name,receiver_address,receiver_latitude,receiver_longitude,receiver_confidence
bg_holz_fassade_botanique,/ rückgewonnene Holzfass…,bw_institut_botanique_ulg,Institut de Botanique…,"Chemin de la Vallée 4, 4000 Liège, Belgium",50.5783177,5.5755821,high,verified_street,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,p_institut_de_botanique_ulg_liege,Institut de Botanique…,"Chemin de la Vallée 4, 4000 Liège, Belgium",50.603,5.5818,high
bg_stahl_mehrere_lycee_profiles_canopy,"11,8 t Stahlprofile als…",bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high
bg_stahl_mehrere_lycee_metal_ceiling_panels,12 Metall-Deckenpaneele,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high
bg_stahlbeton_mehrere_plattenpalast_wbs70_wand_deckenelemente,13 WBS70-Wand- und…,bw_peter_behrens_halle_berlin,Peter-Behrens-Halle…,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",52.5419669,13.3834015,high,verified_street,https://www.plattenvereinigung.de/project/orte/,p_plattenpalast_berlin,Plattenpalast Berlin,"Wolliner Straße 50, Berlin",52.5390524,13.4018775,high
bg_stahlbeton_mehrere_plattenpalast_wbs70_wand_deckenelemente,13 WBS70-Wand- und…,bw_unbekannte_wbs70_plattenbauten,rückgebaute WBS70-Platte…,"Berlin (demolished WBS70 slabs, site unknown)",52.5173885,13.3951309,low,city_only,archive:Mehrow_Pilot_House.md,p_plattenpalast_berlin,Plattenpalast Berlin,"Wolliner Straße 50, Berlin",52.5390524,13.4018775,high
bg_keramik_mehrere_maison_vignette_terracotta_floor_tiles,"13,5 m² wiederverwendete…",bw_maison_vignette_unknown_donors,Diverse Reuse-Quellen…,Auderghem / Brussels region reuse sources,,,low,regional_pool,archive:Maison_Vignette_Auderghem.md,p_maison_vignette_auderghem,Maison Vignette,"106 Rue de la Vignette, 1160 Auderghem, Belgium",50.815,4.4214,high
bg_beton_boden_lycee_paving_slabs,135 m² wiederverwendete…,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high
bg_holz_mehrere_circular_pavilion_doors_facade,180 Holztueren als…,,,,,,,no_donor_link,,p_circular_pavilion_paris,Circular Pavilion Paris,"Place de l'Hôtel de Ville, 75004 Paris, France",48.8565,2.3522,medium
bg_stahl_mehrere_hof_1930s_beams_to_tbc,1930er Stahlträger vom…,bw_318_oxford_street_house_of_fraser,318 Oxford Street,"318 Oxford Street, London W1C 1HF, UK",51.5152626,-0.1463435,high,verified_street,https://www.stiffandtrevillion.com/projects/tower-bridge-road,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,"318 Oxford Street, London W1C 1HF, UK (donor); 224-226 Tower Bridge Road, London SE1 2UP, UK (receiver TBC.London)",51.5142,-0.1427,medium
bg_stahl_mehrere_juch_hagenholz_stahlstruktur,1:1 versetzte Stahlstruk…,bw_hagenholz_recyclinghalle,Ehemalige Recyclinghalle…,"Hagenholzstrasse area, Zürich, Switzerland",47.415759,8.5636654,low,area_only,archive,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low
