bauteilgruppe_id,bauteilgruppe_name,projekt_id,projekt_name,address,latitude,longitude,confidence,evidence_status,linked_program,donor_staedte,receiver_staedte,source_url,donor_bauwerk_id,donor_bauwerk_name,donor_address,donor_latitude,donor_longitude,donor_confidence,donor_evidence_status,donor_source_url,donor_notes
bg_holz_fassade_botanique,/ rückgewonnene Holzfass…,p_institut_de_botanique_ulg_liege,Institut de Botanique…,"Chemin de la Vallée 4, 4000 Liège, Belgium",50.603,5.5818,high,,,,,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,bw_institut_botanique_ulg,Institut de Botanique…,"Chemin de la Vallée 4, 4000 Liège, Belgium",50.5783177,5.5755821,high,verified_street,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,
bg_stahl_mehrere_lycee_profiles_canopy,"11,8 t Stahlprofile als…",p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,,,,https://opalis.eu/fr/projets/lycee-michel-lucius,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,
bg_stahl_mehrere_lycee_metal_ceiling_panels,12 Metall-Deckenpaneele,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,,,,https://opalis.eu/fr/projets/lycee-michel-lucius,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,
bg_stahlbeton_mehrere_plattenpalast_wbs70_wand_deckenelemente,13 WBS70-Wand- und…,p_plattenpalast_berlin,Plattenpalast Berlin,"Wolliner Straße 50, Berlin",52.5390524,13.4018775,high,,,,,,bw_peter_behrens_halle_berlin,Peter-Behrens-Halle…,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",52.5419669,13.3834015,high,verified_street,https://www.plattenvereinigung.de/project/orte/,+1 more donors; see bauteilgruppe_donor_receiver_map.csv
bg_keramik_mehrere_maison_vignette_terracotta_floor_tiles,"13,5 m² wiederverwendete…",p_maison_vignette_auderghem,Maison Vignette,"106 Rue de la Vignette, 1160 Auderghem, Belgium",50.815,4.4214,high,,,,,https://guidebatimentdurable.brussels/construction-dune-maison-unifamiliale-paille-projet-vignette,bw_maison_vignette_unknown_donors,Diverse Reuse-Quellen…,Auderghem / Brussels region reuse sources,,,low,regional_pool,archive:Maison_Vignette_Auderghem.md,
bg_beton_boden_lycee_paving_slabs,135 m² wiederverwendete…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,,,,https://opalis.eu/fr/projets/lycee-michel-lucius,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,
bg_holz_mehrere_circular_pavilion_doors_facade,180 Holztueren als…,p_circular_pavilion_paris,Circular Pavilion Paris,"Place de l'Hôtel de Ville, 75004 Paris, France",48.8565,2.3522,medium,,,,,https://www.batiactu.com/edito/un-pavillon-circulaire-illustrer-reemploi-materiaux-42547.php,,,,,,,,,
bg_stahl_mehrere_hof_1930s_beams_to_tbc,1930er Stahlträger vom…,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,"318 Oxford Street, London W1C 1HF, UK (donor); 224-226 Tower Bridge Road, London SE1 2UP, UK (receiver TBC.London)",51.5142,-0.1427,medium,,,,,https://www.stiffandtrevillion.com/projects/tower-bridge-road,bw_318_oxford_street_house_of_fraser,318 Oxford Street,"318 Oxford Street, London W1C 1HF, UK",51.5152626,-0.1463435,high,verified_street,https://www.stiffandtrevillion.com/projects/tower-bridge-road,
bg_stahl_mehrere_juch_hagenholz_stahlstruktur,1:1 versetzte Stahlstruk…,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",47.393,8.4885,low,parcel_only,,,,https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2025/07/neubau-recyclingzentrum-juch-areal.html,bw_hagenholz_recyclinghalle,Ehemalige Recyclinghalle…,"Hagenholzstrasse area, Zürich, Switzerland",47.415759,8.5636654,low,area_only,archive,
bg_glas_mehrere_elys_restposten_windows,200 Fenster aus Lagerres…,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,"Elsässerstrasse 215, 4056 Basel, Switzerland",47.5489,7.6012,high,,,,,processed+ELYS,bw_elys_regional_reuse_sources,Regionale Rueckbau- und…,Basel region demolition/reuse sources,,,low,regional_pool,processed,
bg_stahlbeton_wand_mehrow_wbs70_slabs,22 wiederverwendete…,p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, 16356, Germany",52.5724,13.6177,low,city_only,,,,https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html,bw_marzahn_wbs70_eleven_storey_donor,Abgerissener Marzahner…,"Berlin-Marzahn, Germany",52.5511184,13.676873,low,district_only,archive:Berlin_Schildow_Pilot_House.md,
bg_beton_mehrere_recrete_betonbloecke_bogensegmente,25 Betonblöcke,p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,"Route Cantonale / Route de la Morge, 1964 Conthey, Switzerland",46.2264,7.3074,medium,,,,,https://www.construction21.org/articles/h/recrete-footbridge.html,,,,,,,,,
bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs,27 wiederverwen… (Mehrow),p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, 16356, Germany",52.5724,13.6177,low,city_only,,,,https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html,bw_marzahn_wbs70_eleven_storey_donor,Abgerissener Marzahner…,"Berlin-Marzahn, Germany",52.5511184,13.676873,low,district_only,archive:Berlin_Schildow_Pilot_House.md,
bg_stahlbeton_mehrere_lokomotion_hollow_core_slabs,27 wiederve… (Lokomotion),p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,"Leppästensuonkatu 13, 33840 Tampere, Finland",61.4588,23.6324,high,,,,,https://www.lokomotion.fi/,bw_tampere_1980s_office_donor,1980er Bürogebäude im…,"Tampere city centre office building (1980s), Finland",61.4977929,23.7616372,low,city_only,archive:Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md,
bg_ziegel_mehrere_maison_vignette_facade_claustra,3.000 wiederverwendete…,p_maison_vignette_auderghem,Maison Vignette,"106 Rue de la Vignette, 1160 Auderghem, Belgium",50.815,4.4214,high,,,,,https://guidebatimentdurable.brussels/construction-dune-maison-unifamiliale-paille-projet-vignette,bw_maison_vignette_unknown_donors,Diverse Reuse-Quellen…,Auderghem / Brussels region reuse sources,,,low,regional_pool,archive:Maison_Vignette_Auderghem.md,
bg_holz_mehrere_europa_restored_window_frames,3.750 restaurierte…,p_europa_building_brussels,Europa Building Brussels,"Rue de la Loi 175, 1048 Brussels, Belgium",50.8436,4.3819,high,,,,,Council of the EU,bw_eu_window_donor_sources,EU-weite Renovierungs-…,EU-wide renovation window sources (no single site),,,low,multi_site_program,processed,
bg_beton_mehrere_lycee_precast_channels,38 Fertigbetonelemente…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,,,,https://opalis.eu/fr/projets/lycee-michel-lucius,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,
bg_daemmstoff_mehrere_lycee_gypsum_acoustic_panels,419 m² Gips-Akustikpanee…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,,,,https://opalis.eu/fr/projets/lycee-michel-lucius,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,
bg_stahl_mehrere_lycee_floor_sheet_metal_facade,61 m² Bodenblech als…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"157 Avenue Pasteur, L-2311 Luxembourg",49.6094,6.1267,high,,,,,https://opalis.eu/fr/projets/lycee-michel-lucius,bw_lycee_block_3000,Lycée Lucius B3000,"157 Avenue Pasteur, L-2311 Luxembourg",49.6249025,6.1136808,high,verified_street,https://opalis.eu/fr/projets/lycee-michel-lucius,
bg_stahlbeton_mehrere_melkinlaituri_hollow_core_slabs,64 reused hollow-core…,p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,"Tulimaankatu / Samoankuja, Jätkäsaari, 00220 Helsinki, Finland",60.1559,24.9195,medium,plot_intersection,,,,https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/,bw_suutarila_community_centre_donor,Suutarila community…,"Suutarila, 00740 Helsinki, Finland",60.283019,25.0064817,low,district_only,archive:Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md,
bg_stahl_mehrere_boulder_wide_flange_members,89 salvaged wide-flange…,p_boulder_fire_station_3,Boulder FS-3,"2967 Bluff Street, Boulder, CO 80301, USA",40.0149856,-105.270545,high,,,,,processed,bw_boulder_community_hospital,Boulder Community…,"Boulder, CO, USA (Community Hospital donor context)",40.0149856,-105.270545,low,city_only,processed,
bg_ziegel_fassade_biopartner_5_abbruchschutt_gruene,Abbruchschutt,p_biopartner_5_leiden_oegstgeest,BioPartner 5,"Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden",52.1710283,4.4502649,high,,,,,,bw_gorlaeus_hochhaus,Gorlaeus Hochhaus,"Einsteinweg 55, 2333 CC Leiden, Netherlands",52.1677621,4.4609833,high,verified_street,https://www.student.universiteitleiden.nl/en/locations/gorlaeus-building,
bg_ziegel_wand_recyclinghaus_abbruchziegel_innenwaende,Abbruchziegel in…,p_recyclinghaus_hannover,Recyclinghaus Hannover,"Treppenkamp 1, 30539 Hannover, Germany",52.3589,9.8342,high,,,,,https://www.gundlach-bau.de/projekte/recyclinghaus-hannover,,,,,,,,,
bg_mehrere_mehrere_moeoeslistrasse_akustikelemente,Akustikelemente,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,"Mööslistrasse 8, 8038 Zürich, Switzerland",47.3406,8.5154,high,,,,,https://www.stadt-zuerich.ch/,bw_stadt_zuerich_occasionslager,Städtische Occasionslage…,Zürich municipal reuse depot (Occasionslager),,,low,city_only,processed,
bg_keramik_mehrere_kamikatsu_old_tiles,Alte Fliesen als Mosaik-,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high,,,,,https://why-kamikatsu.jp/,bw_kamikatsu_local_houses,Lokale Häuser und…,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,
bg_mehrere_mehrere_kamikatsu_old_town_hall_wall_parts,Alte Rathauswandteile…,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"7-2 Aza Shimoniura, Oaza Fukuhara, Kamikatsu-cho, Tokushima 771-4501, Japan",33.896,134.2885,high,,,,,https://why-kamikatsu.jp/,bw_kamikatsu_old_town_hall,Altes Rathaus Kamikatsu,"Kamikatsu, Tokushima 771-4501, Japan",33.8889228,134.4018864,low,municipality_only,https://why-kamikatsu.jp/,
