bauteilgruppe_id,bauteilgruppe_name,projekt_id,projekt_name,projekt_staedte,projekt_laender,receiver_staedte,donor_staedte,wiederverwendungsort,reuse_status
bg_holz_fassade_botanique,/ rückgewonnene Holzfass…,p_institut_de_botanique_ulg_liege,Institut de Botanique…,Liège / Lüttich,Belgien,,,In_situ,reuse
bg_stahl_mehrere_lycee_profiles_canopy,"11,8 t Stahlprofile als…",p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,,,Im_selben_Gebaeude_versetzt,reuse
bg_stahl_mehrere_lycee_metal_ceiling_panels,12 Metall-Deckenpaneele,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,,,Im_selben_Gebaeude_versetzt,reuse
bg_stahlbeton_mehrere_plattenpalast_wbs70_wand_deckenelemente,13 WBS70-Wand- und…,p_plattenpalast_berlin,Plattenpalast Berlin,Berlin,Deutschland,,,Extern_importiert,reuse
bg_keramik_mehrere_maison_vignette_terracotta_floor_tiles,"13,5 m² wiederverwendete…",p_maison_vignette_auderghem,Maison Vignette,Auderghem / Brüssel,Belgien,,,,reuse
bg_beton_boden_lycee_paving_slabs,135 m² wiederverwendete…,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,,,Im_selben_Gebaeude_versetzt,reuse
bg_holz_mehrere_circular_pavilion_doors_facade,180 Holztueren als…,p_circular_pavilion_paris,Circular Pavilion Paris,Paris,Frankreich,,,Extern_importiert,reuse
bg_stahl_mehrere_hof_1930s_beams_to_tbc,1930er Stahlträger vom…,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,London,Vereinigtes Königreich,,,Extern_importiert,reuse
bg_stahl_mehrere_juch_hagenholz_stahlstruktur,1:1 versetzte Stahlstruk…,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,Zürich,Schweiz,,,Extern_importiert,reuse
bg_glas_mehrere_elys_restposten_windows,200 Fenster aus Lagerres…,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Basel,Schweiz,,,Extern_importiert,reuse
bg_stahlbeton_wand_mehrow_wbs70_slabs,22 wiederverwendete…,p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, Brandenburg",Deutschland,,,Extern_importiert,reuse
bg_beton_mehrere_recrete_betonbloecke_bogensegmente,25 Betonblöcke,p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,,Schweiz,,,Extern_importiert,reuse
bg_stahlbeton_mehrere_mehrow_wbs70_floor_slabs,27 wiederverwen… (Mehrow),p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, Brandenburg",Deutschland,,,Extern_importiert,reuse
bg_stahlbeton_mehrere_lokomotion_hollow_core_slabs,27 wiederve… (Lokomotion),p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,Tampere,Finnland,,,Extern_importiert,reuse
bg_ziegel_mehrere_maison_vignette_facade_claustra,3.000 wiederverwendete…,p_maison_vignette_auderghem,Maison Vignette,Auderghem / Brüssel,Belgien,,,,reuse
