entity_type,entity_id,entity_name,confidence,evidence_status,address,source_url,notes,action
projekt,p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,low,city_only,"Schildow, 16552, Germany",https://www.kuladig.de/Objektansicht/BKM-31000252,"PRECS/TU Berlin WBS70 pilot house 2005 in Schildow; archive and press confirm municipality only, no published street.",documented_no_street
projekt,p_big_dig_building_boston,Big Dig Building,low,unbuilt_proposed_site,"Massachusetts Avenue (triangular lot near Porter Square), Cambridge, MA 02140, USA",https://metropolismag.com/programs/single-speed-design-the-2004-next-generation-winner/,"Unbuilt competition proposal; proposed Cambridge site only, not a built civic address.",documented_no_street
projekt,p_broethen_twin_house_hoyerswerda,Broethen Twin-House,low,district_only,"Bröthen-Michalken, 02977 Hoyerswerda, Germany",https://recreate-project.eu/tag/german-cluster/,PRECS 2001 twin house in Bröthen-Michalken; no primary source links project to Dresdener Str. or other street.,documented_no_street
projekt,p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS,low,city_only,"Mühlhausen, 99974, Germany",https://www.seidlarchitekten.de/haus-hos-muehlhausen/,"Seidl+Hose MFH project; published sources give city only. Schwanenteichallee 5/6 is architect office, not building site.",documented_no_street
projekt,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,low,parcel_only,"Juch-Areal, Zürich-Altstetten, 8048 Zürich, Switzerland",https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2025/07/neubau-recyclingzentrum-juch-areal.html,"City press release confirms Juch-Areal Altstetten; under construction, no civic number published.",documented_no_street
projekt,p_mehrow_pilot_house,Mehrow Pilot House,low,city_only,"Mehrow, 16356, Germany",https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html,"200 m² pilot house 2005 in Mehrow; press confirms village, no street address.",documented_no_street
projekt,p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,medium,plot_intersection,"Tulimaankatu / Samoankuja, Jätkäsaari, 00220 Helsinki, Finland",https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/,"Architect and City of Helsinki place school in Samoankuja / Melkinlaituri block; under construction, no house number yet.",upgraded
projekt,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,medium,multi_site_verified,"Gustav-Meyer-Allee 25, 13355 Berlin (Peter-Behrens-Halle, Jan 2010–May 2011); Tempelhofer Feld, southern entrance Oderstraße, 12051 Berlin (May 2011–Oct 2011+)",https://www.plattenvereinigung.de/project/orte/,Two evidenced exhibition phases; donor material from München Olympisches Dorf and Frankfurt/Oder PH12.,upgraded
projekt,p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,medium,street_without_number,"Voorterstraat, Bleijerheide, 6462 Kerkrade, Netherlands",https://www.kerkrade.nl/superlocal-bleijerheide,Expogebouw stands in SUPERLOCAL Bleijerheide project area near Voorterstraat flats; donor flat was Ursulastraat (demolished 2017–2018).,upgraded
projekt,p_association_house_groeditz,Vereinshaus Gröditz,low,city_only,"Gröditz, 01609, Germany",https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction_projectscritical_review_of_77_circular_precedents,PRECS 2007 sport-association house; literature gives Gröditz and ~2.5 km transport only. Not Kolkwitz/Jahnstraße (different ReUse Hub project).,documented_no_street
