projekt_id,projekt_name,projekt_has_coords,bauteilgruppen_count,bgs_with_geo,bgs_with_coordinates,bgs_without_geo,bg_location_points_total,bg_location_points_with_coords
p_55_great_suffolk_street_london,55 Great Suffolk Street,True,1,1,1,0,2,2
p_association_house_groeditz,Vereinshaus Gröditz,True,2,2,2,0,3,3
p_association_house_plauen,Vereinshaus Plauen,True,1,1,1,0,2,2
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,True,5,5,5,0,10,7
p_bedzed_london_hackbridge,BedZED,True,3,3,3,0,7,4
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,True,1,1,1,0,2,2
p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,True,1,1,1,0,2,2
p_big_dig_house_lexington_massachusetts,Big Dig House,True,3,3,3,0,6,6
p_biopartner_5_leiden_oegstgeest,BioPartner 5,True,6,6,6,0,9,9
p_bluecity_offices_rotterdam,BlueCity Offices…,True,7,7,7,0,8,8
p_boulder_fire_station_3,Boulder FS-3,True,3,3,3,0,5,5
p_brent_cross_town_primary_substation_london,Brent Cross Town…,True,2,2,2,0,2,2
p_brighton_waste_house_brighton,Brighton Waste House,True,6,6,6,0,6,6
p_broethen_twin_house_hoyerswerda,Broethen Twin-House,True,2,2,2,0,2,2
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,True,4,4,4,0,4,4
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,True,12,12,12,0,12,12
p_christ_pavilion_volkenroda,Christus-Pavillon,True,6,6,6,0,12,12
p_circl_abn_amro,Circl,True,5,5,5,0,5,5
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,True,3,3,3,0,6,6
p_circular_pavilion_paris,Circular Pavilion Paris,True,6,6,6,0,6,6
p_crclr_house_impact_hub_berlin,CRCLR House,True,6,6,6,0,10,10
p_elementa_walkeweg,ELEMENTA Walkeweg,True,2,2,2,0,4,4
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,True,6,6,6,0,12,8
p_europa_building_brussels,Europa Building Brussels,True,1,1,1,0,2,1
p_ferme_du_rail_paris,Ferme du Rail Paris,True,8,8,8,0,8,8
p_gjg_house_gentbrugge,gjG House,True,2,2,2,0,2,2
p_grande_halle_de_colombelles,Grande Halle de Colombel…,True,7,7,7,0,14,14
