kind,type,subject,object,url,http_status,match_kind,match_score,evidence_status,is_homepage,quote,eid,checked_at
rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,Boden,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,200,NONE,0.14,QUOTE_MISMATCH,False,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'association Les partenaires Le magasin de la Re,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257197116,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,Daemmung,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,200,NONE,0.14,QUOTE_MISMATCH,False,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'association Les partenaires Le magasin de la Re,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443511868,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,Technik,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,200,NONE,0.14,QUOTE_MISMATCH,False,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'association Les partenaires Le magasin de la Re,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826620,2026-06-07T18:25:17Z
rel,NUTZT_MATERIAL,La Ressourcerie Fribourg,Holz,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,200,NONE,0.14,QUOTE_MISMATCH,False,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'association Les partenaires Le magasin de la Re,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674684,2026-06-07T18:25:17Z
rel,NUTZT_MATERIAL,La Ressourcerie Fribourg,Keramik,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,200,NONE,0.14,QUOTE_MISMATCH,False,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'association Les partenaires Le magasin de la Re,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157505368583045180,2026-06-07T18:25:17Z
rel,ERFUELLT_NACHWEIS,Dokumentenprüfung / Herkunfts- und Bestandsnachweis,SchadstoffkatasterErkundung,https://www.vdi.de/mitgliedschaft/vdi-richtlinien/unsere-richtlinien-highlights/vdi-6202,200,STRONG,0.85,CLICKABLE_VERIFIED,False,"VDI 6202 Blatt 3 befasst sich mit der Erkundung und Bewertung von Asbest in baulichen und technischen Anlagen, insbesondere im Rahmen von Abbruch",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164698737,2026-06-07T18:25:17Z
rel,ERFUELLT_NACHWEIS,Schadstoffprüfung (Sammelkategorie),Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351013490,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Geländer aus Charleroi,Gelaender,https://opalis.eu/fr/projets/verbiest-karreveld,404,NONE,0.00,LINK_DEAD,False,Verbiest Geländer Fliesen und Steine aus Charleroi,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141476,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Fixed wall cladding…,Wand,https://awm.stadt-muenster.de/,200,NONE,0.00,HOMEPAGE_ONLY,True,Fixed wall cladding from old chair parts,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141524,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Softwood wall studs,Wand,https://www.bioregional.com/projects-and-services/case-studies/bedzed,404,NONE,0.00,LINK_DEAD,False,Reused softwood wall studs,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141527,2026-06-07T18:25:17Z
