kind,type,subject,old_status,old_url,result,new_url,match,candidates_tried,quote
rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,8,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'associa
rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,8,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'associa
rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,8,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'associa
rel,NUTZT_MATERIAL,La Ressourcerie Fribourg,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,8,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'associa
rel,NUTZT_MATERIAL,La Ressourcerie Fribourg,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,8,--> Les matériaux | Ressourcerie top of page LA RESSOURCERIE Accueil Les matériaux Le magasin Nos réalisations L'associa
rel,HAT_BAUTEILTYP,Geländer aus Charleroi,LINK_DEAD,https://opalis.eu/fr/projets/verbiest-karreveld,STILL_UNVERIFIED,,,8,Verbiest Geländer Fliesen und Steine aus Charleroi
rel,HAT_BAUTEILTYP,Fixed wall cladding…,HOMEPAGE_ONLY,https://awm.stadt-muenster.de/,STILL_UNVERIFIED,,,8,Fixed wall cladding from old chair parts
rel,HAT_BAUTEILTYP,Softwood wall studs,LINK_DEAD,https://www.bioregional.com/projects-and-services/case-studies/bedzed,STILL_UNVERIFIED,,,8,Reused softwood wall studs
rel,HAT_BAUTEILTYP,Façade support members,LINK_DEAD,https://www.arup.com/projects/brent-cross-town,STILL_UNVERIFIED,,,8,Neue façade support members
rel,HAT_BAUTEILTYP,"Türen, Fenster und…",QUOTE_MISMATCH,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,STILL_UNVERIFIED,,,8,"Türen, Fenster und Sanitär im CRCLR-Gesamtprojekt mit unscharfer Fit-out-Zuordnung"
rel,NUTZT_MATERIAL,Pretty Plastic Schindeln…,LINK_DEAD,https://overtredersw.nl/projects/peoples-pavilion,STILL_UNVERIFIED,,,8,Pretty Plastic Schindeln aus Haushaltskunststoff
rel,HAT_BAUTEILTYP,Wand- und Fassadenelemen…,QUOTE_MISMATCH,https://www.plattenvereinigung.de/project/orte/,STILL_UNVERIFIED,,,8,Wand- und Fassadenelemente aus Betonfertigteilen
