rang,name,land,RSI_final,RSI_brutto,RSI_v3_historical,confidence,confidence_class,einstufung,archetyp,profile,verified,K1_raw,K2_raw,K3_raw,K4_raw,K5_raw,K6_raw,K7_raw,K8_raw,K9_raw,K10_raw,K11_raw,K12_raw,K13_raw,K14_raw,G1,G2,G3,G4,G5,G6
1,"55 Great Suffolk Street, London",Vereinigtes Königreich,74.2,74.2,62.9,0.84,A,bedingt skalierbar,Regulatorisch reifer Struktur-ReUse,structural_reuse,True,3,2,3,4,3,3,3,2,3,4,3,2,3,3,2,2,3,2,2,2
2,"KA13 / Kristian Augusts gate 13, Oslo",Norwegen,74.0,74.0,79.8,0.77,B,bedingt skalierbar,Systemischer Aggregator,whole_building_project,True,3,4,3,3,2,3,2,2,3,4,3,3,4,3,2,2,2,2,2,2
3,Circl / ABN AMRO urban mining context,Niederlande,69.0,69.0,63.6,0.77,B,bedingt skalierbar,Systemischer Aggregator,whole_building_project,True,3,4,3,2,2,3,2,2,4,2,3,3,3,2,2,2,2,2,2,2
4,K118 Kopfbau Halle 118 Winterthur,Schweiz,67.8,67.8,68.6,0.76,B,bedingt skalierbar,DfD-Systemreferenz,whole_building_project,True,4,2,3,3,2,2,2,2,4,3,3,2,3,3,2,2,2,2,2,2
5,Härmälänranta / A-Kruunu ReCreate mini-pilot Tampere,Finnland,67.2,67.2,42.2,0.85,A,bedingt skalierbar,Regulatorisch reifer Struktur-ReUse,structural_reuse,True,3,1,3,4,3,3,3,2,2,2,4,2,2,3,2,2,3,3,2,2
6,The Green House Utrecht,Niederlande,66.5,66.5,63.6,0.74,B,bedingt skalierbar,DfD-Systemreferenz,whole_building_project,True,3,2,2,2,3,3,3,3,4,3,2,2,3,2,2,2,2,2,2,2
7,CRCLR House / Impact Hub Berlin,Deutschland,63.2,63.2,64.1,0.66,B,bedingt skalierbar,DfD-Systemreferenz,whole_building_project,True,3,2,3,2,2,2,2,2,4,3,3,3,3,2,2,2,2,2,2,2
8,Thoravej 29 Copenhagen,Dänemark,61.2,61.2,70.6,0.84,A,bedingt skalierbar,Großmaßstab-Demonstrator,whole_building_project,True,3,1,3,3,2,2,2,2,3,4,3,2,1,4,2,2,2,2,2,2
9,Recyclinghaus Hannover,Deutschland,61.0,61.0,66.4,0.69,B,bedingt skalierbar,DfD-Systemreferenz,whole_building_project,True,3,2,2,3,2,2,2,2,4,3,2,2,2,3,2,2,2,2,2,2
10,Grande Halle de Colombelles / Le WIP,Frankreich,58.8,58.8,56.4,0.73,B,Pilot / Reallabor,Professioneller ReUse-Hub / Plattform,whole_building_project,True,3,3,2,2,2,2,4,2,2,1,3,2,3,2,2,2,2,2,2,2
11,Kamikatsu Zero Waste Center / Hotel WHY,Japan,58.5,58.5,59.9,0.71,B,Pilot / Reallabor,Professioneller ReUse-Hub / Plattform,whole_building_project,True,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
12,Europa Building Brussels / Résidence Palace – Europa,Belgien,57.5,57.5,61.2,0.74,B,Pilot / Reallabor,Netzwerk-/Ökosystem-Enabler,whole_building_project,True,3,4,2,2,2,3,2,2,1,1,3,3,1,2,2,2,2,2,2,2
13,People’s Pavilion Eindhoven,Niederlande,56.8,56.8,79.1,0.61,B,Pilot / Reallabor,DfD-Systemreferenz,temporary_or_exhibition,True,3,3,2,2,1,2,1,2,4,4,2,2,1,1,2,2,2,1,2,1
14,Resource Rows Copenhagen,Dänemark,56.2,56.2,60.9,0.67,B,Pilot / Reallabor,Großmaßstab-Demonstrator,whole_building_project,True,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2
15,TRÆ High-Rise,Dänemark,55.5,55.5,57.1,0.67,B,Pilot / Reallabor,Großmaßstab-Demonstrator,whole_building_project,True,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2
16,Upcycle Studios Copenhagen,Dänemark,54.5,54.5,56.1,0.67,B,Pilot / Reallabor,Fallstudie,whole_building_project,True,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2
17,Résilience / La Ferme des Possibles Stains,Frankreich,50.8,50.8,56.1,0.64,B,Pilot / Reallabor,Professioneller ReUse-Hub / Plattform,whole_building_project,True,2,3,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,1,1,2
18,Kindergarten Mööslistrasse / Manegg Zürich,Schweiz,50.5,50.5,62.9,0.61,B,Pilot / Reallabor,Klein-Pilot / Reallabor,whole_building_project,True,2,3,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,1,1,2
19,Impact Hub Berlin / CRCLR Fit-out,Deutschland,49.2,49.2,65.2,0.61,B,Pilot / Reallabor,Tiefen-Pilot,interior_fitout_reuse,True,2,2,2,2,1,2,1,2,3,3,2,2,2,1,2,2,2,1,1,2
20,Villa Welpeloo Enschede,Niederlande,47.8,47.8,68.1,0.61,B,Pilot / Reallabor,Tiefen-Pilot,whole_building_project,True,2,2,2,2,1,2,1,2,2,3,2,1,3,4,2,2,2,1,2,2
21,Ferme du Rail Paris,Frankreich,45.8,45.8,46.5,0.65,B,Pilot / Reallabor,Fallstudie,whole_building_project,True,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2
22,Juch-Areal Recyclingzentrum Zürich,Schweiz,39.0,44.8,66.8,0.33,C,Einzelfall / Fallstudie,DfD-Systemreferenz,structural_reuse,False,1,3,1,1,1,2,1,2,4,2,2,2,2,2,0,0,0,0,1,0
23,Timber Square London,Vereinigtes Königreich,39.0,46.0,65.8,0.33,C,Einzelfall / Fallstudie,Großmaßstab-Demonstrator,whole_building_project,False,1,2,2,1,1,2,1,4,3,2,2,2,2,1,0,1,0,0,1,0
24,Plattenpalast Berlin,Deutschland,39.0,39.8,58.5,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,3,1,1,1,2,1,2,2,2,2,2,1,1,0,0,0,0,1,0
25,Verbiest + Karreveld,Belgien,39.0,41.2,53.4,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,4,1,1,1,3,1,1,2,1,2,2,1,1,0,0,0,0,2,0
26,House of Fraser / 318 Oxford Street → TBC.London steel reuse chain,Vereinigtes Königreich,39.0,41.0,52.7,0.33,C,Einzelfall / Fallstudie,Fallstudie,structural_reuse,False,2,2,1,1,1,2,1,2,3,1,2,2,2,2,1,0,0,0,1,0
27,"Holbein Gardens, London",Vereinigtes Königreich,39.0,39.8,51.5,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,2,1,2,1,1,2,1,2,3,1,2,1,2,1,1,1,0,0,1,0
28,SUPERLOCAL Expogebouw / Superlocal Pavilion,Niederlande,39.0,39.0,49.7,0.33,C,Einzelfall / Fallstudie,Tiefen-Pilot,whole_building_project,False,2,1,1,1,1,2,1,2,2,4,2,1,1,1,1,0,0,0,1,0
29,BedZED / Beddington Zero Energy Development,Vereinigtes Königreich,39.0,39.0,49.4,0.33,C,Einzelfall / Fallstudie,Tiefen-Pilot,whole_building_project,False,2,2,1,1,1,2,1,2,1,3,2,2,1,1,1,0,0,0,1,0
30,Multi Brussels / Reuse in MULTI,Belgien,39.0,39.0,43.3,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,2,2,2,1,1,2,1,2,2,0,2,2,1,1,1,1,0,0,1,0
31,Plattenvereinigung Berlin,Deutschland,38.2,38.2,51.3,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,3,1,1,1,2,1,2,2,1,2,2,1,1,0,0,0,0,1,0
32,Woongroep Boschgaard Den Bosch,Niederlande,38.2,38.2,47.9,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,3,1,1,1,2,1,2,2,1,2,2,1,1,0,0,0,0,1,0
33,Circular Centre Netherlands / Prinsenhof A reuse pilot,Niederlande,37.8,37.8,53.3,0.33,C,Einzelfall / Fallstudie,Tiefen-Pilot,whole_building_project,False,2,1,1,1,1,2,1,2,2,3,2,1,1,2,1,0,0,0,1,0
34,Hastings Pier Visitor Centre / reclaimed timber cladding,Vereinigtes Königreich,36.8,36.8,48.5,0.33,C,Einzelfall / Fallstudie,Großmaßstab-Demonstrator,whole_building_project,False,1,1,1,1,1,2,1,3,3,1,2,1,2,1,0,0,0,0,1,0
35,Brent Cross Town Primary Substation,Vereinigtes Königreich,36.8,36.8,43.7,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,0,0,1,0
36,Re:Crete footbridge — reused concrete blocks,Schweiz,36.5,36.5,60.9,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,3,2,2,1,2,1,0,0,0,0,1,0
37,Recypark Demets / Recypark Anderlecht,Belgien,36.5,36.5,52.1,0.33,C,Einzelfall / Fallstudie,Großmaßstab-Demonstrator,whole_building_project,False,1,1,1,1,1,2,1,2,3,2,2,1,2,1,0,0,0,0,1,0
38,"Grubenstrasse 29 / Werkhof 29, Zürich",Schweiz,36.5,36.5,50.6,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,1,1,1,1,2,1,2,3,2,2,1,2,1,0,0,0,0,1,0
39,"BioPartner 5, Leiden / Oegstgeest",Niederlande,36.5,36.5,43.8,0.33,C,Einzelfall / Fallstudie,Fallstudie,whole_building_project,False,1,2,2,1,1,2,1,2,1,1,2,2,1,2,0,1,0,0,1,0
