code,id,label,is_leaf,marker
A,huek_a_informationsgrundlage,HuerdeKategorie,False,True
A1,huek_a1_informationsverfuegbarkeit,HuerdeKategorie,False,True
A1.1,huek_a1_1_fehlende_bestandsdaten,HuerdeKategorie,False,True
A1.1.1,h_a1_1_1_fehlende_as_built_informationen,Huerde,True,True
A1.1.2,h_a1_1_2_fehlendes_bim_digitales_gebaeudemodell,Huerde,True,True
A1.1.3,h_a1_1_3_fehlende_sanierungshistorie,Huerde,True,True
A1.2,huek_a1_2_fehlende_bauteildaten,HuerdeKategorie,False,True
A1.2.1,h_a1_2_1_fehlende_herstellerinformation,Huerde,True,True
A1.2.2,h_a1_2_2_fehlende_produktmodell_information,Huerde,True,True
A1.2.3,h_a1_2_3_fehlende_bauteilkennung,Huerde,True,True
A1.2.4,h_a1_2_4_fehlendes_einbaudatum,Huerde,True,True
A1.3,huek_a1_3_fehlende_technische_nachweise,HuerdeKategorie,False,True
A1.3.1,h_a1_3_1_fehlende_leistungsdaten,Huerde,True,True
A1.3.2,h_a1_3_2_fehlende_wartungsprotokolle,Huerde,True,True
A1.3.3,h_a1_3_3_fehlende_pruefdokumentation,Huerde,True,True
A1.3.4,h_a1_3_4_fehlende_originalzertifizierung,Huerde,True,True
A1.4,huek_a1_4_unzureichende_sekundaerprodukt_inventare,HuerdeKategorie,False,True
A1.4.1,h_a1_4_1_begrenzte_inventarabdeckung,Huerde,True,True
A1.4.2,h_a1_4_2_unzugaengliche_listungen,Huerde,True,True
A1.4.3,h_a1_4_3_lueckenhafte_geografische_abdeckung,Huerde,True,True
A2,huek_a2_informationsspezifikation,HuerdeKategorie,False,True
A2.1,h_a2_1_undefinierter_mindest_bauteildatensatz,Huerde,True,True
A2.2,h_a2_2_uebermaessige_pflichtinformationen,Huerde,True,True
A2.3,h_a2_3_inkonsistente_pflichtfelder,Huerde,True,True
A2.4,h_a2_4_stakeholder_spezifische_informationskonflikte,Huerde,True,True
A2.5,h_a2_5_produktkategorie_spezifische_informationsunterschiede,Huerde,True,True
A2.6,huek_a2_6_unklare_informationsgranularitaet,HuerdeKategorie,False,True
A2.6.1,h_a2_6_1_produktmodell_ebene,Huerde,True,True
A2.6.2,h_a2_6_2_chargen_ebene,Huerde,True,True
A2.6.3,h_a2_6_3_einzelbauteil_ebene,Huerde,True,True
