Akteur;Rolle;Relevanz
Albert & Co;Fertigung mit Reuse-Material;Fertigt und montiert Stadtmöbel aus geborgenen Granitblöcken.
Allibert Matériaux Anciens;Bauteilhandel;Berät zur Auswahl und verkauft historische Bauteile für neue Bauvorhaben.
Archipel zéro;Architektur;Plant und realisiert Gebäude mit gebrauchten Fenstern und Deckenplatten.
Articonnex;Bauteilhandel;Birgt, passt gebrauchte Baustoffe an und verkauft sie über eigene Lager.
Association Réavie;Bauteilinventarisierung;Erfasst, demontiert und bereitet Bauteile für eine weitere Nutzung auf.
Backacia;Reuse-Beratung;Berät, bewertet Reuse-Potenziale und vermittelt gebrauchte Baustoffe digital.
Baignoires Anciennes;Bauteilhandel;Restauriert und verkauft historische Sanitärobjekte und Heizkörper.
Bathestia Recup;Bauteilhandel;Verkauft wiederverwendbare Baustoffe zu solidarischen Preisen.
BatRecup;Vermittlungsplattform;Verbindet Kaufende und Verkaufende gebrauchter Bauprodukte digital.
BCA Matériaux Anciens;Bauteilhandel;Demontiert, prüft und verkauft historische Bauteile für eine neue Nutzung.
Bellastock;Reuse-Beratung;Berät Bauprojekte und entwickelt erprobte Methoden für Bauteilwiederverwendung.
BOBI Réemploi;Reuse-Beratung;Berät, bewertet Reuse-Potenziale und beschafft geeignete gebrauchte Bauteile.
Booster du Réemploi (A4MT);Programmmanagement;Begleitet und qualifiziert Bauherrschaften für Reuse in Immobilienprojekten.
Bourgogne Matériaux Anciens;Bauteilhandel;Demontiert und bearbeitet historische Bauteile für den erneuten Verkauf.
Broc'Antique;Bauteilhandel;Lagert, liefert und verkauft historische Bauteile und Ausstattung.
Bâti Récup';Bauteilhandel;Berät Bauprojekte, lagert Reuse-Materialien und verkauft sie weiter.
Bâticycle;Bauteilhandel;Bereitet gebrauchte Bauprodukte auf, lagert und verkauft sie.
CANCAN Architecture;Reuse-Beratung;Berät, inventarisiert Ressourcen und verankert Reuse in Vergabeunterlagen.
CD2E;Programmmanagement;Organisiert, berät und qualifiziert Bauherrschaften für Reuse-Projekte.
Circular Pavilion Paris;Referenzprojekt;Verwendet Türen, Dämmung, Böden und Leuchten aus früheren Nutzungen erneut.
Collectif CANCAN;Architektur;Plant mit gebrauchten Materialien und demontierbaren Bauteilverbindungen.
CSTB;Qualitätssicherung;Entwickelt anerkannte Verfahren zur sicheren Bewertung gebrauchter Bauprodukte.
