id;land;von;richtung;nach;beziehungsart;beschreibung;beziehungsprofil;evidence_url;evidence_quote
AT:K001;AT;re:store / HarvestMAP Vienna;B→A;materialnomaden;Betreiberschaft;Betrieb als Herausgeberin.;Projektübergreifend / institutionell;https://www.restore.or.at/impressum;Medieninhaber und Herausgeber: materialnomaden GmbH
AT:K002;AT;BIG (Bundesimmob.);B→A;BauKarussell;Dienstleistungsbeziehung;Führte Social Urban Mining am MedUni-Campus durch.;Vorhabenspezifisch / Leistung;https://www.baukarussell.at/meduni-campus-mariannengasse-wien/;Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.
AT:K003;AT;MedUni Wien;—;BauKarussell;Gemeinsames Bauvorhaben;Zusammenarbeit.;Vorhabenspezifisch / Vorhaben;https://www.meduniwien.ac.at/web/ueber-uns/news/detailseite/2019/news-im-dezember-2020/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/;Wir freuen uns, dass wir BauKarussell als Projektpartner beim MedUni Campus Mariannengasse gewinnen konnten.
AT:K005;AT;DRZ;A→B;Ferry-Dusika-Stadion Rückbau;Rückbau;Rückbau.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.
AT:K006;AT;Die Kümmerei;A→B;Ferry-Dusika-Stadion Rückbau;Rückbau;Rückbau.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair)
AT:K008;AT;MedUni Campus Wien;B→A;BauKarussell;Reuse-Konzept;Reuse-Konzept.;Vorhabenspezifisch / Vorhaben;https://www.baukarussell.at/meduni-campus-mariannengasse-wien/;Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.
AT:K009;AT;BauKarussell;B→A;Re-Use Austria;Gründung;Gründung der Genossenschaft.;Projektübergreifend / institutionell;https://www.baukarussell.at/genossenschaft/;Als Gruendungsmitglied von BauKarussell ist es Re-Use Austria ein besonderes Anliegen, sozialwirtschaftlichen Re-Use-Betrieben ... eine starke Position ...
AT:K011;AT;BauKarussell;A→B;Ferry-Dusika-Stadion Rückbau;Reuse-Konzept;Reuse-Konzept.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;BauKarussell mit seinen Partnern im Stadion am Werk
AT:K013;AT;BauKarussell;—;Job-TransFair gemeinnützige GmbH;Konsortialpartner;Mitgliedschaft in der Genossenschaft.;Projektübergreifend / institutionell;https://www.baukarussell.at/genossenschaft/;Geschaeftsfuehrer Job-TransFair GmbH ... weil wir dadurch die Chance sehen, unseren Transitarbeitskraeften sehr gute Chancen ... zu eroeffnen.
AT:K014;AT;BauKarussell;—;pulswerk GmbH;Konsortialpartner;Mitgliedschaft in der Genossenschaft.;Projektübergreifend / institutionell;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet
AT:K021;AT;Re-Use Austria;A→B;Ferry-Dusika-Stadion Rückbau;Rückbau;Rückbau.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet
AT:K023;AT;Ferry-Dusika-Stadion Rückbau;B→A;Job-TransFair gemeinnützige GmbH;Soziale Rückbauarbeit;Beschäftigte mit DRZ 25 Personen beim Rückbau.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Im Dusika-Stadion fanden durch die Zusammenarbeit mit Die KÜMMEREI (Trägerin: BFI Wien/Job-TransFair) und DRZ 25 Personen Beschäftigung.
AT:K024;AT;Ferry-Dusika-Stadion Rückbau;B→A;pulswerk GmbH;Rückbau;Rückbau.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet
AT:K029;AT;Ferry-Dusika-Stadion Rückbau;B→A;WSE Wiener Standortentwicklung GmbH;Betrieb;Projektsteuerung.;Vorhabenspezifisch / Vorhaben;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Umgesetzt wird das Projekt vom Bauprojektmanagement-Team der WSE.
BE:K003;BE;Chiro d’Itterbeek;B→A;Franck;Bauteillieferung;Lieferte Reuse-Ziegel.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro;The facade, for example, is entirely made of reusable bricks provided by Jan Franck.
BE:K005;BE;Chiro d’Itterbeek;B→A;RotorDC;Bauteillieferung;Lieferte Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro;The interior of the sanitary block is mainly made of reuse materials sold by RotorDC.
BE:K006;BE;BLAF Architecten;A→B;Maison DnA;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.archdaily.com/423660/dna-house-blaf-architecten;dnA House / BLAF Architecten (Architekt: BLAF Architecten)
