key,cc,tid,eid,name,stage,source_url,source_kind,official_url,source_checksum,source_provenance,rights_status,print_clearance,permission_required,rights_source_url,rights_contact,license_note,obligations,rendering_note,audited_at
GB:F02,GB,F01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4826,UCL Circular Economy Lab,existing_logo,https://cdn.ucl.ac.uk/favicons/apple-touch-icon-180x180.png,apple_touch,https://www.ucl.ac.uk/,ef0282099623afddb48237c35189a9315e8af116927a1fdc35dbe50011503f08,documented,permission_required,blocked_pending_permission,True,https://www.ucl.ac.uk/,UCL Circular Economy Lab communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:F03,GB,F02,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6299,University of Brighton,existing_logo,https://www.brighton.ac.uk/_design/img/uob-logo-black.webp,header_logo,https://www.brighton.ac.uk/,6e560cd8880e7040d87fc65bae41b731e046948ab2f52ae28e9745446fbb791a,documented,permission_required,blocked_pending_permission,True,https://www.brighton.ac.uk/,University of Brighton communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:F04,GB,F03,NEW:H:universityofeastanglia,University of East Anglia,existing_logo,inline+https://www.uea.ac.uk/#sha256=9efb929d978b32c7c25d088e95b07919301b9f0903aceb24487045cd0308c14f,header_logo,https://www.uea.ac.uk/,c752aad9b62bc324b4a2fca15aeec637bb5c2fba43e4990f45a5eef1893c8965,documented,permission_required,blocked_pending_permission,True,https://www.uea.ac.uk/,University of East Anglia communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:G02,GB,G01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5194,National Lottery Heritage Fund,existing_logo,https://www.heritagefund.org.uk/sites/default/files/Heritage%20Fund_Logo_English_Landscape_Full_Colour_web%20%281%29.svg,header_logo,https://www.heritagefund.org.uk/,56f254cd024373e27eb2da960eba817b77700fca71c083f0e4686e6574fdd579,documented,permission_required,blocked_pending_permission,True,https://www.heritagefund.org.uk/,National Lottery Heritage Fund communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:G03,GB,G02,NEW:H:relondon,ReLondon,existing_logo,https://ek45a9hw9ht.exactdn.com/wp-content/uploads/2021/06/ReLondon_header_logo.svg,header_logo,https://relondon.gov.uk/,42ee7fa5049924bc8259d6d151cb3ed450bf493e7752bf2cc59e3c3c5ebf55b6,documented,permission_required,blocked_pending_permission,True,https://relondon.gov.uk/,ReLondon communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:M01,GB,M01,NEW:H:antiquewoodenfloors,Antique Wooden Floors,pending_suggestion,https://www.antiquewoodenfloors.co.uk/template/new-logo2.png,header_logo,https://www.antiquewoodenfloors.co.uk/,08a18f7419e0f79069cdf231f30ef08cb202a9899aa0ce4046e90ffc34773d61,documented,permission_required,blocked_pending_permission,True,https://www.antiquewoodenfloors.co.uk/,Antique Wooden Floors communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:M02,GB,M02,NEW:H:arcreclamation,Arc Reclamation Ltd,existing_logo,https://www.arcreclamation.com/upload/images/themes/a047302a-4a84-11e6-8960-001ec9fe8d02/profiles/a04d7b3a-4a84-11e6-8960-001ec9fe8d02/logo.png,header_logo,https://www.arcreclamation.com/,e1794304c2dfdd9e682bd6ca97ce7cf35cc8c963e99f3e9f7d400a81636c2c67,documented,permission_required,blocked_pending_permission,True,https://www.arcreclamation.com/,Arc Reclamation Ltd communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:M03,GB,M03,NEW:H:ashwellsreclaimedtimber,Ashwells Reclaimed Timber,existing_logo,https://ashwelltimber.com/wp-content/uploads/2023/02/cropped-Ashwells-Favicon.png,apple_touch,https://ashwelltimber.com/,900ec0c2bb603e3b8e3a280b4d1641d7e204d3fe5427c23f10ea2bfb278a8d7c,documented,permission_required,blocked_pending_permission,True,https://ashwelltimber.com/,Ashwells Reclaimed Timber communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:M05,GB,M05,NEW:csarchitecturalsalvage,CS Architectural Salvage,existing_logo,https://csarchitecturalsalvage.com/wp-content/uploads/2023/11/CS-Salvage-Logo.png,header_logo,https://csarchitecturalsalvage.com/,bbcad6b6aedb47329bca40714aa72980a5a05d88ce3e294a82f698d75fa84eea,documented,permission_required,blocked_pending_permission,True,https://csarchitecturalsalvage.com/,CS Architectural Salvage communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
GB:M07,GB,M06,NEW:eandareclamation,E&A Reclamation,pending_suggestion,https://static.squarespace.com/static/ta/51da82e2e4b03fbe9dac882a/1810/assets/images/totalLogo.png,header_logo,https://www.eandareclamation.com/,729b530cab75b4f62e26b74f9933761a2b9756c6122590e34788af485a707c37,documented,permission_required,blocked_pending_permission,True,https://www.eandareclamation.com/,E&A Reclamation communications/brand owner,Official-site candidate; usage rights require final review.,Obtain written permission for the final light/dark node treatment and retain it with this audit.,Logo is placed in a circular node; neutral colours may be theme-tokenised. Pending suggestions are reviewed at 50% opacity.,2026-08-19
