key,cc,tid,eid,name,official_url,result,asset_path,dark_asset_path,source_url,source_kind,source_sha256,asset_sha256,dark_asset_sha256,crop_mode,identity_review_status,review_status,reviewer,confirmed_at,logo_opacity_percent,provisional_review,reason,rights_status,print_clearance,legacy_manifest_match
FR:M02,FR,M02,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39517,Articonnex,https://articonnex.com/,logo,bilder/FR/M02.png,bilder/FR/M02-dark.png,https://articonnex.com/cdn/shop/files/logo.svg?v=1704708848&width=150,header_logo,32776a1371b146caed5648961feef1133bcf42bd984f69721bf80160a54d9163,32776a1371b146caed5648961feef1133bcf42bd984f69721bf80160a54d9163,559f38b41bc8b5b878c116f1734b9f8d89490c6589e2cabfc9e9495090f7d98d,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M03,FR,M03,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39518,Backacia,https://backacia.com/,logo,bilder/FR/M03.png,bilder/FR/M03-dark.png,https://backacia.com/cdn/shop/files/LOGO_BACKACIA_FINAL_TITLE.png?v=1725442047&width=1080,header_logo,ce0f894db82e189af3c6da95753b714043ff40fa6bff7fdab10e5406fa8042f6,ce0f894db82e189af3c6da95753b714043ff40fa6bff7fdab10e5406fa8042f6,267300c9ece6acaccfd149aff6ba316e44bd588f6476ce81c7930a66ce762b2d,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M11,FR,M11,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39519,Bâticycle,https://baticycle.fr/,logo,bilder/FR/M11.png,bilder/FR/M11-dark.png,https://baticycle.fr/wp-content/uploads/2019/12/cropped-Baticycle-reemploi-materiaux-construction-occasion-batiment-BTP-favicon.png,apple_touch,30d39b182b566f0bb6b17f665b0de984712d6abfdca29ca98edbe7ab2b1012f9,30d39b182b566f0bb6b17f665b0de984712d6abfdca29ca98edbe7ab2b1012f9,b8968e3a0c4f10eee06d1ca73e80c03e849b6f84bdc6804c3bf12652a010fe77,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:S01,FR,S01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39521,BatRecup,https://www.batrecup.com/,logo,bilder/FR/S01.png,bilder/FR/S01-dark.png,https://www.batrecup.com/wp-content/uploads/2022/08/Logo-BatRecup-St.jpg,media_logo,4c9de94f5c31c762b3fa237b6b1fbcd6ee3458d4ecf5f1138a1528dc53141a99,4c9de94f5c31c762b3fa237b6b1fbcd6ee3458d4ecf5f1138a1528dc53141a99,43abe85e9f8d02124559e36dace051fcb3da50fd6ca3c215a38a062fd80f6312,neutral_knockout,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M12,FR,M12,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39524,Cycle Up,https://cycle-up.fr/,logo,bilder/FR/M12.png,,https://cycle-up.fr/wp-content/uploads/2020/07/logo-cycle-up.svg,header_logo,944c3fefa946b72ad09562446b0609816e39cffb1376b566a0c0082a0ee035f5,944c3fefa946b72ad09562446b0609816e39cffb1376b566a0c0082a0ee035f5,,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:S02,FR,S02,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39525,Cycle Zéro,https://cyclezero.fr/,none,,,,,,,,,agent_verified_explicit_none,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,No identity-safe candidate collected.,,,True
FR:M47,FR,M44,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39535,R-Place,https://r-place.fr/,logo,bilder/FR/M47.png,,https://r-place.fr/local/cache-gd2/09/e036027e81f0843e35e4af2f64a1a8.png?1757400749,apple_touch,8f6a76e7629e6bf86ffa7e1eee60ea5bbdb71b082b82e53f870652085b073341,8f6a76e7629e6bf86ffa7e1eee60ea5bbdb71b082b82e53f870652085b073341,,circle_extend,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:X01,FR,X01,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39536,RAEDIFICARE,https://raedificare.com/,logo,bilder/FR/X01.png,bilder/FR/X01-dark.png,https://raedificare.com/wp-content/uploads/2026/04/logo.png,header_logo,783ec530f85965df1b7f88ea0f168289a034cae2751c68d720dd50e34d270d55,783ec530f85965df1b7f88ea0f168289a034cae2751c68d720dd50e34d270d55,84a206280ec651ab82742cd469c26f1c6bb60f85f606cf281e8e6efc59b84a0d,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M52,FR,M49,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39538,Réempro,https://www.reempro.com/,logo,bilder/FR/M52.png,bilder/FR/M52-dark.png,https://www.reempro.com/wp-content/uploads/2023/02/logo-reempro.svg,header_logo,b3e53e3aec6e068fe3d1034d32271c165973c6e9ecdb99efd93505662f9d32db,b3e53e3aec6e068fe3d1034d32271c165973c6e9ecdb99efd93505662f9d32db,b58083c67824e7eb4c395b4b591e9fb123cccda6039844bd9cde3f9f5a0494cc,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
FR:M54,FR,M51,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39543,Skop Marketplace,https://marketplace.skop.app/,logo,bilder/FR/M54.png,bilder/FR/M54-dark.png,https://marketplace.skop.app/img/skop-logo-header.svg,header_logo,102fc887ab413375bbe59ad2e85cebfd4ab6010c2d1407ed138d74603825dba6,102fc887ab413375bbe59ad2e85cebfd4ab6010c2d1407ed138d74603825dba6,0f7e763bb30a367aea3c947445a127fecdaf07bc3a3692f3a150ca7e0f87df8e,safe_contain,agent_visual_verified_official_source,accepted_provisional,user (bulk suggestion acceptance),2026-08-17T13:57:10+00:00,100,True,Exact official identity retained from the validated frozen transport.,permission_required,blocked_pending_permission,True
