audit_status,key,cc,tid,name,official_url,source_url,source_kind,asset_path,dark_asset_path,asset_sha256,rights_status,recent_last_three_sessions,reason_codes,manual_reasons,technical_errors
manual_check_high,DE:I05,DK,I02,Roskilde Kommune,https://www.roskilde.dk/,https://www.roskilde.dk/apple-touch-icon.png,apple_touch,bilder/DE/I05.png,bilder/DE/I05-dark.png,dbbe910bf6b77e07ff910b3c077b4f316fdef6f18c5f0ed18f8449b0b83a8070,permission_required,False,source_recheck | key_country_mismatch,Das bisherige Roskilde-Apple-Touch-Asset antwortet mit HTTP 404; aktuelle Design-/Logo-Seite bitte gegenprüfen. | Schlüsselpräfix DE weicht vom Länderfeld DK ab; Overlay-/Transportzuordnung prüfen.,
manual_check_high,FR:M44,FR,M42,PROCLUS,https://proclus.eco/,https://proclus.eco/wp-content/uploads/2023/02/Logotype.avif,header_logo,bilder/FR/M44.png,,7dbd2fabfaaceb3307f1ecbde3d566c94397bb9316ee8496b1589b7968ae6293,permission_required,False,source_recheck,Die bisherige PROCLUS-Quelldatei antwortet mit HTTP 404; die offizielle Website zeigt inzwischen ein neues Logo-Asset.,
manual_check,AT:I01,AT,I01,BIG (Bundesimmob.),https://www.big.at/,https://www.big.at/_assets/c90986d5ab8d00c689ca91f6d28a8e9c/Images/big_logo_langform_weiss.svg,media_logo,bilder/AT/I01.png,bilder/AT/I01-dark.png,87cf1356ebfdfd40d7e3816739398ccffbfea5c4dd862ea91e6721fba8ef131f,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,AT:I02,AT,I02,"VIE.CYCLE / DoTank Circular City Wien 2020–2030 (Stadt Wien, Stabsstelle SRN)",https://viecycle.wien.gv.at/,inline+https://viecycle.wien.gv.at/#sha256=e543502e1521516de1eaffd1fb9f5671cc6e5657920d04ee4f11a84403773541,header_logo,bilder/AT/I02.png,bilder/AT/I02-dark.png,0ae95bddd2329ff1e14886708bef27082397fa09c26b9bc89b8ae128249c0961,permission_required,False,carrier_or_successor | inline_extraction | multi_entity_label,"Programm-/Trägermarke: VIE.CYCLE wird mit der Stadt Wien dargestellt. | Logo wurde aus eingebettetem Seiten-SVG extrahiert; Ausschnitt manuell prüfen. | Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,AT:M02,AT,M02,Baustoffmanufaktur (DN das Nord GmbH),https://www.baustoffmanufaktur.at/,https://www.baustoffmanufaktur.at/wp-content/uploads/2021/02/cropped-FAV_2021V2.png,structured_logo,bilder/AT/M02.png,bilder/AT/M02-dark.png,33b0194bc2711defa4e0d58e97d5feeaa56e8f2444e949d5e0dd4db1eb65c159,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,AT:M03,AT,M03,Bauteilbörse (bauteilboerse.at),https://www.bauteilboerse.at/,https://www.bauteilboerse.at/hubfs/Logo%20transparent.png,header_logo,bilder/AT/M03.png,bilder/AT/M03-dark.png,0da17ee566c36f3087b5a0ff618b2b4e67a2503a5cc2727801cb2191ad73fe54,permission_required,False,multi_entity_label,"Netzbezeichnung kombiniert Organisation, Untereinheit, Träger oder Ortszusatz.",
manual_check,AT:N01,AT,N01,Die Kümmerei,https://www.die-kuemmerei.at/,https://www.die-kuemmerei.at/files/die-kuemmerei/assets/_favicon/safari-pinned-tab.svg,declared_icon,bilder/AT/N01.png,bilder/AT/N01-dark.png,8bef4000bc1f527cace22ddc34a7b6dd3c3d2a51dbfaeb79a4ac38d330b44fce,permission_required,False,low_signal_source_kind,Deklariertes Site-Icon kann eine verkürzte Bildmarke statt des vollständigen Logos sein.,
manual_check,AT:N02,AT,N02,DRZ,https://www.drz-wien.at/,https://www.vhs.at/apple-touch-icon.png,apple_touch,bilder/AT/N02.png,,0af0ea457035fa45aa7c71fd76eb9b7b535e243c34bf0927aa6473a8075e9dfc,permission_required,False,carrier_or_successor | cross_origin_source,Trägermarke: DRZ wird mit Wiener Volkshochschulen dargestellt. | Quelldatei liegt auf anderer Domain (vhs.at) als die offizielle Seite (drz-wien.at).,
manual_check,AT:N04,AT,N04,Wiener Aufzugmus.,https://www.aufzugmuseum.at/,http://www.aufzugmuseum.at/wp-content/uploads/2015/09/Type-Logo.jpg,header_logo,bilder/AT/N04.png,bilder/AT/N04-dark.png,a68ed22778a0fb2404e1dd6187bc272c0a7236b29728c16483829317ce697522,permission_required,False,http_source,Quelldatei nur über unverschlüsseltes HTTP referenziert.,
manual_check,AT:S01,AT,S01,Madaster Austria GmbH,https://madaster.at/,https://madaster.com/app/uploads/sites/6/2023/09/Madaster-BrandmarkLogo-RGB.png,header_logo,bilder/AT/S01.png,,1efbd5045ef37315ab1ac151a701f0561d5df040ff5d1f666d55c806cc53d09b,permission_required,False,cross_origin_source | shared_asset_hash,"Quelldatei liegt auf anderer Domain (madaster.com) als die offizielle Seite (madaster.at). | Exakt dieselbe Logodatei wird auch verwendet für: CH:S03, BE:S01.",
